# BEAST v1.10.4
# Generated Wed Jun 16 16:24:26 EDT 2021 [seed=543545]
# -seed 543545 -threads 10 -beagle_SSE -beagle_double beast_strict_clock.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1.963307908140772E8	-613.2465514922859	-1.963301775675257E8	517.9422256679187	264.4422256679187	559.5060956847941	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-1.963301775675257E8	0.0	-52.1603124726651
10000	-5951657.056501097	-121.94348119679361	-5951535.1130199	517.5454697887266	264.04546978872656	706.0884327408112	5.161251741761368	0.954358976170016	1.0568683677759676	0.9834218705390331	1.0311986585188118	0.9701709771409172	1.0039811498552538	0.26245635074281176	0.23822637366469382	0.23643611201861103	0.26288116357388336	2.412526730252508E-7	2.41252673025251E-7	-5951535.1130199	0.0	-126.45704192196226
20000	-5949478.023213722	-242.1548799562897	-5949235.868333765	527.3436281401727	273.84362814017265	1706.2700109208859	69.68295156733939	0.8852170529361383	1.0558277535213259	0.9519988024289556	1.020972514922983	1.0479696769955835	1.0380141991950138	0.26301730762617404	0.23595934362494833	0.23911596662384765	0.26190738212503	6.587481775686747E-8	6.587481775686749E-8	-5949235.868333765	0.0	-245.15592861114797
30000	-5949410.857300456	-263.1420276827233	-5949147.715272773	556.0970969756827	302.5970969756827	2175.7594701118865	102.105370491728	0.863278670990852	1.067069645013814	0.944535274591057	1.0229424183771656	1.0496412062927452	1.0525327847343666	0.2622705822354922	0.23655182543572803	0.23908707575648758	0.26209051657229215	4.930938360129342E-8	4.9309383601293365E-8	-5949147.715272773	0.0	-266.0273867779059
40000	-5949201.951507883	-257.8729582648271	-5948944.078549618	556.1207837212132	302.62078372121323	2105.0199048216455	89.3094668055206	0.8718468724166741	1.0884645895151819	0.913197803813532	1.0401426130273468	1.0146912818476428	1.0716568393796218	0.2627372964246193	0.23633206997270928	0.23908707575648758	0.26184355784618385	5.3335008269294224E-8	5.333500826929421E-8	-5948944.078549618	0.0	-260.83644450787114
50000	-5949203.8773718625	-267.5150597043411	-5948936.362312159	552.816281372608	299.31628137260805	2221.845633732952	100.56093460939424	0.8034416974368024	1.1250185603838605	0.952891693472011	1.0263657389511434	1.0431418611467245	1.0491404486094573	0.26257179174825773	0.23634312734635168	0.23908707575648758	0.26199800514890303	4.346909159965939E-8	4.346909159965936E-8	-5948936.362312159	0.0	-270.4891833110118
60000	-5949165.0621342	-266.21570967040213	-5948898.846424529	557.2057938515846	303.70579385158464	2216.053511724749	99.26848702252035	0.782757424563173	1.1590446828836911	0.9342030268891927	0.9944315950491289	1.1363911769346762	0.9931720936801363	0.26274155092428386	0.23634312734635168	0.23891731658046148	0.26199800514890303	4.6421987831757465E-8	4.642198783175746E-8	-5948898.846424529	0.0	-269.1685959860989
70000	-5949164.788665708	-283.0825831272907	-5948881.706082581	578.7142525107755	325.2142525107755	2705.948559712237	126.82816978038902	0.7770036253934832	1.1708923167620289	0.8884497083340492	0.9771928567767139	1.1826126712781966	1.0038488214555263	0.26267521530534543	0.23634312734635168	0.23898365219939988	0.26199800514890303	3.997885588725073E-8	3.997885588725073E-8	-5948881.706082581	0.0	-285.9650326860931
80000	-5949169.327645825	-291.75461322025933	-5948877.5730326045	585.7496226515719	332.24962265157194	2989.9393837588323	160.79131132502488	0.7392738388935216	1.1648761110019523	0.9024278873818978	0.9539970108238887	1.1752430595724344	1.064182092326303	0.26298910076259213	0.23602924188910498	0.23898365219939988	0.26199800514890303	3.212652890878657E-8	3.212652890878656E-8	-5948877.5730326045	0.0	-294.5590353443166
90000	-5949098.124376307	-321.6843344862731	-5948776.4400418205	643.5662693147598	390.0662693147598	3971.8353447105865	337.49073194798143	0.7454350761603517	1.1533986663895115	0.9262920995190823	0.8984405884973503	1.1804565861113367	1.0959769833223638	0.26298910076259213	0.23602924188910498	0.23898365219939988	0.26199800514890303	2.2999217206295525E-8	2.299921720629552E-8	-5948776.4400418205	0.0	-324.0564291552215
100000	-5949085.268773923	-314.92979137637855	-5948770.338982547	605.3929550134297	351.89295501342974	3566.008380286662	218.60246856781595	0.8066487298197955	1.1457956624225103	0.9653142587841942	0.8548677217548943	1.1944229277124865	1.0329506995061146	0.26274775923379184	0.2365053090226513	0.23874892659465385	0.26199800514890303	2.85537327222201E-8	2.85537327222201E-8	-5948770.338982547	0.0	-317.5741042963762
110000	-5949061.355665154	-300.1770503389221	-5948761.178614815	614.437144899002	360.93714489900196	3250.692468734335	216.36589503282212	0.7985909639435602	1.1849870175006425	0.9898450227918153	0.814564129318313	1.1875813394953034	1.0244315269503599	0.26274775923379184	0.23586767431014619	0.23929414752522854	0.2620904189308334	3.179929460199237E-8	3.179929460199237E-8	-5948761.178614815	0.0	-302.73152801487436
120000	-5949020.168864827	-309.8026273919454	-5948710.366237435	623.9209658600912	370.4209658600912	3523.7510966048008	254.4896890083441	0.8112590086263338	1.184314444368973	0.9907986009021873	0.7756835533535524	1.2029681736259763	1.0349762191229719	0.2626367918251354	0.2360794350340148	0.23881187461691009	0.26247189852393965	2.9614690979607286E-8	2.96146909796073E-8	-5948710.366237435	0.0	-312.27073048831244
130000	-5949006.248789215	-311.89011170913693	-5948694.358677506	600.4747357920492	346.97473579204916	3459.9385412205797	282.3628876068126	0.8422189874626052	1.2197861887069863	1.001507183141793	0.7029995565340904	1.1993603914544033	1.0341276927001162	0.2624217505058665	0.23660858466508639	0.23927087228920657	0.26169879253984046	2.86442611724198E-8	2.864426117241979E-8	-5948694.358677506	0.0	-314.26180839008555
140000	-5949014.754992851	-322.6041723037217	-5948692.150820548	638.958226810727	385.45822681072696	3958.367877572262	284.77672256377366	0.8371388437733543	1.2709153304511616	1.0000041340155035	0.7120986752656593	1.1028663688586242	1.0769766476356921	0.2626011045294753	0.23609985951016363	0.2394883749837961	0.2618106609765649	2.4982850636011273E-8	2.4982850636011266E-8	-5948692.150820548	0.0	-325.1030290672633
150000	-5948923.341466719	-335.20413939406114	-5948588.1373273255	633.3986322661252	379.8986322661252	4443.269183236593	384.4813713117142	0.8256043120711588	1.27478961539297	0.9723931439222259	0.7317739437398093	1.1686122792193256	1.026826705654505	0.2626214358909437	0.23607952814869523	0.2394883749837961	0.2618106609765649	2.056204150002498E-8	2.056204150002498E-8	-5948588.1373273255	0.0	-337.5579645433955
160000	-5948929.331535515	-344.8372128027559	-5948584.4943227125	644.0690467127968	390.56904671279676	4938.2624981985255	469.222602536703	0.8316538736185826	1.282334986501455	0.9115143846494195	0.7370152183929747	1.2121301581903912	1.0253513786471709	0.2626214358909437	0.23683547007887468	0.23873243305361666	0.2618106609765649	2.0672033384902844E-8	2.0672033384902848E-8	-5948584.4943227125	0.0	-347.0419893454312
170000	-5948894.402244417	-348.49501967769567	-5948545.907224739	672.6992501388081	419.1992501388081	5226.835389953979	623.8423371656602	0.8414750629493846	1.3135335294990385	0.8803697863957399	0.6690684626863677	1.2102091721197261	1.0853439863497372	0.2626214358909437	0.2363588850996779	0.23873243305361666	0.2622872459557617	2.058461156807483E-8	2.0584611568074823E-8	-5948545.907224739	0.0	-350.4454855363201
180000	-5948906.783339844	-349.928302821248	-5948556.855037022	668.2650805952187	414.7650805952187	5213.351465826558	532.4374880001051	0.8627074855169208	1.32424808957052	0.920185635029704	0.6326273669388254	1.20321782899157	1.0570135939524536	0.26221337987506615	0.2363588850996779	0.23914048906949426	0.2622872459557617	1.925294187716457E-8	1.9252941877164564E-8	-5948556.855037022	0.0	-352.0693564888304
