arch_id	project_id	julia_id	site_code	arm_position	time_period	start_date	end_date	end_date_orig	HP ID	Plague PCR Status
A2169 X2005.1	D01a	173	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4239	Negative
A2396 X2059	D02a	170	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4240	Weak Positive
A2397 X2060	D03a	172	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4241	Negative
A2426 X2132	D04a	171	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4242	Negative
A2434 X2163	D05a	175	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4245	Negative
A2435 X2175	D06a	179	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4246	Negative
A2436 X2176	D07a	176	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4247	Negative
A2476 X2291	D08a	177	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4251	Negative
A2490 X2338	D09a	185	HOM 1272	Post-medieval	4	1600	1800	1800	HP4255	Negative
A2669 X2770	D100a	204	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4276	Negative
A2709 X2848	D101a	206	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4278	Negative
A2756 X3008	D102a	215	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4284	Negative
A2778 X3070	D103a	213	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4286	Negative
G.DO x163	D106a	274	VSM 29F	Post (AC)	3	1350	1550	1550	HP4318	Negative
G.106	D107a	237	Sct. Mikkel JAH 1-77	C	3	1350	1550	1550	HP4336	Negative
G.17	D108a	298	VSM 902F 	pre 1300	1	1150	1349	1325	HP4345	Negative
67	D109a	297	VSM 902F 	pre 1300	1	1150	1349	1325	HP4349	Negative
A2493 X2360	D10a	184	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4257	Negative
68	D110a	295	VSM 902F 	pre 1300	1	1150	1349	1325	HP4350	Negative
G248 x613	D111a	24	ASR 1015	?C	3	1350	1550	1550	HP4357	Negative
G279	D112a	79	ASR 1015	BC	3	1350	1550	1550	HP4360	Negative
G53 	D113a	19	ASR 1015	D?	3	1350	1550	1550	HP4366	Negative
G61 x175	D114a	22	ASR 1015	AC	3	1350	1550	1550	HP4367	Negative
G.112	D115a	278	VSM 855F	Pre (AA)	1	1150	1349	1325	HP4385	Negative
G. 139	D116a	287	VSM 855F	Pre 1300	1	1150	1349	1325	HP4386	Negative
G.139 x284 (loose in G.139)	D117a	288	VSM 855F	Pre 1300	1	1150	1349	1325	HP4387	Negative
G.861	D118a	277	VSM 855F	Pre (AA)	1	1150	1349	1325	HP4396	Negative
G.869	D119a	291	VSM 855F	Pre (AA)	1	1150	1349	1325	HP4397	Negative
A2500 X2397	D11a	188	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4260	Negative
G.623	D120a	285	VSM 855F	pre 1300	1	1150	1349	1325	HP4403	Negative
A2524 X2499	D12a	191	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4263	Negative
A2533 X2563	D13a	211	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4264	Negative
A2539 X2571	D14a	196	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4266	Negative
A2548 X2594	D15a	203	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4269	Negative
A2549 X2598	D16a	202	HOM 1272	Post-Medeival	4	1600	1800	1800	HP4270	Negative
A2552 X2605	D17a	200	HOM 1272	Post-Medeival	4	1600	1800	1800	HP4272	Negative
A2713 X2896	D18a	207	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4279	Negative
a2721 x2838	D19a	210	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4280	Negative
A2731 X2914	D20a	216	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4282	Weak Positive
A2760 X3018	D21a	217	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4285	Negative
A465 X2014	D22a	168	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4287	Negative
X2876	D23a	208	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4288	Negative
A19 X21	D24a	307	ØHM 1247	A	1	1150	1349	1325	HP4290	Strong Positive
A21X23	D25a	312	ØHM 1247	A?	1	1150	1349	1325	HP4291	Medium Positive
A22 X24	D26a	306	ØHM 1247	A	1	1150	1349	1325	HP4292	Negative
A24X28	D27a	309	ØHM 1247	A	1	1150	1349	1325	HP4293	Negative
A38X54	D28a	310	ØHM 1247	A	1	1150	1349	1325	HP4295	Negative
x1164	D31a	NA	ASR 2391	NA	NA	1250	1550	1550	HP4300	Negative
Gr JK 318	D42a	267	VSM 29F	Post (CC)	3	1350	1550	1550	HP4314	Negative
GKO 419	D43a	270	VSM 29F	Post (CC)	3	1350	1550	1550	HP4315	Negative
Gr KT X437	D44a	271	VSM 29F	Post (CD)	3	1350	1550	1550	HP4316	Negative
Gr. KU X433	D45a	272	VSM 29F	Post (CD)	3	1350	1550	1550	HP4317	Negative
Gr.FS x192	D46a	273	VSM 29F	Post (C/)	3	1350	1550	1550	HP4319	Negative
Gr GV 211	D47a	264	VSM 29F	Post	3	1350	1550	1550	HP4320	Negative
GR LH 482	D48a	269	VSM 29F	Post (CC)	3	1350	1550	1550	HP4321	Negative
Gr IF 375	D49a	263	VSM 29F	Post	3	1350	1550	1550	HP4322	Negative
Gr GM 301-1	D50a	260	VSM 29F	Pre (BB)	2	1250	1449	1425	HP4324	Negative
Gr GC 15	D51a	266	VSM 29F	Post	3	1350	1550	1550	HP4325	Strong Positive
Gr. FO x241	D52a	259	VSM 29F	Pre (A)	1	1150	1349	1325	HP4327	Negative
GrLE 450	D53a	268	VSM 29F	Post (D)	3	1350	1550	1550	HP4328	Negative
G.1	D54a	303	VSM 906F	pre 1300	1	1150	1349	1325	HP4331	Negative
G.257	D55a	256	VSM 09264	pre 1300	1	1150	1349	1325	HP4338	Negative
G.294 x960	D56a	253	VSM 09264	Pre 1300	1	1150	1349	1325	HP4342	Negative
G.217 x850	D57a	257	VSM 09264	pre 1300	1	1150	1349	1325	HP4343	Negative
G.55	D58a	296	VSM 902F 	pre1300	1	1150	1349	1325	HP4348	Negative
G.100 x278	D59a	20	ASR 1015	C?	3	1350	1550	1550	HP4352	Negative
G.103 	D60a	21	ASR 1015	CC	3	1350	1550	1550	HP4353	Negative
G.199	D61a	NA	ASR 1015	NA	NA	1150	1550	1550	HP4356	Negative
G25A	D62a	17	ASR 1015	CA	3	1350	1550	1550	HP4358	Strong Positive
G.315 x822	D63a	35	ASR 1015	C?	3	1350	1550	1550	HP4363	Negative
G.324 x344	D64a	30	ASR 1015	DD	3	1350	1550	1550	HP4364	Negative
G.413	D65a	32	ASR 1015	AC	3	1350	1550	1550	HP4365	Negative
G819 	D66a	9	ASR 1015	CC	3	1350	1550	1550	HP4368	Negative
G841	D67a	46	ASR 1015	DD	3	1350	1550	1550	HP4369	Weak Positive
G89 X265	D68a	49	ASR 1015	DC	3	1350	1550	1550	HP4372	Negative
G99 X286	D69a	26	ASR 1015	DC	3	1350	1550	1550	HP4375	Negative
G113 X293	D70a	25	ASR 1015	DD	3	1350	1550	1550	HP4376	Negative
G.16	D71a	34	ASR 1015	C?	3	1350	1550	1550	HP4377	Strong Positive
G207	D72a	13	ASR 1015	CB	3	1350	1550	1550	HP4378	Strong Positive
G221	D73a	40	ASR 1015	CC	3	1350	1550	1550	HP4379	Negative
G.438 x1369	D74a	33	ASR 1015	CC	3	1350	1550	1550	HP4381	Negative
G861 X1035	D75a	10	ASR 1015	CC	3	1350	1550	1550	HP4383	Strong Positive
G87 x251	D76a	23	ASR 1015	DD	3	1350	1550	1550	HP4384	Negative
G. 147	D77a	293	VSM 855F	Post (C/D)	3	1350	1550	1550	HP4388	Negative
G.155	D78a	284	VSM 855F	Pre B 	1	1150	1349	1325	HP4389	Negative
G.163	D79a	279	VSM 855F	Pre (AA)	1	1150	1349	1325	HP4390	Negative
G.622	D80a	282	VSM 855F	Pre 1300	1	1150	1349	1325	HP4392	Negative
G.855	D81a	290	VSM 855F	Pre (AA)	1	1150	1349	1325	HP4394	Negative
G.857	D82a	275	VSM 855F	Pre (AA)	1	1150	1349	1325	HP4395	Negative
G110	D83a	289	VSM 855F	pre (AA)	1	1150	1349	1325	HP4398	Negative
G.174	D84a	276	VSM 855F	Pre (AA)	1	1150	1349	1325	HP4399	Negative
G. 179	D85a	292	VSM 855F	Post (C/C)	3	1350	1550	1550	HP4400	Negative
G.616	D86a	280	VSM 855F	Pre 	1	1150	1349	1325	HP4401	Negative
G. 617	D87a	283	VSM 855F	Pre 1100	1	1150	1349	1325	HP4402	Negative
G.649	D88a	281	VSM 855F	Before 1300	1	1150	1349	1325	HP4404	Negative
A2437 X2140	D89a	169	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4243	Negative
A2430 X2152	D90a	174	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4244	Negative
A2485 X2315	D91a	187	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4253	Negative
A2494 X2371	D92a	183	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4258	Negative
A2497 X2392	D93a	189	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4259	Negative
A2516 X2460	D94a	192	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4261	Negative
A2521 X2475	D95a	193	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4262	Negative
A2545 X2533 	D96a	197	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4268	Negative
A2550 X2599	D97a	201	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4271	Negative
