Laboratory ID	Individual ID	Element Used	Country	Province	Municipality	Cemetery	Cemetery/phase date range	Site code	Time Point	Arm Position	Dating technique	Individual date range	Julia Adjustments - Jesper to review	Jesper Finalized	Included in analyses	cMYC copies per uL (avg)	pla Positive PCR Replicates	Plague Status
LP385	 A1424 x1424	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	Post-BD	BC	Arm position	1350-1536 AD	1350-1450 AD	1350-1450 AD	"GWAS, exon, neutral, Plague PCR Detection"	9		
LP382	A1001 x1001	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	C	Arm position	?	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP383	A1030 x1030	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	?	Stratigraphic	?	1350 - 1450 AD	1250 - 1400	Plague PCR detection			
LP199	A1038 x1038	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP186	A106 x3012	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP200	A1087 x1087	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP384	A1155 x1155 	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	?	C14 (rib)	?	1470 - 1520 AD	1470 - 1520 AD	Plague PCR detection		4	Positive
LP201	A1189 x1189	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP371	A121 x121 	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	Pre-BD	AA	Arm position	1150-1350 AD	1150 - 1250 AD	1150 - 1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	13	1	
LP202	A1224 x1224	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP203	A1378 x1378	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP204	A1399 x1399	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP205	A1428 x1428	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection		1	
LP187	A146 x3011	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	"Arm position, Stratigraphy, C14 (rib)"	?	1250-1480 AD	1250-1480 AD	Plague PCR detection		6	Positive
LP386	A1460 x1460	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	B	Arm position	?	1250 - 1350 AD	1400 - 1536	Plague PCR detection			
LP387	A1480 x1480	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	?	C14 (cranial)	?	1245 - 1295 AD	1245 - 1295 AD	Plague PCR detection		6	Positive
LP388	A1485 x1485	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	?	Stratigraphic	?	1150 - 1350 AD	1150 - 1350 AD	Plague PCR detection		1	
LP188	A151 x151	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP189	A151 x3013	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP389	A1518 x1518	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	?	Stratigraphic	?	1150 - 1350 AD	1150 - 1350 AD	Plague PCR detection			
LP390	A1553 x1553	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	C	Arm position	?	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LR13	A16 x18	Tooth	Denmark	Region of Southern Denmark	Faaborg-Midtfyn Municipality	Hågerup	1100-1555 AD	ØHM 1247	Pre-BD	A	Arm position	1100-1350 AD	1100 - 1250 AD	1100 - 1300	Plague PCR detection			
LP391	A1653 x1653	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Ole Wormsgade	1150-1536 AD	HOM 1649	?	?	Stratigraphic	?	1150 - 1536 AD	1150 - 1536 AD	Plague PCR detection			
LP190	A167 x3006	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP372	A175 x175	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	Pre-BD	A	Arm position	1150-1350 AD	1150 - 1250 AD	1150 - 1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	255		
