Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
D51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2196080172241583e-05	2.2196080172241583e-05	0.0	4.4392160344483165e-05	6.658824051672475e-05	0.0001331764810334495	0.00019976472155017424	0.0005549020043060396	0.00044392160344483165	0.0011985883293010454	0.0015093334517124275	0.0025525492198077817	0.0033294120258362376	0.00490533371806539	0.005171686680132288	0.007036157414600582	0.008967216389585598	0.010587530242159233	0.01249639313697201	0.015448471799880141	0.01777906021796551	0.019887687834328455	0.023749805784298497	0.025814041240316957	0.028521963021330435	0.03291678689543427	0.03702306172729896	0.041240316960024864	0.045945885956540075	0.052205180565112204	0.055246043548709295	0.05799835749006726	0.0628814951279604	0.0630368676891661	0.06339200497192196	0.061416553836592454	0.05711051428317759	0.048054513572903024	0.04055223847468538	0.03444831642731894	0.020198432956739842	0.0148935697955741	0.008878432068896634	0.005571216123232636	0.003196235544802788	0.0015315295318846691	0.0009322353672341465	0.00044392160344483165	0.00015537256120569108	8.878432068896633e-05	8.878432068896633e-05	4.4392160344483165e-05	0.0	2.2196080172241583e-05	2.2196080172241583e-05	2.2196080172241583e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.253480430785395e-05	0.0003152088258471237	0.0002101392172314158	0.00015760441292356184	0.0005253480430785395	0.0008405568689256633	0.0009456264775413711	0.0021013921723141583	0.0028368794326241137	0.0025742054110848437	0.004307853953244024	0.006094037299711058	0.00756501182033097	0.009403729971105858	0.009876543209876543	0.014499605988967693	0.013816653532965592	0.01565537168374048	0.020330969267139478	0.022432361439453638	0.02474389282899921	0.030785395324402418	0.03446283162595219	0.04034672970843184	0.04838455476753349	0.055214079327554504	0.05868137641187287	0.06866298923036511	0.07339112161807199	0.0758602574205411	0.07423167848699763	0.06682427107959023	0.061728395061728385	0.051799317047544	0.040031520882584715	0.02353559232991857	0.015760441292356188	0.009771473601260836	0.005043341213553981	0.002994483845547676	0.0018912529550827424	0.0005253480430785395	0.00015760441292356184	0.0003152088258471237	0.00015760441292356184	0.0	5.253480430785395e-05	0.0	0.0	5.253480430785395e-05	0.0	0.0	0.0	0.0	0.0	5.253480430785395e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.93192089890852e-06	0.0	0.0	2.6795762696725556e-05	1.786384179781704e-05	2.6795762696725556e-05	7.145536719126815e-05	0.0001429107343825363	0.0002947533896639811	0.0003662087568552493	0.0006073706211257794	0.0008931920898908519	0.0012951285303417354	0.0020096822022544173	0.002438414405402026	0.003420925704281963	0.004867896889905143	0.004778577680916058	0.006538166098001037	0.0074134943460940714	0.00910162739598778	0.011691884456671253	0.01314778756319334	0.014237481912860178	0.01670269208095893	0.01921256185355222	0.02207077654120295	0.024473463263009337	0.02876971721538434	0.03211025563157613	0.03633505421675985	0.04175673020239733	0.04557066042623126	0.051162042908948	0.05565479912109899	0.056485467764697476	0.05785205166223048	0.06174636917415459	0.05958484431661873	0.05648546776469748	0.05222494149591811	0.04701763161185444	0.04428446381678844	0.029466407045499205	0.025357723432001295	0.018265778238267923	0.013013808749709713	0.008565712142053268	0.005251969488558209	0.0033762660997874207	0.0016702692080958932	0.0010450347451722967	0.0005984387002268708	0.00016077457618035335	9.825112988799372e-05	7.145536719126815e-05	5.359152539345112e-05	1.786384179781704e-05	1.786384179781704e-05	8.93192089890852e-06	0.0	8.93192089890852e-06	0.0	0.0	8.93192089890852e-06	0.0	0.0	0.0	0.0	8.93192089890852e-06	0.0	0.0	0.0	8.93192089890852e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.679576269672556e-05
D72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.383636732760371e-05	0.0	0.0	0.0	6.767273465520742e-05	0.00010150910198281113	0.00016918183663801854	0.000236854571293226	0.0003383636732760371	0.0006428909792244705	0.0010827637544833187	0.0015564728970697704	0.0020301820396562225	0.002300872978277052	0.0033498003654327665	0.004364891385260878	0.006158218853623875	0.006428909792244705	0.008323746362590513	0.009508019219056642	0.010455437504229545	0.013805237869662312	0.014481965216214388	0.018745347499492457	0.02043716586587264	0.025174257291737157	0.028422548555187117	0.035325167490018274	0.04043445895648644	0.046423495973472284	0.0547472423360628	0.05961967923123773	0.065744061717534	0.0712593895919334	0.07552277187521148	0.07247749881572714	0.06527035257494755	0.060194897475806995	0.055390133315287284	0.035189822020707855	0.03085876700277458	0.021621438722338775	0.012925492319144617	0.008289909995262908	0.00446640048724369	0.002909927590173919	0.001285781958448941	0.0008797455505176965	0.0006090546118968668	6.767273465520742e-05	0.00013534546931041484	3.383636732760371e-05	0.0	3.383636732760371e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.383636732760371e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.383636732760371e-05
D75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.317846257257756e-05	1.158923128628878e-05	1.158923128628878e-05	3.476769385886634e-05	3.476769385886634e-05	0.0001738384692943317	0.00026655231958464193	0.00044039078887897357	0.0005446938704555726	0.000788067727467637	0.001216869285060322	0.0016804385365118734	0.002306257025971467	0.003314520147878591	0.003592661698749522	0.004971780221817887	0.005713491024140368	0.007266448016503065	0.008749869621148031	0.00996673890620835	0.011380625123135582	0.013153777509937764	0.015796122243211606	0.0169434561405542	0.021057633247186715	0.02424467185091613	0.026840659659044818	0.03200945681272961	0.037502752442430495	0.0419414280250791	0.045800642043413255	0.0497873376058966	0.05360019469908561	0.059615005736669474	0.061990798150358684	0.06340468436728591	0.06111001657260075	0.05988155805625413	0.05496772399086769	0.05306709005991632	0.03613522315064842	0.03234554452003199	0.025218167278964386	0.018774554683787824	0.012759743646203947	0.007799552655672349	0.005191975616257373	0.002966843209289928	0.0015761354549352741	0.0010777985096248565	0.00047515848273784004	0.00016224923800804296	0.0001622492380080429	0.00010430308157659903	2.317846257257756e-05	0.0	1.158923128628878e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.158923128628878e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.914813654870028e-05	0.0	3.914813654870028e-05	3.914813654870028e-05	0.00015659254619480113	0.00035233322893830254	0.0006263701847792044	0.0003914813654870028	0.0008612590040714063	0.001252740369558409	0.0023880363294707173	0.003836517381772627	0.004658628249295333	0.00551988725336674	0.006772627622925148	0.008455997494519262	0.010100219229564673	0.013232070153460696	0.014406514249921704	0.01839962417788913	0.019456623864704037	0.021179141872846852	0.025093955527716885	0.028225806451612906	0.033001879110554334	0.035898841215158156	0.03844347009082368	0.045333542123394924	0.04944409646100846	0.054572502348888184	0.05848731600375822	0.06459442530535547	0.06619949890385218	0.06588631381146258	0.06381146257438146	0.05797839022862512	0.05069683683056687	0.04349357970560601	0.032766990291262135	0.018634512997181333	0.014406514249921704	0.009199812088944567	0.005050109614782337	0.0026229251487629194	0.001839962417788913	0.0010178515502662076	0.0004306295020357031	7.829627309740057e-05	0.0002348888192922017	0.00015659254619480113	0.00011744440964610085	3.914813654870028e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.914813654870028e-05	0.0	0.0	0.0	0.0	3.914813654870028e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.873398080570082e-05	0.00011493592322280328	2.873398080570082e-05	0.00025860582725130735	0.0001724038848342049	0.0004022757312798115	0.0008332854433653237	0.0013217631170622376	0.0014366990402850412	0.0021263145796218607	0.002643526234124476	0.003879087408769611	0.005172116545026148	0.0060054019883914725	0.008074248606401931	0.008160450548819033	0.01120625251422332	0.012671685535314062	0.013562438940290788	0.017326590425837597	0.019452905005459455	0.020085052583184874	0.024136543876788694	0.026550198264467556	0.02985460605712316	0.033992299293144075	0.03640595368082294	0.04028504108959255	0.044451468306419176	0.049681052813056716	0.051462559623010176	0.055542784897419685	0.060082753864720416	0.061605654847422565	0.06396184127349003	0.060370093672777424	0.05643353830239642	0.04749727027182347	0.03850353427963911	0.028475374978449517	0.024308947761622894	0.012154473880811445	0.00839032239526464	0.004712372852134935	0.002959600022987185	0.001465433021090742	0.0008907534049767255	0.0004022757312798115	8.620194241710247e-05	8.620194241710247e-05	0.0001436699040285041	2.873398080570082e-05	5.746796161140164e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.746796161140164e-05
P387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.965697240865026e-05	5.965697240865026e-05	8.948545861297538e-05	0.00014914243102162565	0.0003281133482475764	0.0006860551826994781	0.0006860551826994779	0.0008351976137211038	0.0014019388516032813	0.0024459358687546604	0.003788217747949292	0.004891871737509322	0.0056674123788217744	0.007367636092468307	0.00912751677852349	0.010380313199105144	0.013124533929903058	0.015958240119313943	0.01837434750186428	0.018135719612229678	0.023296047725577928	0.025831469052945564	0.028307233407904545	0.03257270693512304	0.03797166293810589	0.0416703952274422	0.0445041014168531	0.05094705443698733	0.05536167039522744	0.059985085756897844	0.06126771066368382	0.06505592841163312	0.0637136465324385	0.06147651006711409	0.05795674869500373	0.04769574944071589	0.04143176733780761	0.0329903057419836	0.020492170022371366	0.013512304250559286	0.008680089485458613	0.005130499627143924	0.003072334079045489	0.001372110365398956	0.0010439970171513796	0.0005965697240865026	0.00017897091722595077	5.965697240865026e-05	5.965697240865026e-05	5.965697240865026e-05	2.982848620432513e-05	2.982848620432513e-05	0.0	5.965697240865026e-05	0.0	0.0	2.982848620432513e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6978937627872624e-05	0.0	8.489468813936312e-06	2.5468406441808934e-05	3.395787525574525e-05	0.00010187362576723575	0.0002122367203484078	0.00042447344069681555	0.00048389972239436984	0.0009508205071608669	0.001222483509206829	0.0016469569499036447	0.002360072330274295	0.0033618296503187795	0.003760834684573786	0.005068212881919979	0.0066217856748703235	0.0075216693691475735	0.009559141884492289	0.010722199112001563	0.012632329595137232	0.0145424600782729	0.017343984786871887	0.020536025060911938	0.023244165612557623	0.02649563216829523	0.030180061633543587	0.034297454008302704	0.040223103240430255	0.045197931965396926	0.04940870849710934	0.053806253342728344	0.05719355139948892	0.06165901199561943	0.06274566400380328	0.06092042820880698	0.06000356557690185	0.055707894357050085	0.049306834871342096	0.04789758304822868	0.03210717105430714	0.028142589118198877	0.020841645938213645	0.015433854303736217	0.01015340470146783	0.006180333296545635	0.0042022870628984745	0.0025723090506227027	0.0013158676661601284	0.0007131153803706503	0.0005008786600222424	0.00018676831390659887	0.00010187362576723575	5.942628169755419e-05	1.6978937627872624e-05	8.489468813936312e-06	0.0	0.0	8.489468813936312e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.489468813936312e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAMEA3713711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7042162309553835e-05	3.408432461910767e-05	0.00010225297385732301	0.0002385902723337537	0.0004771805446675074	0.0008691502777872456	0.0012270356862878762	0.002198438937932445	0.0039878659804355975	0.005794335185248305	0.006782780599202427	0.008878966563277548	0.011895429292068578	0.013412181737618873	0.017434132042673574	0.020024540713725753	0.02121749207539453	0.024574798050376632	0.02419987047956645	0.025222400218139675	0.02609155049592692	0.027335628344524354	0.026636899689832644	0.026858447799856848	0.02811956781076383	0.030386175397934492	0.032311939738914074	0.03481713759841849	0.037646136541804424	0.042060056579978876	0.043849483622482026	0.04667848256586795	0.05035958962473159	0.05110944476635196	0.05097310746787552	0.05231943829033027	0.04071372575752411	0.038770919254234974	0.031971096492723	0.027727598077644088	0.020365383959916834	0.014605133099287638	0.009969664951088994	0.007430382766965472	0.004601383823579535	0.002880125430314598	0.001874637854050922	0.0011247827124305533	0.0006646443300725996	0.00044309622004839967	0.0003067589215719691	0.00022154811002419986	3.408432461910767e-05	3.408432461910767e-05	3.408432461910767e-05	0.0	0.0	0.0	0.0	3.408432461910767e-05	0.0	0.0	0.0	0.0	1.7042162309553835e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.408432461910767e-05
