Sample	Variant-COMPLEX	Variant-DEL	Variant-INS	Variant-SNP
D24	0.0	0.0	5.0	53.0
D25	1.0	1.0	0.0	7.0
D51	5.0	6.0	4.0	118.0
D62	1.0	2.0	4.0	58.0
D71	2.0	4.0	5.0	111.0
D72	3.0	2.0	8.0	112.0
D75	2.0	5.0	9.0	144.0
P187	2.0	4.0	6.0	108.0
P212	1.0	5.0	2.0	100.0
P246	0.0	0.0	0.0	6.0
P384	1.0	1.0	0.0	39.0
P387	1.0	3.0	2.0	95.0
R21	0.0	3.0	2.0	64.0
R36	2.0	4.0	5.0	101.0
R44	6.0	0.0	0.0	30.0
SAMEA3713711	4.0	13.0	12.0	222.0
SAMEA3713713	10.0	16.0	16.0	249.0
SAMEA3713714	7.0	9.0	6.0	215.0
SAMEA3713715	8.0	14.0	10.0	230.0
SAMEA3937654	1.0	4.0	5.0	105.0
SAMEA5054093	2.0	4.0	2.0	73.0
SAMEA5818803	6.0	11.0	7.0	177.0
SAMEA5818805	3.0	5.0	6.0	142.0
SAMEA5818806	5.0	6.0	5.0	108.0
SAMEA5818808	3.0	5.0	1.0	111.0
SAMEA5818809	3.0	4.0	3.0	118.0
SAMEA5818811	3.0	6.0	4.0	85.0
SAMEA5818815	2.0	14.0	14.0	150.0
SAMEA5818817	5.0	7.0	6.0	126.0
SAMEA5818822	3.0	4.0	3.0	143.0
SAMEA5818825	2.0	5.0	2.0	128.0
SAMEA5818828	3.0	7.0	7.0	155.0
SAMEA6651390	3.0	9.0	13.0	145.0
SAMEA7293135	12.0	29.0	19.0	309.0
SAMEA7293136	2.0	6.0	6.0	107.0
SAMEA7313236_38	2.0	12.0	5.0	200.0
SAMEA7313243_45	0.0	5.0	5.0	105.0
