Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
D51	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D51/D51.bam	642107.0	642107.0	44642395.0	44639411.0	0.0	0.0	36.9976	0.0139	9.243	100.0
D62	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D62/D62.bam	317681.0	317681.0	18808542.0	18807848.0	0.0	0.0	36.9986	0.013	3.8942	100.0
D71	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D71/D71.bam	1630634.0	1630634.0	111040378.0	111035214.0	0.0	0.0	36.9982	0.012	22.9904	100.0
D72	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D72/D72.bam	440831.0	440831.0	29224942.0	29223600.0	0.0	0.0	36.9983	0.0125	6.0509	100.0
D75	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D75/D75.bam	1326098.0	1326098.0	85531898.0	85528411.0	0.0	0.0	36.9985	0.0114	17.709	100.0
P187	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P187/P187.bam	330435.0	330435.0	25292491.0	25290628.0	0.0	0.0	36.9974	0.0114	5.2367	100.0
P212	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P212/P212.bam	534718.0	534718.0	34417937.0	34415728.0	0.0	0.0	36.9976	0.0146	7.1261	100.0
P387	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P387/P387.bam	454502.0	454502.0	33192921.0	33189599.0	0.0	0.0	36.9964	0.0111	6.8724	100.0
R36	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/R36/R36.bam	1682735.0	1682735.0	116860462.0	116854571.0	0.0	0.0	36.9981	0.0129	24.1954	100.0
SAMEA3713711	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713711/SAMEA3713711.bam	859121.0	859121.0	58135603.0	58132867.0	0.0	0.0	36.9056	0.0017	12.0367	100.0
SAMEA3713712	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713712/SAMEA3713712.bam	877851.0	877851.0	72331027.0	72325774.0	0.0	0.0	36.7211	0.0024	14.9758	100.0
SAMEA3713713	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713713/SAMEA3713713.bam	1376115.0	1376115.0	95791796.0	95787899.0	0.0	0.0	36.8142	0.0016	19.8333	100.0
SAMEA3713714	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713714/SAMEA3713714.bam	975980.0	975980.0	63201521.0	63200200.0	0.0	0.0	36.9068	0.0014	13.0856	100.0
SAMEA3713715	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713715/SAMEA3713715.bam	1594858.0	1594858.0	116660015.0	116655808.0	0.0	0.0	36.9062	0.0018	24.1539	100.0
SAMEA3937653	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3937653/SAMEA3937653.bam	885802.0	885802.0	50786711.0	50785018.0	0.0	0.0	36.9988	0.0011	10.5152	100.0
SAMEA3937654	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3937654/SAMEA3937654.bam	1589079.0	1589079.0	88183832.0	88182161.0	0.0	0.0	36.9993	0.0017	18.2581	100.0
