Sample	Retained Read Pairs	Singleton R1	Singleton R2	Full-length Collapsed Pairs	Truncated Collapsed Pairs	Discarded R1	Discarded R2
D24-L001_1	8404197.0	0.0	0.0	7911925.0	0.0	668297.0	668297.0
D24-L002_1	8349807.0	0.0	0.0	7865781.0	0.0	670763.0	670763.0
D25-L001_1	6425758.0	0.0	0.0	6122782.0	0.0	743049.0	743049.0
D25-L002_1	6392993.0	0.0	0.0	6092835.0	0.0	746765.0	746765.0
D51-L001_1	12728909.0	0.0	0.0	12406745.0	0.0	1271926.0	1271926.0
D51-L002_1	12660384.0	0.0	0.0	12344192.0	0.0	1277233.0	1277233.0
D62-L001_1	8416517.0	0.0	0.0	7881609.0	0.0	658001.0	658001.0
D62-L002_1	8348065.0	1.0	0.0	7823647.0	0.0	660687.0	660688.0
D71-L001_1	14755107.0	0.0	0.0	14381425.0	0.0	955851.0	955851.0
D71-L002_1	14637789.0	2.0	0.0	14270333.0	0.0	958178.0	958180.0
D72-L001_1	9844714.0	2.0	0.0	9559128.0	0.0	1124241.0	1124243.0
D72-L002_1	9779689.0	2.0	0.0	9498899.0	0.0	1126870.0	1126872.0
D75-L001_1	13611038.0	0.0	0.0	13246800.0	0.0	239103.0	239103.0
D75-L002_1	13450548.0	0.0	0.0	13093618.0	0.0	237940.0	237940.0
P187M2-S270-L001_1	374286.0	0.0	0.0	344978.0	0.0	5301.0	5301.0
P187M2-S270-L002_1	373787.0	0.0	0.0	344685.0	0.0	5120.0	5120.0
P187M2-S67-L001_1	163632.0	0.0	0.0	156280.0	0.0	2753.0	2753.0
P187M2-S67-L002_1	165387.0	0.0	0.0	157785.0	0.0	2823.0	2823.0
P187S6aM4-S69-L001_1	2229599.0	0.0	0.0	2137497.0	0.0	212850.0	212850.0
P187S6aM4-S69-L002_1	2236554.0	0.0	0.0	2145206.0	0.0	214559.0	214559.0
P187S6aM5-S112-L001_1	414729.0	89.0	0.0	396537.0	0.0	228881.0	228970.0
P187S6aM5-S112-L002_1	426614.0	69.0	0.0	408582.0	0.0	236208.0	236277.0
P187S6bM4-S70-L001_1	2033385.0	0.0	0.0	1932207.0	0.0	379031.0	379031.0
P187S6bM4-S70-L002_1	2041079.0	0.0	0.0	1938501.0	0.0	381013.0	381013.0
P187S6bM5-S113-L001_1	890661.0	294.0	0.0	840013.0	0.0	899612.0	899906.0
P187S6bM5-S113-L002_1	913962.0	222.0	0.0	864418.0	0.0	924426.0	924648.0
