Sample	Top over-represented sequence	Sum of remaining over-represented sequences
D24-L001_1	0.0	0.0
D24-L001_2	0.0	0.0
D24-L002_1	0.0	0.0
D24-L002_2	0.0	0.0
D25-L001_1	0.0	0.0
D25-L001_2	0.0	0.0
D25-L002_1	0.0	0.0
D25-L002_2	0.0	0.0
D51-L001_1	0.0	0.0
D51-L001_2	0.0	0.0
D51-L002_1	0.0	0.0
D51-L002_2	0.0	0.0
D62-L001_1	0.0	0.0
D62-L001_2	0.0	0.0
D62-L002_1	0.0	0.0
D62-L002_2	0.0	0.0
D71-L001_1	0.0	0.0
D71-L001_2	0.0	0.0
D71-L002_1	0.0	0.0
D71-L002_2	0.0	0.0
D72-L001_1	0.0	0.0
D72-L001_2	0.0	0.0
D72-L002_1	0.0	0.0
D72-L002_2	0.0	0.0
D75-L001_1	0.0	0.0
D75-L001_2	0.0	0.0
D75-L002_1	0.0	0.0
D75-L002_2	0.0	0.0
P187M2-S270-L001_1	0.0	0.0
P187M2-S270-L001_2	0.0	0.0
P187M2-S270-L002_1	0.0	0.0
P187M2-S270-L002_2	0.0	0.0
P187M2-S67-L001_1	0.0	0.0
P187M2-S67-L001_2	0.0	0.0
P187M2-S67-L002_1	0.0	0.0
P187M2-S67-L002_2	0.0	0.0
P187S6aM4-S69-L001_1	0.21870323710836012	0.11947097268483783
P187S6aM4-S69-L001_2	0.21240211350535262	0.2166585016345365
P187S6aM4-S69-L002_1	0.2236597976502418	0.12189043247407227
P187S6aM4-S69-L002_2	0.21509587231270466	0.21684191534268793
P187S6aM5-S112-L001_1	0.0	0.0
P187S6aM5-S112-L001_2	0.0	0.0
P187S6aM5-S112-L002_1	0.0	0.0
P187S6aM5-S112-L002_2	0.0	0.0
P187S6bM4-S70-L001_1	0.11994951366039934	0.0
P187S6bM4-S70-L001_2	0.0	0.0
P187S6bM4-S70-L002_1	0.12029679395546572	0.0
P187S6bM4-S70-L002_2	0.0	0.0
P187S6bM5-S113-L001_1	0.0	0.0
P187S6bM5-S113-L001_2	0.0	0.0
P187S6bM5-S113-L002_1	0.0	0.0
P187S6bM5-S113-L002_2	0.0	0.0
P187S6cM4-S71-L001_1	0.20044135470409108	0.0
P187S6cM4-S71-L001_2	0.20170836705999556	0.0
P187S6cM4-S71-L002_1	0.1994197977385421	0.0
P187S6cM4-S71-L002_2	0.19902412353667986	0.0
P187S6cM5-S114-L001_1	0.0	0.0
P187S6cM5-S114-L001_2	0.0	0.0
P187S6cM5-S114-L002_1	0.0	0.0
P187S6cM5-S114-L002_2	0.0	0.0
P187S6dM4-S72-L001_1	0.25832654958008144	0.8057306205674819
P187S6dM4-S72-L001_2	0.26021113828698245	0.8685655659902525
P187S6dM4-S72-L002_1	0.25418553670126504	0.7990777832424949
P187S6dM4-S72-L002_2	0.2544597883143216	0.8584989660714188
P187S6eM4-S73-L001_1	0.3165577466396507	3.1266944436517217
P187S6eM4-S73-L001_2	0.30007705259553097	2.557575411660626
P187S6eM4-S73-L002_1	0.3044849035703127	3.267461016275173
P187S6eM4-S73-L002_2	0.28829494134689126	2.488851648819837
P187bM3-L001_1	0.0	0.0
P187bM3-S498-L001_1	0.0	0.0
P187bM3-S498-L001_2	0.0	0.0
P187bM3-S498-L002_1	0.0	0.0
P187bM3-S498-L002_2	0.0	0.0
P187cM3-L001_1	0.0	0.0
P187cM3-S499-L001_1	0.0	0.0
P187cM3-S499-L001_2	0.0	0.0
P187cM3-S499-L002_1	0.0	0.0
P187cM3-S499-L002_2	0.0	0.0
P187cM3-S68-L001_1	0.0	0.0
P187cM3-S68-L001_2	0.0	0.0
P187cM3-S68-L002_1	0.0	0.0
P187cM3-S68-L002_2	0.0	0.0
P212M2-S271-L001_1	0.3432306523199595	0.9544708642165662
P212M2-S271-L001_2	0.2290774127468364	1.2145508210442844
P212M2-S271-L002_1	0.3393449787327948	1.046701311513714
P212M2-S271-L002_2	0.2210015274310168	1.302156576823722
P212S6aM4-S76-L001_1	0.13659110683528863	0.9390638594926094
P212S6aM4-S76-L001_2	0.1354570478301986	0.9410799643905472
P212S6aM4-S76-L002_1	0.13662317244531622	0.9546669747385261
P212S6aM4-S76-L002_2	0.13819283205521185	0.9529717423598391
P212S6aM5-S115-L001_1	0.0	0.0
P212S6aM5-S115-L001_2	0.0	0.0
P212S6aM5-S115-L002_1	0.0	0.0
P212S6aM5-S115-L002_2	0.0	0.0
P212S6bM4-S77-L001_1	0.17031677576570323	0.11105863129810947
P212S6bM4-S77-L001_2	0.23135535201151838	0.3962972393901383
P212S6bM4-S77-L002_1	0.16518126135621172	0.21343157717342096
P212S6bM4-S77-L002_2	0.23583470371363588	0.3904497143434178
P212S6bM5-S116-L001_1	0.0	0.0
P212S6bM5-S116-L001_2	0.0	0.0
P212S6bM5-S116-L002_1	0.0	0.0
P212S6bM5-S116-L002_2	0.0	0.0
P212S6cM4-S78-L001_1	0.10353470397761941	0.20316691993248356
P212S6cM4-S78-L001_2	0.10356863865607815	0.0
P212S6cM4-S78-L002_1	0.10646690355946031	0.20635969496119588
P212S6cM4-S78-L002_2	0.1065343303508216	0.0
P212S6cM5-S117-L001_1	0.0	0.0
P212S6cM5-S117-L001_2	0.0	0.0
P212S6cM5-S117-L002_1	0.0	0.0
P212S6cM5-S117-L002_2	0.0	0.0
P212S6dM4-S79-L001_1	0.10044454530114452	0.10027483450773203
P212S6dM4-S79-L001_2	0.0	0.0
P212S6dM4-S79-L002_1	0.0	0.0
P212S6dM4-S79-L002_2	0.0	0.0
P212S6eM4-S80-L001_1	0.17412382476081095	0.38281289902226173
P212S6eM4-S80-L001_2	0.17495206556354195	0.38132206557734605
P212S6eM4-S80-L002_1	0.174944280152411	0.37609380615289467
P212S6eM4-S80-L002_2	0.173784994585058	0.37369435462976863
P212aM3-S500-L001_1	0.0	0.0
P212aM3-S500-L001_2	0.0	0.0
P212aM3-S500-L002_1	0.0	0.0
P212aM3-S500-L002_2	0.0	0.0
P212aM3-S74-L001_1	2.8469750889679712	97.15302491103145
P212aM3-S74-L001_2	1.1862396204033214	98.8137603795961
P212aM3-S74-L002_1	1.8640350877192982	98.1359649122802
P212aM3-S74-L002_2	1.8640350877192982	98.1359649122802
P212bM3-S501-L001_1	0.0	0.0
P212bM3-S501-L001_2	0.12962555335436693	0.11345194505391334
P212bM3-S501-L002_1	0.0	0.0
P212bM3-S501-L002_2	0.12340057518423128	0.10640433965277088
P212bM3-S75-L001_1	0.8350730688935281	99.1649269311058
P212bM3-S75-L001_2	1.0438413361169103	98.9561586638824
P212bM3-S75-L002_1	0.6607929515418502	99.33920704845865
P212bM3-S75-L002_2	0.881057268722467	99.11894273127803
P212cM3-S502-L001_1	0.0	0.0
P212cM3-S502-L001_2	0.13048532929292678	0.0
P212cM3-S502-L002_1	0.0	0.0
P212cM3-S502-L002_2	0.13277916473606682	0.0
P246M2-S273-L001_1	0.2207882651215047	1.5580936517145205
P246M2-S273-L001_2	0.1891114962942926	0.9610992669260128
P246M2-S273-L002_1	0.208085963226737	1.2521746930643523
P246M2-S273-L002_2	0.19404045578261803	1.0734780689433765
P246S6aM4-S84-L001_1	0.14052305106466761	0.7546753271662372
P246S6aM4-S84-L001_2	0.18408911118583057	0.8918712307822984
P246S6aM4-S84-L002_1	0.14275425840738543	0.7640796202246483
P246S6aM4-S84-L002_2	0.18166247819680634	0.8985464278168869
P246S6aM5-S121-L001_1	0.0	0.0
P246S6aM5-S121-L001_2	0.0	0.0
P246S6aM5-S121-L002_1	0.0	0.0
P246S6aM5-S121-L002_2	0.0	0.0
P246S6bM4-S85-L001_1	0.15820947774350327	0.7174574312460815
P246S6bM4-S85-L001_2	0.2667189417335436	0.8224392213039353
P246S6bM4-S85-L002_1	0.1611472903158852	0.8251560808159453
P246S6bM4-S85-L002_2	0.26457017813055783	0.8274721833854382
P246S6bM5-S122-L001_1	0.0	0.0
P246S6bM5-S122-L001_2	0.0	0.0
P246S6bM5-S122-L002_1	0.0	0.0
P246S6bM5-S122-L002_2	0.0	0.0
P246S6cM4-S86-L001_1	0.0	0.0
P246S6cM4-S86-L001_2	0.0	0.0
P246S6cM4-S86-L002_1	0.0	0.0
P246S6cM4-S86-L002_2	0.0	0.0
P246S6cM5-S123-L001_1	0.0	0.0
P246S6cM5-S123-L001_2	0.0	0.0
P246S6cM5-S123-L002_1	0.0	0.0
P246S6cM5-S123-L002_2	0.0	0.0
P384M2-S279-L001_1	0.1250676041103299	0.7892779881016766
P384M2-S279-L001_2	0.1692215386695511	0.8273053001622499
P384M2-S279-L002_1	0.13942604707057202	0.7290776300534009
P384M2-S279-L002_2	0.16544942156174097	0.9624417118725825
P384S6aM4-S98-L001_1	0.15899547474418035	0.556239553181948
P384S6aM4-S98-L001_2	0.1576093603489747	0.5657792816665986
P384S6aM4-S98-L002_1	0.16098758536482402	0.558220190100116
P384S6aM4-S98-L002_2	0.15960745982210994	0.5522937686519906
P384S6aM5-S133-L001_1	0.0	0.0
P384S6aM5-S133-L001_2	0.0	0.0
P384S6aM5-S133-L002_1	0.0	0.0
P384S6aM5-S133-L002_2	0.0	0.0
P384S6bM4-S99-L001_1	0.12167657549705248	0.11298788398607855
P384S6bM4-S99-L001_2	0.12118805468920656	0.11511643893455008
P384S6bM4-S99-L002_1	0.12029014159400629	0.10887127011936983
P384S6bM4-S99-L002_2	0.11994927975894253	0.1094848214224846
P384S6bM5-S134-L001_1	0.0	0.0
P384S6bM5-S134-L001_2	0.0	0.0
P384S6bM5-S134-L002_1	0.0	0.0
P384S6bM5-S134-L002_2	0.0	0.0
P384S6cM4-S100-L001_1	0.19867367909653863	0.20973386329366553
P384S6cM4-S100-L001_2	0.18716289480249174	0.33876934559347927
P384S6cM4-S100-L002_1	0.19501751448058038	0.31568052511237765
P384S6cM4-S100-L002_2	0.1821766873356425	0.3411583567491592
P384S6cM5-S135-L001_1	0.0	0.0
P384S6cM5-S135-L001_2	0.0	0.0
P384S6cM5-S135-L002_1	0.0	0.0
P384S6cM5-S135-L002_2	0.0	0.0
P384aM3-S506-L001_1	0.0	0.0
P384aM3-S506-L001_2	0.0	0.0
P384aM3-S506-L002_1	0.0	0.0
P384aM3-S506-L002_2	0.0	0.0
P384bM3-S507-L001_1	0.12150926117231867	0.22715977686075015
P384bM3-S507-L001_2	0.1277634143208939	0.0
P384bM3-S507-L002_1	0.1240844444345167	0.23666511049211603
P384bM3-S507-L002_2	0.12575975196513572	0.10710799479091043
P384cM3-S508-L001_1	0.1372588171780593	0.12024937323896787
P384cM3-S508-L001_2	0.10397947034070656	0.0
P384cM3-S508-L002_1	0.1402761380957107	0.21759835993938648
P384cM3-S508-L002_2	0.10265191520625926	0.0
P387M2-S280-L001_1	0.0	0.0
P387M2-S280-L001_2	0.12084659803475696	0.22356189964305895
P387M2-S280-L002_1	0.0	0.0
P387M2-S280-L002_2	0.1178867785280265	0.22059664398915596
P387S6aM4-S101-L001_1	0.2032947824854059	0.4972153845987337
P387S6aM4-S101-L001_2	0.1742165935442813	0.32462226314173603
P387S6aM4-S101-L002_1	0.20774371819138054	0.49245088630360184
P387S6aM4-S101-L002_2	0.183805133440511	0.3284085844844853
P387S6aM5-S136-L001_1	0.0	0.0
P387S6aM5-S136-L001_2	0.0	0.0
P387S6aM5-S136-L002_1	0.0	0.0
P387S6aM5-S136-L002_2	0.0	0.0
P387S6bM4-S102-L001_1	0.0	0.0
P387S6bM4-S102-L001_2	0.12527398215983018	0.10082281036257282
P387S6bM4-S102-L002_1	0.0	0.0
P387S6bM4-S102-L002_2	0.12596543006827918	0.10078976665905878
P387S6bM5-S137-L001_1	0.0	0.0
P387S6bM5-S137-L001_2	0.0	0.0
P387S6bM5-S137-L002_1	0.0	0.0
P387S6bM5-S137-L002_2	0.0	0.0
P387S6cM4-S103-L001_1	0.16747627751131958	0.647271643678723
P387S6cM4-S103-L001_2	0.15547712825668855	0.7631686397969127
P387S6cM4-S103-L002_1	0.16873581027399776	0.7612902860988042
P387S6cM4-S103-L002_2	0.1573698927588927	0.7779716078249536
P387S6cM5-S138-L001_1	0.0	0.0
P387S6cM5-S138-L001_2	0.0	0.0
P387S6cM5-S138-L002_1	0.0	0.0
P387S6cM5-S138-L002_2	0.0	0.0
P387S6dM4-S104-L001_1	0.20786483047419563	0.28414038368117617
P387S6dM4-S104-L001_2	0.20304281274271985	0.738326632322742
P387S6dM4-S104-L002_1	0.20738877060841582	0.39092743575650674
P387S6dM4-S104-L002_2	0.19897575503838438	0.7381627481988409
P387S6eM4-S105-L001_1	0.1704182437884523	0.9206488196298737
P387S6eM4-S105-L001_2	0.2164485635570534	0.7213820805025748
P387S6eM4-S105-L002_1	0.181791920050297	0.9248353366098271
P387S6eM4-S105-L002_2	0.21093252896269118	0.7271676802011882
P387aM3-S509-L001_1	0.0	0.0
P387aM3-S509-L001_2	0.1206083118383646	0.21567603999331078
