Sample	std	median	mean_readlength
D24-L001_rmdup	29.8856130763962	72.0	79.21818675843423
D24-L002_rmdup	29.890795553356686	72.0	79.20189743681183
D25-L001_rmdup	32.11802636935058	67.0	76.04098915989198
D25-L002_rmdup	32.36197399831211	67.0	76.1195097037798
D51-L001_rmdup	20.195009132125662	66.0	69.11517736327248
D51-L002_rmdup	20.169944441416757	66.0	69.09046919215184
D62-L001_rmdup	17.861883570594888	56.0	59.54457588979921
D62-L002_rmdup	17.877586142799572	56.0	59.574456458597034
D71-L001_rmdup	20.544912305197727	65.0	68.20342408645946
D71-L002_rmdup	20.52557178375685	65.0	68.17646489709368
D72-L001_rmdup	20.96338217908383	63.0	67.09081337905533
D72-L002_rmdup	20.964625883112248	63.0	67.09015875308879
D75-L001_rmdup	18.792526642205253	61.0	64.7792105233238
D75-L002_rmdup	18.786303895162998	61.0	64.76430793796149
P187M2-S270-L001_rmdup	27.204821700798487	75.0	80.4816232235811
P187M2-S270-L002_rmdup	27.168548138482798	75.0	80.35681786526075
P187M2-S67-L001_rmdup	26.936929690483264	74.0	79.48345279330664
P187M2-S67-L002_rmdup	27.03465272688862	74.0	79.4223820561717
P187S6aM4-S69-L001_rmdup	25.203312444413857	63.0	68.60533985822822
P187S6aM4-S69-L002_rmdup	25.116503317994983	63.0	68.56063218390288
P187S6aM5-S112-L001_rmdup	24.65381990526679	61.0	66.75418227215853
P187S6aM5-S112-L002_rmdup	24.620276357177303	61.0	66.91674792783984
P187S6bM4-S70-L001_rmdup	25.493460569798607	62.0	68.38333124660436
P187S6bM4-S70-L002_rmdup	25.51235502439411	62.0	68.42610468502937
P187S6bM5-S113-L001_rmdup	25.166277840960415	62.0	67.75049309664755
P187S6bM5-S113-L002_rmdup	24.730068972726922	61.0	66.52795031055868
P187S6cM4-S71-L001_rmdup	24.69121141365324	61.0	67.31519430213113
P187S6cM4-S71-L002_rmdup	24.65012285301799	61.0	67.27614710377492
P187S6cM5-S114-L001_rmdup	24.608739474861185	60.0	66.35771276595631
P187S6cM5-S114-L002_rmdup	24.06865208359429	60.0	65.6684658161586
P187S6dM4-S72-L001_rmdup	25.942854624767506	64.0	69.7840354568671
P187S6dM4-S72-L002_rmdup	25.896092382199754	63.0	69.66976952338007
P187S6eM4-S73-L001_rmdup	25.1314128266628	61.0	66.96426935410027
P187S6eM4-S73-L002_rmdup	25.22498924613099	61.0	67.04893617021256
P187bM3-L001_rmdup	16.14927983300077	77.0	74.3450270445462
P187bM3-S498-L001_rmdup	28.108739983373322	76.0	81.89774294342023
P187bM3-S498-L002_rmdup	28.08316924977421	76.0	81.81522745131929
P187cM3-L001_rmdup	15.990003323744574	78.0	74.75890322295066
P187cM3-S499-L001_rmdup	27.952988498599282	77.0	82.52809308880674
P187cM3-S499-L002_rmdup	27.93465268500518	77.0	82.41500150014478
P187cM3-S68-L001_rmdup	27.608546068493002	75.0	80.40332978594068
P187cM3-S68-L002_rmdup	27.62511100041563	75.0	80.35848746909419
P212M2-S271-L001_rmdup	21.817606334327795	63.0	67.27400292336401
P212M2-S271-L002_rmdup	21.850096960474946	63.0	67.36003105524466
P212S6aM4-S76-L001_rmdup	19.593375722092645	57.0	60.88238736103442
P212S6aM4-S76-L002_rmdup	19.593192667179	57.0	60.868319175603816
P212S6aM5-S115-L001_rmdup	20.26202771027285	57.0	61.655936799904694
P212S6aM5-S115-L002_rmdup	20.357745871295915	58.0	61.94991866140011
P212S6bM4-S77-L001_rmdup	19.460113135731298	56.0	60.39187671681844
P212S6bM4-S77-L002_rmdup	19.477478246452403	56.0	60.39877215736707
P212S6bM5-S116-L001_rmdup	19.690794476032522	56.0	60.273494316174286
P212S6bM5-S116-L002_rmdup	19.81747940361457	56.0	60.53763403785919
P212S6cM4-S78-L001_rmdup	19.690637976951464	56.0	60.67145647034091
P212S6cM4-S78-L002_rmdup	19.671356308388642	56.0	60.66833306014793
P212S6cM5-S117-L001_rmdup	20.55859015667789	57.0	61.63283780416704
P212S6cM5-S117-L002_rmdup	20.42712752344496	57.0	61.49664542099882
P212S6dM4-S79-L001_rmdup	19.202651463089058	56.0	60.17883130426999
P212S6dM4-S79-L002_rmdup	19.15435520731114	56.0	60.11137707687398
P212S6eM4-S80-L001_rmdup	18.635007456612506	55.0	59.40463413170043
P212S6eM4-S80-L002_rmdup	18.64348004289858	55.0	59.406101094272195
P212aM3-S500-L001_rmdup	22.94577128412918	65.0	69.61819342713044
P212aM3-S500-L002_rmdup	22.984588048275064	65.0	69.63214156734693
P212aM3-S74-L001_rmdup	23.342128325109535	68.0	71.81720430107531
P212aM3-S74-L002_rmdup	27.186208578357387	72.0	76.60230547550432
P212bM3-S501-L001_rmdup	23.048132919801613	66.0	70.63574505873024
P212bM3-S501-L002_rmdup	23.01895198803673	66.0	70.51556224899375
P212bM3-S75-L001_rmdup	23.661239721521376	69.5	74.75714285714285
P212bM3-S75-L002_rmdup	21.740685771676386	66.0	72.18110236220473
P212cM3-S502-L001_rmdup	22.69261262065351	63.0	68.16038343972275
P212cM3-S502-L002_rmdup	22.685337281656423	63.0	68.17551392951181
P246M2-S273-L001_rmdup	31.98060794167459	87.0	91.50768156424563
P246M2-S273-L002_rmdup	31.856338484629383	88.0	91.67519889311599
P246S6aM4-S84-L001_rmdup	32.2385357307558	73.0	80.5859375
P246S6aM4-S84-L002_rmdup	32.32992945226663	73.0	80.91588785046693
P246S6aM5-S121-L001_rmdup	27.36356616794028	69.0	74.17620137299775
P246S6aM5-S121-L002_rmdup	31.2132088433744	70.0	76.77006507592195
P246S6bM4-S85-L001_rmdup	30.771105919340005	71.0	78.5101567034246
P246S6bM4-S85-L002_rmdup	30.811130735567602	71.0	78.48843930635829
P246S6bM5-S122-L001_rmdup	28.410662431638514	70.0	75.62318840579714
P246S6bM5-S122-L002_rmdup	26.575988223627068	68.5	74.14973262032082
P246S6cM4-S86-L001_rmdup	29.548347589683072	72.0	78.612244897959
P246S6cM4-S86-L002_rmdup	29.518671092865198	72.0	78.09636363636344
P246S6cM5-S123-L001_rmdup	26.106492591294614	66.0	71.30188679245278
P246S6cM5-S123-L002_rmdup	26.482002588017952	68.0	72.63478260869569
P384M2-S279-L001_rmdup	18.368252511776166	61.0	63.92425914919083
P384M2-S279-L002_rmdup	18.42943709751118	61.0	63.92811285690309
P384S6aM4-S98-L001_rmdup	18.398342125092576	56.0	59.411815812336116
P384S6aM4-S98-L002_rmdup	18.482852159825484	56.0	59.511045122040116
P384S6aM5-S133-L001_rmdup	17.524378867529926	55.0	58.40658174097682
P384S6aM5-S133-L002_rmdup	16.996577706590607	55.0	58.52338413032045
P384S6bM4-S99-L001_rmdup	17.55712532049934	55.0	58.30485696322082
P384S6bM4-S99-L002_rmdup	17.685403955148452	55.0	58.44065676309685
P384S6bM5-S134-L001_rmdup	17.00446690129992	54.0	57.36578221915874
P384S6bM5-S134-L002_rmdup	16.777176178702383	54.0	57.221091273151856
P384S6cM4-S100-L001_rmdup	17.454392027488208	55.0	58.22629036358849
P384S6cM4-S100-L002_rmdup	17.583312828905044	55.0	58.26862919633649
P384S6cM5-S135-L001_rmdup	17.007942942220254	54.0	57.66926322622494
P384S6cM5-S135-L002_rmdup	16.871821175738987	54.0	57.712500000000276
P384aM3-S506-L001_rmdup	18.97717071841433	61.0	64.74320261874554
P384aM3-S506-L002_rmdup	19.115783988838523	61.0	64.77483002266165
P384bM3-S507-L001_rmdup	18.648170120242295	61.0	64.12315338947776
P384bM3-S507-L002_rmdup	18.675774135191983	61.0	64.132521787247
P384cM3-S508-L001_rmdup	18.76966341500993	62.0	64.82706535141706
P384cM3-S508-L002_rmdup	18.695304002845013	62.0	64.87966741088468
P387M2-S280-L001_rmdup	29.150530224390934	72.0	78.81797542551503
P387M2-S280-L002_rmdup	29.131055063378426	72.0	78.7870965085742
P387S6aM4-S101-L001_rmdup	20.00328616886975	57.0	61.352910179637696
P387S6aM4-S101-L002_rmdup	19.991283930382078	57.0	61.33885960709475
P387S6aM5-S136-L001_rmdup	19.805536949501587	56.0	60.39023826046771
P387S6aM5-S136-L002_rmdup	19.598831738197372	55.0	59.85632056674809
P387S6bM4-S102-L001_rmdup	19.850915187483345	57.0	61.054310264319724
P387S6bM4-S102-L002_rmdup	19.957999508690648	56.0	61.030524916639166
P387S6bM5-S137-L001_rmdup	19.55192113397078	55.0	59.36963835155567
P387S6bM5-S137-L002_rmdup	19.120594377361712	55.0	58.965535956581014
P387S6cM4-S103-L001_rmdup	20.01089011278666	57.0	61.39444488365176
P387S6cM4-S103-L002_rmdup	20.004932380963766	57.0	61.4083456347498
P387S6cM5-S138-L001_rmdup	19.15728284510876	55.0	59.084548104957534
P387S6cM5-S138-L002_rmdup	19.0937308035282	55.0	58.98519324986373
P387S6dM4-S104-L001_rmdup	19.688580503235517	57.0	60.96183001275135
P387S6dM4-S104-L002_rmdup	19.74977674932631	57.0	61.03531540385951
P387S6eM4-S105-L001_rmdup	19.671612168433953	56.0	60.59757887896363
P387S6eM4-S105-L002_rmdup	19.69495382083609	56.0	60.57054979775034
P387aM3-S509-L001_rmdup	30.16520784619853	76.0	82.13263769554645
P387aM3-S509-L002_rmdup	30.194063548682156	76.0	82.05924237604583
P387bM3-S510-L001_rmdup	31.29910125998672	79.0	85.69107964714316
