Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-3_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-20_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Snippy_mqc-generalstats-snippy-VariantTotal	Snippy_mqc-generalstats-snippy-Variant_SNP	Snippy_mqc-generalstats-snippy-Variant_INS	Snippy_mqc-generalstats-snippy-Variant_DEL	Snippy_mqc-generalstats-snippy-Variant_COMPLEX	endorSpy_mqc-generalstats-endorspy-endogenous_dna	endorSpy_mqc-generalstats-endorspy-endogenous_dna_post	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-std	DamageProfiler_mqc-generalstats-damageprofiler-median	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength
D24	43.72616652294721	72.04278389309825	33.353920562832634	13.726995945012842	1.0650837343978234	0.020725259868049867	2	2.1207	100.0	130105.0	130105.0	1.25	50	46	4	0	0																			
D24-L001																		5.308013	5.021344	0.722778																
D24-L001_1																					97.99721470622424	17299170	32.98754866038135	56.0	91.0	9.090909090909092	8826358.0									
D24-L001_2																							33.106538366390524	57.0	91.0	18.181818181818183	8826358.0									
D24-L001_flagstat																												7911925	419966							
D24-L001_postfilterflagstat																												397285	397285							
D24-L001_rmdup																														0.1682303724462857	0.08728949818058729	0.15003984366106327	0.07954593587191325	29.8856130763962	72.0	79.21818675843423
D24-L002																		5.291426	5.000406	0.720381																
D24-L002_1																					98.0237412595259	17210140	32.94154632466373	56.0	91.0	9.090909090909092	8778557.0									
D24-L002_2																							32.82898192449238	57.0	91.0	18.181818181818183	8778557.0									
D24-L002_flagstat																												7865781	416212							
D24-L002_postfilterflagstat																												393321	393321							
D24-L002_rmdup																														0.16731517509727625	0.08844544032469454	0.1479839320903441	0.08049732665704828	29.890795553356686	72.0	79.20189743681183
D25	44.163461538461554	4.134140672960162	0.027619876787191334	0.009813959218237401	0.00281581952253225	0.0005590229934439026	0	0.0441	100.0	2906.0	2906.0	1.32	9	7	0	1	1																			
D25-L001																		0.355688	0.213187	0.793917																
D25-L001_1																					98.44805402177099	13816828	51.1721311734746	59.0	91.0	18.181818181818183	7017319.0									
D25-L001_2																							50.01512065215779	59.0	91.0	27.27272727272727	7017319.0									
D25-L001_flagstat																												6122782	21778							
D25-L001_postfilterflagstat																												13053	13053							
D25-L001_rmdup																														0.13819875776397517	0.10210696920583469	0.13178294573643412	0.08333333333333333	32.11802636935058	67.0	76.04098915989198
D25-L002																		0.356927	0.213973	0.794738																
D25-L002_1																					98.459686059975	13764032	51.15161146097577	59.0	91.0	18.181818181818183	6989679.0									
D25-L002_2																							49.978806920823935	59.0	91.0	18.181818181818183	6989679.0									
D25-L002_flagstat																												6092835	21747							
D25-L002_postfilterflagstat																												13037	13037							
D25-L002_rmdup																														0.13744075829383887	0.09854604200323101	0.13677811550151975	0.08488964346349745	32.36197399831211	67.0	76.1195097037798
D51	42.358244733979966	87.80638342144847	70.90970639905339	57.10910575990376	34.62182612107403	13.692398633085258	6	9.243	100.0	642107.0	642107.0	1.39	133	118	4	6	5																			
D51-L001																		4.999055	4.775265	0.301945																
D51-L001_1																					99.16460214282726	27448272	19.148391387193584	58.0	91.0	9.090909090909092	13839753.0									
D51-L001_2																							19.29739998455966	58.0	91.0	18.181818181818183	13839753.0									
D51-L001_flagstat																												12406745	620220							
D51-L001_postfilterflagstat																												592455	592455							
D51-L001_rmdup																														0.2231652260950256	0.11864089775561097	0.19894465360329647	0.1127794295097466	20.195009132125662	66.0	69.11517736327248
D51-L002																		4.977636	4.754738	0.299085																
D51-L002_1																					99.17686543675937	27332194	19.08378588603783	58.0	91.0	9.090909090909092	13779521.0									
D51-L002_2																							19.08936235594564	58.0	91.0	18.181818181818183	13779521.0									
D51-L002_flagstat																												12344192	614449							
D51-L002_postfilterflagstat																												586934	586934							
D51-L002_rmdup																														0.22382816208973805	0.12080244221543829	0.2004156975305587	0.11176171395253631	20.169944441416757	66.0	69.09046919215184
D62	43.577887055837564	82.27601035641857	55.23397700345041	34.33765609940671	8.091630079992049	0.38303427328563694	3	3.8686	100.0	315457.0	315457.0	1.3	66	59	4	2	1																			
D62-L001																		23.349737	22.515187	0.834863																
D62-L001_1																					97.81224480712301	17228774	53.50091616668052	54.0	91.0	27.27272727272727	8807064.0									
D62-L001_2																							53.64759391986495	53.0	91.0	27.27272727272727	8807064.0									
D62-L001_flagstat																												7881609	1840335							
D62-L001_postfilterflagstat																												1774559	1774559							
D62-L001_rmdup																														0.22172952268709487	0.11827650880835956	0.20495132664160712	0.11133559299393898	17.861883570594888	56.0	59.54457588979921
D62-L002																		23.282786	22.443357	0.833402																
D62-L002_1																					97.83758019167342	17114814	53.30578871603772	54.0	91.0	27.27272727272727	8746544.0									
D62-L002_2																							53.187650617969844	53.0	91.0	27.27272727272727	8746544.0									
D62-L002_flagstat																												7823647	1821563							
D62-L002_postfilterflagstat																												1755889	1755889							
