Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
D24-L001	Unknown Library	397285.0	0.0	0.0	0.0	287149.0	0.0	0.0	0.722778	
D24-L002	Unknown Library	393321.0	0.0	0.0	0.0	283341.0	0.0	0.0	0.720381	
D25-L001	Unknown Library	13053.0	0.0	0.0	0.0	10363.0	0.0	0.0	0.793917	
D25-L002	Unknown Library	13037.0	0.0	0.0	0.0	10361.0	0.0	0.0	0.794738	
D51-L001	Unknown Library	592455.0	0.0	0.0	0.0	178889.0	0.0	0.0	0.301945	
D51-L002	Unknown Library	586934.0	0.0	0.0	0.0	175543.0	0.0	0.0	0.299085	
D62-L001	Unknown Library	1774559.0	0.0	0.0	0.0	1481513.0	0.0	0.0	0.834863	
D62-L002	Unknown Library	1755889.0	0.0	0.0	0.0	1463361.0	0.0	0.0	0.833402	
D71-L001	Unknown Library	4314745.0	0.0	0.0	0.0	2966747.0	0.0	0.0	0.687583	
D71-L002	Unknown Library	4272871.0	0.0	0.0	0.0	2929433.0	0.0	0.0	0.685589	
D72-L001	Unknown Library	952629.0	0.0	0.0	0.0	619516.0	0.0	0.0	0.650322	
D72-L002	Unknown Library	943716.0	0.0	0.0	0.0	611776.0	0.0	0.0	0.648263	
D75-L001	Unknown Library	7433333.0	0.0	0.0	0.0	6224274.0	0.0	0.0	0.837346	
D75-L002	Unknown Library	7352904.0	0.0	0.0	0.0	6145649.0	0.0	0.0	0.835812	
P187M2-S270-L001	Unknown Library	141504.0	0.0	0.0	0.0	98915.0	0.0	0.0	0.699026	
P187M2-S270-L002	Unknown Library	141928.0	0.0	0.0	0.0	99114.0	0.0	0.0	0.69834	
P187M2-S67-L001	Unknown Library	60861.0	0.0	0.0	0.0	31976.0	0.0	0.0	0.525394	
P187M2-S67-L002	Unknown Library	61855.0	0.0	0.0	0.0	32793.0	0.0	0.0	0.530159	
P187S6aM4-S69-L001	Unknown Library	858775.0	0.0	0.0	0.0	831258.0	0.0	0.0	0.967958	
P187S6aM4-S69-L002	Unknown Library	862166.0	0.0	0.0	0.0	834600.0	0.0	0.0	0.968027	
P187S6aM5-S112-L001	Unknown Library	9509.0	0.0	0.0	0.0	1758.0	0.0	0.0	0.184877	
P187S6aM5-S112-L002	Unknown Library	9856.0	0.0	0.0	0.0	1912.0	0.0	0.0	0.193994	
P187S6bM4-S70-L001	Unknown Library	667306.0	0.0	0.0	0.0	643619.0	0.0	0.0	0.964504	
P187S6bM4-S70-L002	Unknown Library	670842.0	0.0	0.0	0.0	647082.0	0.0	0.0	0.964582	
P187S6bM5-S113-L001	Unknown Library	3062.0	0.0	0.0	0.0	244.0	0.0	0.0	0.079686	
P187S6bM5-S113-L002	Unknown Library	3095.0	0.0	0.0	0.0	254.0	0.0	0.0	0.082068	
P187S6cM4-S71-L001	Unknown Library	984588.0	0.0	0.0	0.0	952850.0	0.0	0.0	0.967765	
P187S6cM4-S71-L002	Unknown Library	992570.0	0.0	0.0	0.0	960785.0	0.0	0.0	0.967977	
P187S6cM5-S114-L001	Unknown Library	6612.0	0.0	0.0	0.0	846.0	0.0	0.0	0.127949	
P187S6cM5-S114-L002	Unknown Library	6676.0	0.0	0.0	0.0	805.0	0.0	0.0	0.120581	
P187S6dM4-S72-L001	Unknown Library	785063.0	0.0	0.0	0.0	763000.0	0.0	0.0	0.971897	
P187S6dM4-S72-L002	Unknown Library	792118.0	0.0	0.0	0.0	770047.0	0.0	0.0	0.972137	
P187S6eM4-S73-L001	Unknown Library	501654.0	0.0	0.0	0.0	495359.0	0.0	0.0	0.987452	
P187S6eM4-S73-L002	Unknown Library	506705.0	0.0	0.0	0.0	500383.0	0.0	0.0	0.987523	
P187bM3-L001	Unknown Library	541033.0	0.0	0.0	0.0	482540.0	0.0	0.0	0.891886	
P187bM3-S498-L001	Unknown Library	528901.0	0.0	0.0	0.0	471888.0	0.0	0.0	0.892205	
P187bM3-S498-L002	Unknown Library	528031.0	0.0	0.0	0.0	471040.0	0.0	0.0	0.892069	
P187cM3-L001	Unknown Library	326137.0	0.0	0.0	0.0	258270.0	0.0	0.0	0.791906	
P187cM3-S499-L001	Unknown Library	321797.0	0.0	0.0	0.0	255382.0	0.0	0.0	0.793612	
P187cM3-S499-L002	Unknown Library	320062.0	0.0	0.0	0.0	253676.0	0.0	0.0	0.792584	
P187cM3-S68-L001	Unknown Library	1070497.0	0.0	0.0	0.0	973047.0	0.0	0.0	0.908968	
P187cM3-S68-L002	Unknown Library	1074642.0	0.0	0.0	0.0	977437.0	0.0	0.0	0.909547	
P212M2-S271-L001	Unknown Library	1267789.0	0.0	0.0	0.0	1220163.0	0.0	0.0	0.962434	
P212M2-S271-L002	Unknown Library	1292037.0	0.0	0.0	0.0	1244644.0	0.0	0.0	0.963319	
P212S6aM4-S76-L001	Unknown Library	989982.0	0.0	0.0	0.0	954358.0	0.0	0.0	0.964016	
P212S6aM4-S76-L002	Unknown Library	992299.0	0.0	0.0	0.0	956659.0	0.0	0.0	0.964083	
P212S6aM5-S115-L001	Unknown Library	10431.0	0.0	0.0	0.0	2182.0	0.0	0.0	0.209184	
P212S6aM5-S115-L002	Unknown Library	10564.0	0.0	0.0	0.0	2190.0	0.0	0.0	0.207308	
P212S6bM4-S77-L001	Unknown Library	1938693.0	0.0	0.0	0.0	1881080.0	0.0	0.0	0.970283	
P212S6bM4-S77-L002	Unknown Library	1950165.0	0.0	0.0	0.0	1892611.0	0.0	0.0	0.970488	
P212S6bM5-S116-L001	Unknown Library	46623.0	0.0	0.0	0.0	18557.0	0.0	0.0	0.398022	
P212S6bM5-S116-L002	Unknown Library	47969.0	0.0	0.0	0.0	19230.0	0.0	0.0	0.400884	
P212S6cM4-S78-L001	Unknown Library	1838002.0	0.0	0.0	0.0	1789627.0	0.0	0.0	0.973681	
P212S6cM4-S78-L002	Unknown Library	1854375.0	0.0	0.0	0.0	1805838.0	0.0	0.0	0.973826	
P212S6cM5-S117-L001	Unknown Library	14934.0	0.0	0.0	0.0	3137.0	0.0	0.0	0.210058	
P212S6cM5-S117-L002	Unknown Library	14963.0	0.0	0.0	0.0	3280.0	0.0	0.0	0.219207	
P212S6dM4-S79-L001	Unknown Library	2473232.0	0.0	0.0	0.0	2388163.0	0.0	0.0	0.965604	
P212S6dM4-S79-L002	Unknown Library	2489747.0	0.0	0.0	0.0	2404796.0	0.0	0.0	0.96588	
P212S6eM4-S80-L001	Unknown Library	2159055.0	0.0	0.0	0.0	2076029.0	0.0	0.0	0.961545	
P212S6eM4-S80-L002	Unknown Library	2215030.0	0.0	0.0	0.0	2131774.0	0.0	0.0	0.962413	
P212aM3-S500-L001	Unknown Library	804857.0	0.0	0.0	0.0	722123.0	0.0	0.0	0.897207	
P212aM3-S500-L002	Unknown Library	804046.0	0.0	0.0	0.0	721250.0	0.0	0.0	0.897026	
