Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
D24-L001_flagstat	7911925	0	0	0	0	0	0	0	419966	0	5.31	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	7911925
D24-L001_postfilterflagstat	397285	0	0	0	0	0	0	0	397285	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	397285
D24-L002_flagstat	7865781	0	0	0	0	0	0	0	416212	0	5.29	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	7865781
D24-L002_postfilterflagstat	393321	0	0	0	0	0	0	0	393321	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	393321
D25-L001_flagstat	6122782	0	0	0	0	0	0	0	21778	0	0.36	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6122782
D25-L001_postfilterflagstat	13053	0	0	0	0	0	0	0	13053	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13053
D25-L002_flagstat	6092835	0	0	0	0	0	0	0	21747	0	0.36	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6092835
D25-L002_postfilterflagstat	13037	0	0	0	0	0	0	0	13037	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13037
D51-L001_flagstat	12406745	0	0	0	0	0	0	0	620220	0	5.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	12406745
D51-L001_postfilterflagstat	592455	0	0	0	0	0	0	0	592455	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	592455
D51-L002_flagstat	12344192	0	0	0	0	0	0	0	614449	0	4.98	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	12344192
D51-L002_postfilterflagstat	586934	0	0	0	0	0	0	0	586934	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	586934
D62-L001_flagstat	7881609	0	0	0	0	0	0	0	1840335	0	23.35	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	7881609
D62-L001_postfilterflagstat	1774559	0	0	0	0	0	0	0	1774559	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1774559
