P187S6cM4_X	P187S6cM4_Y
0.0	0.0
0.001	0.001186
0.002	0.001981
0.003	0.002676
0.004	0.003332
0.005	0.003932
0.006	0.004467
0.006999999999999999	0.005006
0.008	0.005489
0.009	0.005954999999999999
0.01	0.0063939999999999995
0.011	0.00681
0.012	0.007208999999999999
0.013	0.007597
0.013999999999999999	0.007956999999999999
0.015	0.008314
0.016	0.008649
0.016999999999999998	0.008974
0.018	0.009285999999999999
0.019	0.009587
0.02	0.009883999999999999
0.020999999999999998	0.010168
0.022	0.010444
0.023	0.010713
0.024	0.010968
0.024999999999999998	0.011217
0.026	0.01146
0.027	0.0117
0.027999999999999997	0.011923999999999999
0.028999999999999998	0.012159999999999999
0.03	0.012376999999999999
0.031	0.012595
0.032	0.012797
0.033	0.012998
0.033999999999999996	0.013201
0.034999999999999996	0.013392
0.036	0.013587
0.037	0.013767
0.038	0.013947999999999999
0.039	0.014131999999999999
0.04	0.014296999999999999
0.040999999999999995	0.014471999999999999
0.041999999999999996	0.014636999999999999
0.043	0.014792999999999999
0.044	0.014960999999999999
0.045	0.015115
0.046	0.015267
0.047	0.015422
0.048	0.015566
0.048999999999999995	0.015711
0.049999999999999996	0.015851
0.051	0.015993999999999998
0.052	0.016129
0.053	0.016269
0.054	0.016399
0.055	0.01653
0.055999999999999994	0.016652999999999998
0.056999999999999995	0.016781
0.057999999999999996	0.016907
0.059	0.017027999999999998
0.06	0.017145
0.061	0.017265
0.062	0.017379
0.063	0.017494
0.064	0.017609
0.065	0.017716
0.066	0.017825999999999998
0.06699999999999999	0.017932999999999998
0.06799999999999999	0.018031
0.06899999999999999	0.018144
0.06999999999999999	0.018248
0.071	0.018342999999999998
0.072	0.018444
0.073	0.018543999999999998
0.074	0.018642
0.075	0.018734999999999998
0.076	0.01883
0.077	0.01892
0.078	0.019014
0.079	0.019103
0.08	0.019192
0.081	0.019284
0.08199999999999999	0.019371
0.08299999999999999	0.019454
0.08399999999999999	0.019537
0.08499999999999999	0.019622
0.086	0.019705
0.087	0.019788
0.088	0.019867
0.089	0.019947
0.09	0.020024999999999998
0.091	0.020102
0.092	0.020176
0.093	0.02025
0.094	0.020322
0.095	0.020402
0.096	0.020471
0.09699999999999999	0.020547
0.09799999999999999	0.020616
0.09899999999999999	0.020687999999999998
0.09999999999999999	0.020755
0.10099999999999999	0.020828
0.102	0.020897
0.103	0.020961
0.104	0.021026
0.105	0.021092
0.106	0.021158
0.107	0.02122
0.108	0.021287
0.109	0.021349999999999997
0.11	0.02141
0.111	0.021471
0.11199999999999999	0.021535
0.11299999999999999	0.021596
0.11399999999999999	0.021651999999999998
0.11499999999999999	0.021714999999999998
0.11599999999999999	0.021771
0.11699999999999999	0.021827
0.118	0.021884
0.119	0.021946
0.12	0.022001
0.121	0.022052
0.122	0.022111
0.123	0.022165
0.124	0.022219
0.125	0.022274
0.126	0.022323
0.127	0.022380999999999998
0.128	0.022425999999999998
0.129	0.02248
0.13	0.022529
0.131	0.022581
0.132	0.022629999999999997
0.133	0.022678
0.13399999999999998	0.02273
0.13499999999999998	0.022777
0.13599999999999998	0.022827999999999998
0.13699999999999998	0.022874
0.13799999999999998	0.022924
0.13899999999999998	0.022966999999999998
0.13999999999999999	0.023011999999999998
0.141	0.02306
0.142	0.023104
0.143	0.023149
0.144	0.023195
0.145	0.02324
0.146	0.023282
0.147	0.023327
0.148	0.023367
0.149	0.023413
0.15	0.023455
0.151	0.023497
0.152	0.02354
0.153	0.023583
0.154	0.023621
0.155	0.023660999999999998
0.156	0.023698999999999998
0.157	0.023743
0.158	0.023783
0.159	0.023821
