P187S6eM4_X	P187S6eM4_Y
0.0	0.0
0.001	0.001028
0.002	0.001553
0.003	0.001984
0.004	0.002322
0.005	0.002603
0.006	0.002848
0.006999999999999999	0.0030559999999999997
0.008	0.003247
0.009	0.003408
0.01	0.003551
0.011	0.0036839999999999998
0.012	0.003802
0.013	0.003909999999999999
0.013999999999999999	0.004007
0.015	0.004098
0.016	0.0041849999999999995
0.016999999999999998	0.0042569999999999995
0.018	0.004325
0.019	0.004398
0.02	0.004455
0.020999999999999998	0.004514
0.022	0.004567
0.023	0.00462
0.024	0.00467
0.024999999999999998	0.004716
0.026	0.004757
0.027	0.0047989999999999994
0.027999999999999997	0.004834
0.028999999999999998	0.004872
0.03	0.004906
0.031	0.004935999999999999
0.032	0.004972
0.033	0.0050019999999999995
0.033999999999999996	0.005033999999999999
0.034999999999999996	0.005058
0.036	0.005083
0.037	0.0051129999999999995
0.038	0.005137
0.039	0.00516
0.04	0.005182
0.040999999999999995	0.005202
0.041999999999999996	0.005222999999999999
0.043	0.00524
0.044	0.005265
0.045	0.005281999999999999
0.046	0.005301999999999999
0.047	0.005318
0.048	0.005332
0.048999999999999995	0.00535
0.049999999999999996	0.005365
0.051	0.0053809999999999995
0.052	0.005396
0.053	0.005411
0.054	0.005425
0.055	0.005438
0.055999999999999994	0.0054529999999999995
0.056999999999999995	0.005464
0.057999999999999996	0.005477
0.059	0.005490999999999999
0.06	0.005497999999999999
0.061	0.005510999999999999
0.062	0.005528
0.063	0.005536
0.064	0.0055439999999999994
0.065	0.005556
0.066	0.005566
0.06699999999999999	0.005575
0.06799999999999999	0.0055839999999999996
0.06899999999999999	0.005593
0.06999999999999999	0.0056029999999999995
0.071	0.005612
0.072	0.005621999999999999
0.073	0.005627
0.074	0.005639
0.075	0.005647
0.076	0.005654
0.077	0.005663
0.078	0.005671
0.079	0.005677
0.08	0.005685
0.081	0.005689
0.08199999999999999	0.005699
0.08299999999999999	0.005706999999999999
0.08399999999999999	0.0057139999999999995
0.08499999999999999	0.005716
0.086	0.005725999999999999
0.087	0.005731
0.088	0.005737
0.089	0.005744
0.09	0.005752
0.091	0.005754
0.092	0.005763
0.093	0.005765999999999999
0.094	0.005775
0.095	0.005778
0.096	0.005783
0.09699999999999999	0.00579
0.09799999999999999	0.005797
0.09899999999999999	0.0058
0.09999999999999999	0.005804999999999999
0.10099999999999999	0.005808
0.102	0.005816
0.103	0.00582
0.104	0.0058249999999999994
0.105	0.005829
0.106	0.005833
0.107	0.005839
0.108	0.005842
0.109	0.005849
0.11	0.00585
0.111	0.005855
0.11199999999999999	0.00586
0.11299999999999999	0.005863999999999999
0.11399999999999999	0.005866
0.11499999999999999	0.005872
0.11599999999999999	0.005876
0.11699999999999999	0.005879
0.118	0.0058839999999999995
0.119	0.005887
0.12	0.005892
0.121	0.005893
0.122	0.005898
0.123	0.005902
0.124	0.0059039999999999995
0.125	0.005908999999999999
0.126	0.005912
0.127	0.005915
0.128	0.005919
0.129	0.005921999999999999
0.13	0.005927
0.131	0.005928
0.132	0.005932
0.133	0.005934
0.13399999999999998	0.005938
0.13499999999999998	0.00594
0.13599999999999998	0.0059429999999999995
0.13699999999999998	0.005948999999999999
0.13799999999999998	0.005951
0.13899999999999998	0.005953
0.13999999999999999	0.0059559999999999995
0.141	0.005959
0.142	0.005961
0.143	0.0059629999999999996
0.144	0.005967999999999999
0.145	0.0059689999999999995
0.146	0.0059689999999999995
0.147	0.005974
0.148	0.0059759999999999995
0.149	0.005979
0.15	0.005983
0.151	0.005985
0.152	0.005987999999999999
0.153	0.0059889999999999995
0.154	0.005992
0.155	0.0059949999999999995
0.156	0.005996
0.157	0.005998
0.158	0.0060019999999999995
0.159	0.006003
0.16	0.006006
0.161	0.0060079999999999995
0.162	0.00601
0.163	0.006013999999999999
0.16399999999999998	0.006016
0.16499999999999998	0.006017
0.16599999999999998	0.006018
0.16699999999999998	0.006022
0.16799999999999998	0.006023
0.16899999999999998	0.006023
0.16999999999999998	0.006026
0.17099999999999999	0.006031
0.172	0.006032
0.173	0.0060349999999999996
0.174	0.0060349999999999996
0.175	0.006037
0.176	0.006039
0.177	0.0060409999999999995
0.178	0.006043
0.179	0.006045
0.18	0.006046999999999999
0.181	0.0060479999999999996
0.182	0.006049
0.183	0.0060539999999999995
0.184	0.0060539999999999995
0.185	0.006056
0.186	0.006057
0.187	0.006059999999999999
0.188	0.006062
0.189	0.006062
0.19	0.006065
0.191	0.006065999999999999
0.192	0.0060669999999999995
0.193	0.00607
0.19399999999999998	0.006071
0.19499999999999998	0.006072
0.19599999999999998	0.0060739999999999995
0.19699999999999998	0.006075
0.19799999999999998	0.006078
0.19899999999999998	0.006078999999999999
0.19999999999999998	0.0060799999999999995
0.20099999999999998	0.006083
0.20199999999999999	0.006084
0.20299999999999999	0.006085
0.204	0.006085999999999999
0.205	0.0060869999999999995
0.206	0.00609
0.207	0.006091
0.208	0.0060929999999999995
0.209	0.006094
0.21	0.006094
0.211	0.006095
0.212	0.006098
0.213	0.0060999999999999995
0.214	0.006102
0.215	0.006102
0.216	0.006104999999999999
0.217	0.006104999999999999
0.218	0.006108
0.219	0.006108
0.22	0.00611
0.221	0.006111
0.222	0.006111
0.223	0.0061129999999999995
0.22399999999999998	0.006115
0.22499999999999998	0.006116
0.22599999999999998	0.006117
0.22699999999999998	0.006117
0.22799999999999998	0.006117999999999999
0.22899999999999998	0.00612
0.22999999999999998	0.006121
0.23099999999999998	0.006123
0.23199999999999998	0.006124
0.23299999999999998	0.006124999999999999
0.23399999999999999	0.006127
0.235	0.006127
0.236	0.006129
0.237	0.00613
0.238	0.00613
0.239	0.006131999999999999
0.24	0.0061329999999999996
0.241	0.006135
0.242	0.006135
0.243	0.006136
0.244	0.006137
0.245	0.00614
0.246	0.006141
0.247	0.006141
0.248	0.006141
0.249	0.006144999999999999
0.25	0.006144999999999999
0.251	0.0061459999999999996
0.252	0.0061459999999999996
0.253	0.0061459999999999996
0.254	0.00615
0.255	0.00615
0.256	0.006150999999999999
0.257	0.006150999999999999
0.258	0.0061519999999999995
0.259	0.006154
0.26	0.006155
0.261	0.006156
0.262	0.006156
0.263	0.006157999999999999
0.264	0.0061589999999999995
0.265	0.0061589999999999995
0.266	0.00616
0.267	0.006162
0.26799999999999996	0.006162
0.26899999999999996	0.006163
0.26999999999999996	0.006163
0.27099999999999996	0.006163
0.27199999999999996	0.006166
0.27299999999999996	0.006166
0.27399999999999997	0.006168
0.27499999999999997	0.006168
0.27599999999999997	0.006168
0.27699999999999997	0.006170999999999999
0.27799999999999997	0.006173
0.27899999999999997	0.006174
0.27999999999999997	0.006174
0.28099999999999997	0.006174
0.282	0.006176
0.283	0.006176
0.284	0.006176999999999999
0.285	0.0061779999999999995
0.286	0.006179
0.287	0.006181
0.288	0.006181
0.289	0.006182
0.29	0.006182
0.291	0.006182
0.292	0.006183999999999999
0.293	0.0061849999999999995
0.294	0.006186
0.295	0.006186
0.296	0.006186
0.297	0.006188
0.298	0.006188
0.299	0.006189
0.3	0.006189
0.301	0.0061909999999999995
0.302	0.006192
0.303	0.006193
0.304	0.006193
0.305	0.006194
0.306	0.006194
0.307	0.006196
0.308	0.006196999999999999
0.309	0.006196999999999999
0.31	0.006199
0.311	0.006199
0.312	0.0062
0.313	0.0062
0.314	0.006201
0.315	0.006202
0.316	0.006202
