P387S6dM4_X	P387S6dM4_Y
0.0	0.0
0.001	0.001089
0.002	0.0019299999999999999
0.003	0.002706
0.004	0.0034289999999999998
0.005	0.004105999999999999
0.006	0.004742
0.006999999999999999	0.005351
0.008	0.005927
0.009	0.006476
0.01	0.007009
0.011	0.007516999999999999
0.012	0.008003999999999999
0.013	0.008476
0.013999999999999999	0.008928
0.015	0.009368999999999999
0.016	0.009792
0.016999999999999998	0.01021
0.018	0.01061
0.019	0.010999
0.02	0.011379
0.020999999999999998	0.011746
0.022	0.012102
0.023	0.012457
0.024	0.012794999999999999
0.024999999999999998	0.013123
0.026	0.013446999999999999
0.027	0.013767999999999999
0.027999999999999997	0.014079
0.028999999999999998	0.014381999999999999
0.03	0.014678
0.031	0.014967
0.032	0.015250999999999999
0.033	0.015529999999999999
0.033999999999999996	0.015805
0.034999999999999996	0.016072
0.036	0.016337
0.037	0.016593999999999998
0.038	0.016841
0.039	0.017095
0.04	0.017338
0.040999999999999995	0.017578
0.041999999999999996	0.017814
0.043	0.018045
0.044	0.018271
0.045	0.018494999999999998
0.046	0.018715
0.047	0.018937
0.048	0.019147
0.048999999999999995	0.019355999999999998
0.049999999999999996	0.019561
0.051	0.019763
0.052	0.019969
0.053	0.020166
0.054	0.020361
0.055	0.020551999999999997
0.055999999999999994	0.020739999999999998
0.056999999999999995	0.020929
0.057999999999999996	0.021112
0.059	0.021292
0.06	0.021471999999999998
0.061	0.021648
0.062	0.021821999999999998
0.063	0.021995
0.064	0.022165
0.065	0.022333
0.066	0.022498999999999998
0.06699999999999999	0.022659
0.06799999999999999	0.022823
0.06899999999999999	0.022982
0.06999999999999999	0.023135
0.071	0.023295999999999997
0.072	0.023445999999999998
0.073	0.023597
0.074	0.023749
0.075	0.023896
0.076	0.024041999999999997
0.077	0.02419
0.078	0.024331
0.079	0.02447
0.08	0.024612
0.081	0.024751
0.08199999999999999	0.024888
0.08299999999999999	0.025019
0.08399999999999999	0.025153
0.08499999999999999	0.025287
0.086	0.025418
0.087	0.025547999999999998
0.088	0.025677
0.089	0.025802
0.09	0.025927
0.091	0.026053999999999997
0.092	0.026175
0.093	0.026296
0.094	0.026418999999999998
0.095	0.026535
0.096	0.026656
0.09699999999999999	0.026771999999999997
0.09799999999999999	0.026886999999999998
0.09899999999999999	0.027001999999999998
0.09999999999999999	0.027114
0.10099999999999999	0.027226999999999998
0.102	0.02734
0.103	0.02745
0.104	0.027559999999999998
0.105	0.027669
0.106	0.027777
0.107	0.027881999999999997
0.108	0.027985
0.109	0.028089
0.11	0.028194999999999998
0.111	0.028295999999999998
0.11199999999999999	0.028398
0.11299999999999999	0.028496999999999998
0.11399999999999999	0.028598
0.11499999999999999	0.028695
0.11599999999999999	0.028797
0.11699999999999999	0.028893
0.118	0.028988999999999997
0.119	0.029085
0.12	0.029178
0.121	0.029273999999999998
0.122	0.029366
0.123	0.029457999999999998
0.124	0.029549
0.125	0.029640999999999997
0.126	0.029731999999999998
0.127	0.029821
0.128	0.029906
0.129	0.029996
0.13	0.030081999999999998
0.131	0.030167999999999997
0.132	0.030257
0.133	0.030338999999999998
0.13399999999999998	0.030423
0.13499999999999998	0.030508999999999998
0.13599999999999998	0.030591
0.13699999999999998	0.030674999999999997
0.13799999999999998	0.030757
0.13899999999999998	0.030837
0.13999999999999999	0.030916
0.141	0.030999
