R21E1S1S2_X	R21E1S1S2_Y
0.0	0.0
0.001	0.001016
0.002	0.0020009999999999997
0.003	0.002982
0.004	0.003954
0.005	0.004921
0.006	0.005876999999999999
0.006999999999999999	0.006829
0.008	0.007775
0.009	0.008709999999999999
0.01	0.009642999999999999
0.011	0.010565999999999999
0.012	0.011481
0.013	0.012392
0.013999999999999999	0.013295999999999999
0.015	0.014192999999999999
0.016	0.015087
0.016999999999999998	0.015971
0.018	0.016849
0.019	0.017723
0.02	0.01859
0.020999999999999998	0.019448999999999998
0.022	0.020302999999999998
0.023	0.021152999999999998
0.024	0.021995999999999998
0.024999999999999998	0.022831999999999998
0.026	0.023663
0.027	0.024489
0.027999999999999997	0.025307999999999997
0.028999999999999998	0.026125
0.03	0.026933
0.031	0.027739
0.032	0.028534999999999998
0.033	0.029331
0.033999999999999996	0.030119
0.034999999999999996	0.030899999999999997
0.036	0.031678
0.037	0.032452
0.038	0.03322
0.039	0.033979999999999996
0.04	0.03474
0.040999999999999995	0.035494
0.041999999999999996	0.036240999999999995
0.043	0.036985
0.044	0.037725
0.045	0.038459
0.046	0.039188
0.047	0.039913
0.048	0.040633999999999997
0.048999999999999995	0.041347999999999996
0.049999999999999996	0.042059
0.051	0.042767
0.052	0.043469999999999995
0.053	0.044169
0.054	0.044862
0.055	0.045554
0.055999999999999994	0.046239999999999996
0.056999999999999995	0.046921
0.057999999999999996	0.047599999999999996
0.059	0.048272999999999996
0.06	0.048941
0.061	0.049606
0.062	0.050269
0.063	0.050926
0.064	0.051578
0.065	0.05223
0.066	0.052872999999999996
0.06699999999999999	0.053517999999999996
0.06799999999999999	0.054154999999999995
0.06899999999999999	0.054791
0.06999999999999999	0.055421
0.071	0.056047
0.072	0.056671
0.073	0.057291999999999996
0.074	0.057907999999999994
0.075	0.058518999999999995
0.076	0.059129999999999995
0.077	0.059737
0.078	0.060337999999999996
0.079	0.060936
0.08	0.061534
0.081	0.062126999999999995
0.08199999999999999	0.06271299999999999
0.08299999999999999	0.063299
0.08399999999999999	0.06387899999999999
0.08499999999999999	0.06446
0.086	0.065035
0.087	0.065609
0.088	0.066177
0.089	0.066743
0.09	0.06730599999999999
0.091	0.067865
0.092	0.068424
0.093	0.068978
0.094	0.06952799999999999
0.095	0.070076
0.096	0.070621
0.09699999999999999	0.07116299999999999
0.09799999999999999	0.071701
0.09899999999999999	0.072239
0.09999999999999999	0.07277
0.10099999999999999	0.07330099999999999
0.102	0.07382799999999999
0.103	0.074351
0.104	0.074874
0.105	0.075392
0.106	0.075908
0.107	0.07642299999999999
0.108	0.076932
0.109	0.07744
0.11	0.077946
0.111	0.07844999999999999
0.11199999999999999	0.078947
0.11299999999999999	0.079446
0.11399999999999999	0.07994
0.11499999999999999	0.08043399999999999
0.11599999999999999	0.080922
0.11699999999999999	0.081409
0.118	0.081893
0.119	0.082374
0.12	0.082854
0.121	0.08333299999999999
0.122	0.08380599999999999
0.123	0.08427699999999999
0.124	0.08474999999999999
0.125	0.085216
0.126	0.08567899999999999
0.127	0.086143
0.128	0.086603
0.129	0.087061
0.13	0.087518
0.131	0.087971
0.132	0.088422
0.133	0.08886899999999999
0.13399999999999998	0.089318
0.13499999999999998	0.089761
0.13599999999999998	0.09020299999999999
0.13699999999999998	0.090643
0.13799999999999998	0.09108
0.13899999999999998	0.091514
0.13999999999999999	0.09194899999999999
0.141	0.09237999999999999
0.142	0.09280999999999999
0.143	0.093237
0.144	0.093662
0.145	0.094083
0.146	0.09450499999999999
0.147	0.094923
0.148	0.095339
0.149	0.09575299999999999
0.15	0.096167
0.151	0.096577
0.152	0.096984
0.153	0.09739099999999999
0.154	0.097796
0.155	0.098198
0.156	0.09859699999999999
0.157	0.098997
0.158	0.099395
0.159	0.09978899999999999
0.16	0.10018099999999999
0.161	0.100573
0.162	0.100964
0.163	0.10135
0.16399999999999998	0.101736
0.16499999999999998	0.10211999999999999
0.16599999999999998	0.102501
0.16699999999999998	0.102883
0.16799999999999998	0.10325999999999999
0.16899999999999998	0.10363599999999999
0.16999999999999998	0.104013
0.17099999999999999	0.10438399999999999
0.172	0.10475699999999999
0.173	0.105125
0.174	0.10549399999999999
0.175	0.105859
0.176	0.106223
0.177	0.106587
0.178	0.106946
0.179	0.107307
0.18	0.107665
0.181	0.10801999999999999
0.182	0.108376
0.183	0.10872799999999999
0.184	0.109079
0.185	0.10943
0.186	0.109777
0.187	0.110122
0.188	0.110468
0.189	0.11081099999999999
0.19	0.111152
0.191	0.111493
0.192	0.111831
0.193	0.11216799999999999
0.19399999999999998	0.112505
0.19499999999999998	0.112839
0.19599999999999998	0.11316999999999999
0.19699999999999998	0.11350099999999999
0.19799999999999998	0.11383
0.19899999999999998	0.114159
0.19999999999999998	0.11448499999999999
0.20099999999999998	0.114811
0.20199999999999999	0.115135
0.20299999999999999	0.11545699999999999
0.204	0.11577699999999999
0.205	0.11609699999999999
0.206	0.11641499999999999
0.207	0.11673199999999999
0.208	0.117046
0.209	0.11735899999999999
0.21	0.117672
0.211	0.11798399999999999
0.212	0.118293
0.213	0.118602
0.214	0.118909
0.215	0.119214
0.216	0.119519
0.217	0.119822
0.218	0.120123
0.219	0.12042499999999999
0.22	0.120722
0.221	0.12101899999999999
0.222	0.121316
0.223	0.121612
0.22399999999999998	0.121905
0.22499999999999998	0.122198
0.22599999999999998	0.122489
0.22699999999999998	0.122779
0.22799999999999998	0.123068
0.22899999999999998	0.123356
0.22999999999999998	0.12364299999999999
0.23099999999999998	0.123928
0.23199999999999998	0.12421099999999999
0.23299999999999998	0.124494
0.23399999999999999	0.124775
0.235	0.125055
0.236	0.125334
0.237	0.125613
0.238	0.12589
0.239	0.126166
0.24	0.126439
0.241	0.126713
0.242	0.126986
0.243	0.127256
0.244	0.127525
0.245	0.127794
0.246	0.12806199999999998
0.247	0.128328
0.248	0.12859299999999999
0.249	0.128859
0.25	0.12912099999999999
0.251	0.129383
0.252	0.12964399999999998
0.253	0.129905
0.254	0.130163
0.255	0.13042099999999998
0.256	0.130678
0.257	0.130933
0.258	0.131188
0.259	0.131441
0.26	0.131693
0.261	0.131945
0.262	0.13219599999999998
0.263	0.132445
0.264	0.132693
0.265	0.132941
0.266	0.133187
