branch_major	total_nodes	terminal_nodes	internal_nodes	high_mug_confidence_nodes	perc_high_mug_confidence	high_branch_support_nodes	high_branch_support_nodes
All	1201	601	600	461	76.83	300	50.0	202	33.67
0.PRE	15	8	7	3	42.86	7	100.0	3	42.86
0.ANT4	23	12	11	8	72.73	7	63.64	4	36.36
0.PE	169	84	85	70	82.35	57	67.06	43	50.59
0.ANT	207	103	104	98	94.23	31	29.81	26	25.0
1.PRE	80	40	40	30	75.0	17	42.5	13	32.5
1.ANT	7	4	3	0	0.0	2	66.67	0	0.0
1.IN	78	39	39	37	94.87	19	48.72	17	43.59
1.ORI	233	117	116	93	80.17	39	33.62	29	25.0
2.ANT	107	54	53	47	88.68	28	52.83	23	43.4
2.MED	231	116	115	62	53.91	70	60.87	34	29.57
3.ANT	21	11	10	6	60.0	10	100.0	6	60.0
4.ANT	21	11	10	6	60.0	7	70.0	3	30.0
