# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 13 12:50:22 AEST 2021 [seed=1620874221777]
# -overwrite 1.INSC_dates_noHyperPrior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2.141350430374218E7	-117.62987282796712	-2.1413386673869353E7	54.398580706317986	54.398580706317986	79.58131889767547	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-2.1413386673869353E7	0.0	-30.99207569150302
100000	-5891509.811698545	-245.79268771543175	-5891264.01901083	208.09273660949214	208.09273660949214	1251.752165723885	147.97764392014372	1.1730801106554563	1.0652536844805003	0.8214193225022411	0.7588127663157614	0.9521758785647536	1.2292582374812873	0.004088484828171558	6.526590846415564E-8	6.526590846415561E-8	-5891264.01901083	0.0	-234.680344526157
200000	-5891504.182817397	-255.62389578113624	-5891248.558921616	242.77297348831925	242.77297348831925	1505.2015209047288	171.9172222757423	1.1603367095579702	1.1629878988734281	0.8018018251158723	0.6557277606235891	0.9223427579909739	1.2968030478381665	0.38218017986285063	6.233931829286699E-8	6.233931829286698E-8	-5891248.558921616	0.0	-241.47652921632903
300000	-5891500.912928238	-255.98092143098876	-5891244.932006806	278.8049960013244	278.8049960013244	1535.6901964017056	191.66678938705223	1.1785135030870053	1.224021378388846	0.8301742681228833	0.374774256435237	0.9310946564278604	1.461421937538169	0.09174063714876472	5.6135812190235785E-8	5.613581219023581E-8	-5891244.932006806	0.0	-240.5019206144031
400000	-5891508.604535761	-262.8679783150008	-5891245.736557446	317.8979050902738	317.8979050902738	1737.5103476111535	160.52160546663367	1.2833101569441123	1.19626373288982	0.9038043388504852	0.18570986740515344	0.9415312220479498	1.4893806818624806	0.48678831457837857	4.89502937724451E-8	4.8950293772445094E-8	-5891245.736557446	0.0	-249.8436226593986
500000	-5891492.9389782315	-245.74540313682525	-5891247.193575094	224.3024743867204	224.3024743867204	1334.2440686264708	156.91689612320707	1.4378371729217558	1.2158476705971413	0.6429101022986848	0.3850891669657642	0.8397222918339448	1.4785935953827087	0.047305324448141874	6.757811368492487E-8	6.75781136849249E-8	-5891247.193575094	0.0	-233.66719570113003
600000	-5891514.489579396	-272.25100391647686	-5891242.23857548	331.4061298695979	331.4061298695979	1921.6724346140036	151.85508589469913	1.612259155123211	1.2103005881314997	0.7855521715587269	0.24178812902628782	0.8215746358242819	1.3285253203359906	0.02880944356192458	4.729896287460619E-8	4.7298962874606206E-8	-5891242.23857548	0.0	-261.07678192583256
700000	-5891500.762881952	-253.73420128264047	-5891247.02868067	308.5909810883621	308.5909810883621	1608.24993139844	149.9057113475808	1.557452757330904	1.2386572938265603	0.8188763686400611	0.19414929277584894	0.8871034077225998	1.3037608797040223	0.03318611663368052	5.703463066727647E-8	5.7034630667276464E-8	-5891247.02868067	0.0	-242.56355279367355
800000	-5891498.855436995	-246.89573781237152	-5891251.959699183	220.26561839511805	220.26561839511805	1321.1032108663157	123.61761938169009	1.5220730505523192	1.112444627811045	0.9413039222712221	0.30572958102565045	0.7770108700256727	1.3414379483140875	0.41141255850950736	7.156190123773896E-8	7.156190123773901E-8	-5891251.959699183	0.0	-237.38565100996487
900000	-5891508.388890161	-250.5320957522553	-5891257.8567944085	273.73289628253787	273.73289628253787	1442.7708549947338	154.12825751591686	1.4136568794785482	1.212729088797673	0.9415255021141515	0.2737543586081375	0.8292375673867859	1.3290966036147007	0.29284579772626895	6.457146571885977E-8	6.457146571885977E-8	-5891257.8567944085	0.0	-238.30352430524488
