population	num_states	meanRate	meanRate_hpd	age(root)	age(root)_hpd
prune	10000000	1.55e-08	1.20e-08, 1.91e-08	-3903	-7326, -3547
1.ORI	143600000	1.27e-07	1.07e-07, 1.49e-07	1885	1806, 1901
1.IN	1000000000	8.32e-08	5.81e-08, 1.16e-07	1882	1651, 1913
1.ANT	1000000000	5.84e-08	4.15e-08, 9.27e-08	1780	1655, 1835
1.PRE	426000000	4.68e-08	3.88e-08, 5.71e-08	1300	1214, 1315
2.MED	371100000	2.41e-07	2.01e-07, 2.89e-07	1796	1560, 1845
2.ANT	1000000000	8.18e-08	5.78e-08, 1.05e-07	1798	1509, 1852
4.ANT	1000000000	7.99e-08	4.61e-08, 1.52e-07	1954	1848, 1968
3.ANT	1000000000	6.25e-08	3.69e-08, 1.05e-07	1924	1769, 1947
0.ANT4	1000000000	3.63e-08	2.51e-08, 4.51e-08	223	39, 234
0.ANT	1000000000	5.65e-08	4.28e-08, 7.53e-08	1698	1357, 1797
0.PE	443400000	6.16e-07	4.62e-07, 7.68e-07	1814	1573, 1876
0.PRE	5000000000	5.56e-08	4.15e-08, 6.33e-08	-2816	-3098, -2786
