# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:46:11 AEST 2021 [seed=1620769570347]
# -overwrite 0.PESC_dates_epop_prior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2.4311497090683755E7	-181.34097457156986	-2.431131574970918E7	58.2989184830717	58.2989184830717	102.28888620152061	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-2.431131574970918E7	0.0	-64.5202184965598
10000	-5987448.650532699	-218.42660323313376	-5987230.223929466	59.338157575814165	59.338157575814165	210.87624356871237	4.035827932992846	1.0199925183862626	0.9830127644932244	0.9347414155305703	0.9837338576691235	1.052084460906509	1.0264349830143107	0.02592297613212231	9.530222698167612E-6	9.53022269816761E-6	-5987230.223929466	0.0	-210.67955135787352
20000	-5957263.10284869	-385.9508768089269	-5956877.151971881	73.85011567130029	73.85011567130029	578.5466625897652	34.36329327966491	1.0501101168370695	1.0190476298594398	0.8938229401979528	0.879852079293727	1.079999799302669	1.0771674345091422	0.015530360117222971	2.2259216289483913E-6	2.2259216289483904E-6	-5956877.151971881	0.0	-376.42435793261
30000	-5951611.328784209	-436.3513734912621	-5951174.977410718	89.01796961391297	89.01796961391297	803.0847652219009	53.70916097110166	1.077174725885734	1.0289292060004929	0.8041742479587443	0.8260663342191537	1.1249716323569752	1.1386838535788997	0.016420094197269836	1.5183457579516568E-6	1.5183457579516563E-6	-5951174.977410718	0.0	-425.2438021590046
40000	-5951250.546757858	-460.50747111020075	-5950790.0392867485	90.14611758732399	90.14611758732399	907.2623011042481	70.84251405590177	1.1236715791209972	1.0231184412739667	0.7684540359514039	0.7661374593646665	1.1580978114453098	1.1605206728436552	0.01178819532553752	1.3359202216078253E-6	1.335920221607824E-6	-5950790.0392867485	0.0	-447.82082179836374
50000	-5948925.804900236	-472.8353552674894	-5948452.969544969	95.8732974742735	95.8732974742735	999.1568136968168	75.09918047263524	1.1622361289237673	1.0386074000912753	0.7568257947604384	0.7058861582187309	1.1245965013212258	1.2118480166845615	0.02917545789544152	1.1525066830469421E-6	1.1525066830469421E-6	-5948452.969544969	0.0	-459.81040588232844
60000	-5947759.189621799	-487.9479703781658	-5947271.2416514205	102.23831353772866	102.23831353772866	1091.5964153371033	101.09635759134143	1.2156194868966173	1.0654562486641441	0.7160058534957537	0.6316533617771948	1.127008844792701	1.2442562043735879	0.0029053636843318644	1.0141716765145729E-6	1.014171676514573E-6	-5947271.2416514205	0.0	-472.4840638710528
70000	-5947000.778791777	-497.89414383044414	-5946502.884647947	106.2996096511326	106.2996096511326	1164.3466291622733	115.84706318079337	1.2721859965647655	1.1062182575173856	0.6310342554570727	0.5517975935900741	1.121340140342796	1.3174237565279046	0.006355033391376721	9.581612869289583E-7	9.581612869289586E-7	-5946502.884647947	0.0	-481.00892397160055
80000	-5946889.472283935	-510.5326139503155	-5946378.939669985	112.73574454941556	112.73574454941556	1259.0881261316918	94.44271743960854	1.3282926910641306	1.0285461495413255	0.5897724272636393	0.5315322544640756	1.1422937648519504	1.3795627128148766	0.05127398777263802	8.81794263493757E-7	8.817942634937568E-7	-5946378.939669985	0.0	-495.7786386357541
90000	-5946676.137077578	-510.3252934446246	-5946165.811784133	111.38317379768715	111.38317379768715	1274.1323784716733	104.70218940622166	1.353862499967896	1.0113392563020456	0.5862215251423344	0.5071341822102456	1.1165788729779678	1.4248636633995082	0.026508741350108504	8.585429632901633E-7	8.585429632901634E-7	-5946165.811784133	0.0	-494.614217662409
