# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun May 30 14:15:16 AEST 2021 [seed=1622348116121]
# -overwrite -save_every 10000 -save_state 0.PREUCLN_dates_noHyperPrior.xml.state 0.PREUCLN_dates_noHyperPrior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-4.501905784098803E7	-1144.8873374232817	-4.501791295365061E7	1092.0967274587094	1092.0967274587094	1097.1956315084967	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.3333333333333333	0.8905331748103255	0.26294260131035424	-0.09561003359646784	-4.501791295365061E7	-36.94680261461362	-5.098904049787393
500000	-5893232.15118272	-68.79806375457034	-5893163.353118965	1104.5740868482105	1104.5740868482105	1206.161456665981	19.36138978046488	0.8858890147184658	1.894249729657541	0.16433376317810766	0.17248790970869815	1.6508712805825838	1.2321683021546006	0.06127022391195111	0.002176457240851072	0.2479746272463365	1.0781598769600224E-7	1.5527891285925977	-2.0621358009927334E-16	-5893163.353118965	-36.94680261461362	-25.98987090176155
1000000	-5892793.765447999	-89.5155858732548	-5892704.249862126	1139.5210103506322	1139.5210103506322	1770.9344713196192	83.25214102389243	0.6157500216923567	1.9015821701337674	0.19707119802018594	0.103856132917933	2.0546457486482272	1.1270947285875246	0.08357516715196024	5.283604061787162E-4	0.05066354933527911	5.914075822345875E-8	2.2531887173371876	-0.13365331665169267	-5892704.249862126	-36.94680261461362	-43.45497815609574
1500000	-5892797.489152896	-89.93857787023391	-5892707.550575026	1192.6482028100472	1192.6482028100472	1879.2699500820183	66.75284532380775	0.6047141162392144	1.977144928862783	0.12000965273273086	0.2146652996470274	1.889922638316188	1.1935433642020479	0.04885523729167211	4.6489557638033414E-4	0.03899590590760571	6.128735387733864E-8	1.3721810046641987	-0.06815492297461474	-5892707.550575026	-36.94680261461362	-45.78804080540027
2000000	-5892791.693326164	-89.98442676811999	-5892701.708899396	1110.1348028204568	1110.1348028204568	1799.9529635245003	84.5523784038332	0.6659072285967927	2.0028865284742725	0.14992472672620585	0.12180996664873944	2.002505094712625	1.0569664548413582	0.19292269454026295	2.9064428929624674E-4	0.017475508919704223	6.151232059318176E-8	2.5770563797580945	-0.1278072025942407	-5892701.708899396	-36.94680261461362	-44.39417582037706
2500000	-5892788.420541097	-89.08809281861605	-5892699.332448279	1128.1852496105291	1128.1852496105291	1771.9253352955557	68.29759646058065	0.5398356455972765	2.0693605534948665	0.1708153605184429	0.19219455416696438	2.02550894507161	1.0022849411508303	0.15127260909459522	3.733739366093847E-4	0.025383945442462714	6.596848832991495E-8	2.517782581881319	-0.05711544871010498	-5892699.332448279	-36.94680261461362	-44.911363188404884
3000000	-5892789.443596584	-90.62679655955573	-5892698.816800024	1117.5394488758445	1117.5394488758445	1829.8745057578776	81.40072423108668	0.6188757584105622	2.058556874407182	0.15731007831303342	0.1465100852556064	1.7858262035876737	1.2329210000259434	0.00408823328626622	4.407078582082397E-4	0.03321171804555683	6.467137154890686E-8	2.944458181471366	-0.11337453495734018	-5892698.816800024	-36.94680261461362	-45.19897969897257
3500000	-5892791.518952418	-88.5353607760562	-5892702.983591642	1133.523629942729	1133.523629942729	1802.1020761966624	72.8601026882082	0.6136516891760951	2.0803318618983675	0.1775366395123293	0.10979508525760093	2.0259641620094198	0.9927205621461851	0.036276111400989505	2.3475274921266447E-4	0.0127815838003888	5.877602348358251E-8	2.0080844723890325	-0.3221607269941135	-5892702.983591642	-36.94680261461362	-44.64919026816838
4000000	-5892794.949986997	-91.7234995284285	-5892703.226487469	1099.7826905508607	1099.7826905508607	1829.9479554323543	93.8191557829672	0.6294486424244121	2.0607434582304247	0.1412789772093541	0.21247987641207303	1.9697004251611554	0.9863486205625691	0.12981580341134538	5.507052975742892E-4	0.053300233473409835	5.691531390360396E-8	1.6177308145284186	-0.03515366003889962	-5892703.226487469	-36.94680261461362	-44.42940812967133
4500000	-5892791.719859259	-90.63568231129064	-5892701.084176948	1108.9828717347475	1108.9828717347475	1800.0596107853326	64.2442405659858	0.7274425213975431	2.204369824524425	0.16760933752599413	0.15706542786697314	1.735233166193392	1.0082797224916564	0.002911018648524224	6.101657689498956E-4	0.05969970403916492	5.943014259644194E-8	2.1375838253211574	-0.09015996170781844	-5892701.084176948	-36.94680261461362	-46.38362156781542
