# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 13 12:57:56 AEST 2021 [seed=1620874674488]
# -overwrite 1.ORISC_dates_noHyperPrior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2.840294197382053E7	-263.0187645878233	-2.840267895505594E7	92.09238948542658	92.09238948542658	138.10719517717905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-2.840267895505594E7	0.0	-118.13071656294403
100000	-5900401.420283465	-780.2535335346312	-5899621.16674993	112.19247354563144	112.19247354563144	2141.2045068814136	203.55858004155198	1.1370551489185527	0.9788457576124061	0.7157727119285113	0.676551430067045	1.050048241332378	1.4417267101411064	0.02763954438328195	1.1639871332464592E-7	1.1639871332464581E-7	-5899621.16674993	0.0	-763.5149633599144
200000	-5900193.9906467125	-837.9136437040358	-5899356.077003009	174.20239650646118	174.20239650646118	2942.024698964847	318.67952391460636	1.2311858775009898	1.120190959052569	0.42053603142727386	0.3510830595313811	1.2112992825387863	1.6657047899490012	0.010324458780010237	7.979316989814806E-8	7.97931698981481E-8	-5899356.077003009	0.0	-810.045280325117
300000	-5900075.413563876	-844.7366616411958	-5899230.6769022355	187.6984704478852	187.6984704478852	3043.40730859486	329.47243109922357	1.175582659121067	1.1725295526430046	0.35039546795541104	0.3510950265748273	1.219357620809912	1.7310396728957809	0.0440150849433084	7.502472317034136E-8	7.502472317034136E-8	-5899230.6769022355	0.0	-815.7693826664612
400000	-5900073.810890619	-852.8931268690271	-5899220.91776375	205.1460795864077	205.1460795864077	3265.909328574917	343.57976554996696	1.1900017307783195	1.2190392200132765	0.3670937351915957	0.3254352595007453	1.2689268304162986	1.6295032240997698	0.047362972280294506	6.98506666974028E-8	6.985066669740286E-8	-5899220.91776375	0.0	-822.5794281744453
500000	-5900066.088849914	-862.5011935009411	-5899203.587656413	217.47145380984455	217.47145380984455	3332.073603605644	304.4037511842209	1.1771543409208025	1.2506611486419439	0.4027821491727057	0.2785061817714049	1.2328928222229991	1.658003357270146	0.015230801709686662	7.687536314111978E-8	7.687536314111979E-8	-5899203.587656413	0.0	-836.131447936899
600000	-5900050.426748983	-851.7887176212802	-5899198.638031362	198.9728760858008	198.9728760858008	3185.831145299598	339.2910811260034	1.2132821823460376	1.2588022236091005	0.38825570492937744	0.3614314049555003	1.179960988749478	1.598267495410507	0.003031812004116605	7.773285933160929E-8	7.77328593316093E-8	-5899198.638031362	0.0	-821.926658442598
700000	-5900028.880765297	-866.3972808379334	-5899162.483484459	262.4178349562664	262.4178349562664	3548.929941049011	378.2875029261633	1.3303636434108554	1.255561408871155	0.3130178121050208	0.25689777395151087	1.3004767192322984	1.5436826424291612	0.046136710630661125	6.848398894209756E-8	6.848398894209765E-8	-5899162.483484459	0.0	-832.6666797858653
800000	-5900026.464544883	-868.9823159756337	-5899157.482228908	201.0410986639182	201.0410986639182	3309.1996801462437	316.9194323089826	1.35985003672702	1.134145939647646	0.40452905443022164	0.26209922184500645	1.1648521908175633	1.6745235565325436	0.0248448039117363	7.383914474804493E-8	7.3839144748045E-8	-5899157.482228908	0.0	-841.3584901005938
900000	-5900043.620154014	-880.1571426535411	-5899163.463011361	302.4313554767877	302.4313554767877	3753.2528316514904	429.9962557296121	1.2667179236305586	1.176396014593371	0.36865642281605887	0.3439725324632059	1.2431208778517095	1.6011362286450979	0.034443434649373134	6.413837462540042E-8	6.413837462540049E-8	-5899163.463011361	0.0	-841.3398221303066
