# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:50:44 AEST 2021 [seed=1620769843343]
# -overwrite 1.PRESC_dates_epop_prior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-5.486479322445701E7	-512.7827892834687	-5.486428044166773E7	438.79624338923986	438.79624338923986	463.37446940677097	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-5.486428044166773E7	0.0	-35.63181724752495
10000	-5889342.636935718	-163.8080862096007	-5889178.828849508	439.7237033036083	439.7237033036083	891.4984834244465	8.265954276183543	0.9830232489621461	0.9600198749338508	0.9519601617797872	1.038342606239973	1.072342812087746	0.9943112959964975	0.00914238985929453	9.918096691775958E-8	9.918096691775959E-8	-5889178.828849508	0.0	-158.6769589166875
20000	-5888316.250381308	-201.6767957576579	-5888114.57358555	457.4710572587869	457.4710572587869	1318.7884831314052	57.80195475539984	0.9837598970748296	1.0017748892336376	0.9100478145311821	1.0540228051959364	1.1323458483934508	0.9180487455709646	0.0750353219179878	5.755141087491088E-8	5.7551410874910855E-8	-5888114.57358555	0.0	-191.9282113351485
30000	-5888304.063907036	-195.74864596684932	-5888108.315261069	454.08165623688234	454.08165623688234	1247.9064141514682	42.927195993049814	0.944026746244896	1.0019314240045376	0.8846045042768058	1.0816115144950507	1.156774292201624	0.9310515187770881	0.10745729157490883	5.778720314105861E-8	5.778720314105863E-8	-5888108.315261069	0.0	-187.3930298050869
40000	-5888275.223706831	-215.59148781288982	-5888059.632219018	472.45137552639255	472.45137552639255	1625.4055017827711	57.39578235413429	0.9131640973959806	1.0673203020817985	0.8583706433888483	1.0597379062214314	1.182275560823518	0.9191314900884259	0.08321650070426077	4.284999387032739E-8	4.284999387032741E-8	-5888059.632219018	0.0	-206.11917300914786
50000	-5888275.012170594	-212.4896750833804	-5888062.522495511	466.8203136455509	466.8203136455509	1548.8688505628654	60.472429528887574	0.9165838995755159	1.1591132143022296	0.8035062207880299	1.0797495290489139	1.145258450695076	0.8957886855902367	0.055273482030876474	4.529890139492902E-8	4.5298901394929025E-8	-5888062.522495511	0.0	-202.71367623008962
60000	-5888276.371510586	-221.34278566357696	-5888055.028724922	482.9709320695507	482.9709320695507	1733.5904906595208	81.10549177293821	0.9184041133137903	1.1885803731502589	0.7753603634036949	1.0397610738790017	1.1465023570194641	0.9313917192337906	0.1425373191861961	4.008918163978191E-8	4.00891816397819E-8	-5888055.028724922	0.0	-209.44637660654476
70000	-5888279.873444856	-230.38254128008305	-5888049.490903576	499.93029228035607	499.93029228035607	1967.982035177059	89.22600754782273	0.916879210724171	1.193586282414187	0.7124765516933705	1.0778869727955156	1.1610551710833994	0.9381158112893571	0.11331217561678894	3.673863949466466E-8	3.6738639494664663E-8	-5888049.490903576	0.0	-217.83957385449722
80000	-5888276.027543406	-224.66424268896458	-5888051.363300717	480.40812638445044	480.40812638445044	1826.536564724408	86.41954985884774	0.9094621962876624	1.2422963173259602	0.7169220065949188	1.0434033674832393	1.1733074581927743	0.9146086541154458	0.06868474928967161	3.594373707696533E-8	3.594373707696533E-8	-5888051.363300717	0.0	-212.46482608709775
90000	-5888275.783863194	-229.04427803592893	-5888046.739585158	478.38588241941255	478.38588241941255	1877.9545616108353	87.56145612477015	0.90809378162564	1.2852830122771346	0.7264598847543778	1.0502735054946695	1.2039884397030391	0.8259013761451403	0.05339318201468888	3.591768030496536E-8	3.591768030496537E-8	-5888046.739585158	0.0	-216.77549554000484
