# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:48:14 AEST 2021 [seed=1620769692562]
# -overwrite 1.ORISC_dates_epop_prior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2.902017555214251E7	-263.1121020787209	-2.901991244004043E7	93.97922598625647	93.97922598625647	143.28431385320766	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-2.901991244004043E7	0.0	-105.46443327071286
10000	-5904892.752024204	-345.8881899914542	-5904546.8638342125	94.27751647460754	94.27751647460754	262.6288622244801	6.1631794965021065	0.9919731671085933	0.9906157939722615	0.9510713487069189	1.0080399609343396	1.0696711968458181	0.9886285324320687	0.037700390662964406	1.2640198252390934E-6	1.2640198252390942E-6	-5904546.8638342125	0.0	-339.02634662657704
20000	-5902750.49498724	-489.56057098476003	-5902260.934416255	97.23200123014917	97.23200123014917	483.679614250242	20.984338261878268	0.9795004544700765	1.0219302749206498	0.9029762916303268	0.9788976016439501	1.0955841796009431	1.0211111977340548	0.050221193627521345	6.50672761138681E-7	6.50672761138681E-7	-5902260.934416255	0.0	-481.82895052963096
30000	-5901762.256775006	-570.82467268083	-5901191.432102324	98.19277602610813	98.19277602610813	722.0793737041614	39.69308396431296	1.0203682602622186	0.9957884362979693	0.8639492275616873	0.942445672196603	1.0994379183815617	1.0780104852999608	0.03348879826092537	3.8558441449155796E-7	3.8558441449155774E-7	-5901191.432102324	0.0	-561.7176582592502
40000	-5900976.13940598	-664.2914035616188	-5900311.848002418	104.29392843825066	104.29392843825066	1228.373262778117	105.2493414284325	1.0471073504210926	1.004470849148924	0.8308454705676469	0.9194100927339625	1.1008238364405145	1.0973424006878607	0.029266448355290197	2.1214069378792613E-7	2.1214069378792613E-7	-5900311.848002418	0.0	-649.2016366241758
50000	-5900717.980268257	-699.5355076350088	-5900018.4447606215	108.91291562029711	108.91291562029711	1468.2155296290377	106.98949536524553	1.0439978234622134	0.9941131444393242	0.798781525120903	0.8919257395282326	1.155563421386553	1.115618346062775	0.028910241694064667	1.7284925773536835E-7	1.728492577353684E-7	-5900018.4447606215	0.0	-684.4640379386572
60000	-5900379.5500272345	-733.9611904621735	-5899645.588836772	117.08137095297387	117.08137095297387	1714.1785640760138	136.87674826020657	1.0937595712605912	1.003719951017304	0.7552098523402495	0.9036443226286329	1.1117128537758454	1.131953448977378	0.009314436999939345	1.4131554059384923E-7	1.4131554059384918E-7	-5899645.588836772	0.0	-716.1183540566082
70000	-5900337.3821609	-756.8679137401153	-5899580.51424716	113.69411996449256	113.69411996449256	1864.6873478210446	200.7301515731952	1.1132459619976132	1.0204841435840437	0.7077114196636634	0.8800097427914846	1.143050960125256	1.1354977718379404	0.0612554433369134	1.309927085190207E-7	1.3099270851902064E-7	-5899580.51424716	0.0	-732.6158594740791
80000	-5900304.877320405	-786.9296583009432	-5899517.947662104	116.62007128475523	116.62007128475523	2188.249768328182	207.7120676881353	1.1576841588860267	0.954694883406945	0.6769518872057124	0.8402455063663953	1.2031573244346263	1.167266239700296	0.07715166257471152	1.1381398447008325E-7	1.1381398447008335E-7	-5899517.947662104	0.0	-762.0979076397612
90000	-5900269.6325357845	-798.9314445210734	-5899470.701091263	118.93307404959033	118.93307404959033	2316.9400320808113	234.10569624999135	1.1902603635204119	0.994423293024979	0.6078235900187847	0.799438992656461	1.2008838978386462	1.2071698629407193	0.011003102542915436	1.0329510141748593E-7	1.0329510141748595E-7	-5899470.701091263	0.0	-771.6696982376903
