# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:48:12 AEST 2021 [seed=1620769690914]
# -overwrite 1.ORISC_ultra_epop_prior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1.2937600967799608E7	-125.27220228484026	-1.2937475695597323E7	2.0805379443946452	2.0805379443946452	11.617597892306879	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-1.2937475695597323E7	0.0	-116.59969929991964
10000	-6809938.077172694	283.575423751797	-6810221.652596446	0.08474569911785537	0.08474569911785537	0.3884035485932424	0.029162737247813948	0.968400316814093	0.9901764876578021	0.9414723088661876	1.0653724001317697	1.0420037362473522	0.992574750282796	0.018637276474633736	1.0	1.0	-6810221.652596446	0.0	291.1881175633917
20000	-5951854.9886196	727.2725745453017	-5952582.261194145	0.002892242254483044	0.002892242254483044	0.0126940323443721	7.032591468339492E-4	0.9861814997908607	0.9581045859574714	0.8411444711860253	1.1427247254693584	1.072726387969495	0.9991183296267896	0.0044289871773852485	1.0	1.0	-5952582.261194145	0.0	734.8540058304918
30000	-5901490.13275796	919.5207168661028	-5902409.653474826	4.960247524680274E-5	4.960247524680274E-5	6.735702748017167E-4	1.2939609467309076E-4	1.0208858315046154	0.9629580715165378	0.7871228093868798	1.1178885036550652	1.0859834098538164	1.0251613740830858	0.035344821653671164	1.0	1.0	-5902409.653474826	0.0	927.1639224339402
40000	-5899406.169020418	957.3239877563069	-5900363.493008174	2.1088684468992022E-5	2.1088684468992022E-5	3.719750668834536E-4	8.206194329233691E-5	1.0641318573264853	0.9918452942505018	0.7621822528981994	1.0120364833209181	1.111388222367274	1.0584158898366216	0.052356201716187815	1.0	1.0	-5900363.493008174	0.0	965.0012113508542
50000	-5898710.3693714645	975.1700540456216	-5899685.53942551	1.4766055061332683E-5	1.4766055061332683E-5	3.0744442177450424E-4	6.556984837626793E-5	1.0797299234840418	0.9499200973035054	0.7372425010113121	0.9405783981975933	1.1702792860107505	1.1222497939927973	0.04638813396202596	1.0	1.0	-5899685.53942551	0.0	982.835339855451
60000	-5898509.813656308	988.8452241397391	-5899498.658880447	1.685548305186405E-5	1.685548305186405E-5	2.856159901544617E-4	6.662703789002345E-5	1.1211505334289606	0.9813625170438509	0.701889152345042	0.8668323620017425	1.1834043287679141	1.145361106412491	0.045709716862025136	1.0	1.0	-5899498.658880447	0.0	996.5091532210876
70000	-5898396.973385138	988.5035569737871	-5899385.476942113	1.5666480728843325E-5	1.5666480728843325E-5	2.668819030251658E-4	5.8221144181713725E-5	1.1193755180061422	1.014603820825648	0.6544564735161214	0.8361494692923563	1.1973945270606878	1.1780201912990456	0.03599960889049513	1.0	1.0	-5899385.476942113	0.0	996.1480649986031
80000	-5898310.988840028	987.4810166773588	-5899298.4698567055	1.4132470145384817E-5	1.4132470145384817E-5	2.6234658415944797E-4	6.313696112311897E-5	1.1470333439925775	0.9954243701661372	0.6096132945947708	0.7794752543007631	1.226232507959677	1.2422212289860755	0.021935889310934896	1.0	1.0	-5899298.4698567055	0.0	995.0973977545974
90000	-5898332.1999344835	988.9810302117005	-5899321.180964695	1.4391257483940739E-5	1.4391257483940739E-5	2.6207610802271206E-4	6.048457879635611E-5	1.1469249191099629	0.9977559211978023	0.625262687848775	0.7472522138956184	1.2565984948666	1.2262057630812417	0.02424004116998664	1.0	1.0	-5899321.180964695	0.0	996.6020193274189
