# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:51:14 AEST 2021 [seed=1620769873074]
# -overwrite 1.PRESC_ultra_epop_prior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1.2414463209524263E7	-44.96111231078585	-1.2414418248411952E7	2.003541633406414	2.003541633406414	9.12243041422638	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-1.2414418248411952E7	0.0	-36.28860932586522
10000	-5888253.065030551	374.7477849489895	-5888627.8128154995	8.475683550740268E-5	8.475683550740268E-5	2.593979553987392E-4	1.9491483125210075E-5	1.0020673729724852	0.9360877173256611	0.9738736993502971	1.0586389274090773	1.047759564188362	0.9815727187541181	0.03197265452360549	1.0	1.0	-5888627.8128154995	0.0	382.3842351921056
20000	-5887625.390888581	400.3978298927379	-5888025.788718474	1.2934656200407009E-5	1.2934656200407009E-5	7.015774287322025E-5	1.0056793163275649E-5	0.9614449178558045	0.9465205861634892	0.9887045369927907	1.0659955306078825	1.0888334680817902	0.9485009602982437	0.02453728194335858	1.0	1.0	-5888025.788718474	0.0	408.0194084472246
30000	-5887631.432318767	392.57265025731135	-5888024.004969024	1.3371704518809585E-5	1.3371704518809585E-5	7.66589733193378E-5	1.0609899179736367E-5	1.0009476451467219	0.9932138072467253	0.9892686973525046	1.0714134151334027	1.1001587151888674	0.844997719931779	0.042586016323972437	1.0	1.0	-5888024.004969024	0.0	400.23032633586985
40000	-5887623.390610238	403.8273945754378	-5888027.218004813	1.2665533420458334E-5	1.2665533420458334E-5	6.780535857137648E-5	9.234143944273918E-6	0.9739914847759946	1.0119059840029359	0.9664758384845549	1.0404147846517482	1.08677614135235	0.9204357667324166	0.12205638658434124	1.0	1.0	-5888027.218004813	0.0	411.6440112569415
50000	-5887629.849504202	394.5092328683044	-5888024.35873707	1.4150083318060679E-5	1.4150083318060679E-5	7.52324281854554E-5	9.536891717021734E-6	0.9662914390864651	0.9991880528080744	0.9275587855255398	1.0619018659691402	1.095904311915689	0.949155544695092	0.04435218842175925	1.0	1.0	-5888024.35873707	0.0	402.17044118375776
60000	-5887624.845645197	397.01348101839227	-5888021.859126215	1.2953002981191103E-5	1.2953002981191103E-5	7.029179385647708E-5	1.2278333818325187E-5	0.950524332859709	1.0727478066777345	0.8685319796606585	1.0656832212910938	1.0857636168500533	0.9567490426607502	0.048414152383256234	1.0	1.0	-5888021.859126215	0.0	404.68281353591277
70000	-5887615.279630642	396.2566780412138	-5888011.536308683	1.301996401936453E-5	1.301996401936453E-5	6.989351217230839E-5	1.0199389416707639E-5	0.8818132940555776	1.1023969703218912	0.849868754433808	1.0751530978787656	1.1148190673310858	0.9759488159788716	0.07783734066821361	1.0	1.0	-5888011.536308683	0.0	403.98485672740975
80000	-5887619.918021041	396.9536567848362	-5888016.871677826	1.0993879270991863E-5	1.0993879270991863E-5	6.5567505201002E-5	1.2550596812754773E-5	0.8363602021071269	1.1490258242666198	0.8527113486955405	1.0696019068182536	1.1536424196576107	0.9386582984548478	0.0655723950302603	1.0	1.0	-5888016.871677826	0.0	404.657305814877
90000	-5887615.489715718	404.77366107414997	-5888020.263376792	1.1948118250120855E-5	1.1948118250120855E-5	6.29374477702818E-5	9.028000758906881E-6	0.8166907364871642	1.1201416341671795	0.8723596433971239	1.0769420056178847	1.197826449366194	0.9160395309644529	0.08372672388283309	1.0	1.0	-5888020.263376792	0.0	412.51361840963636
