# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:51:45 AEST 2021 [seed=1620769904272]
# -overwrite 1.PREUCLN_ultra_epop_prior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-1.21408272482435E7	-383.12898428532435	-1.2140444119259214E7	1.7564362260519202	8.55143176356219	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.3333333333333333	0.922250467227987	0.34630985411446313	-0.12328155996559127	-1.2140444119259214E7	-339.82328848178815	-34.73180510728368
10000	-5888996.831862706	-128.33226033606536	-5888868.49960237	7.233043578416509E-4	0.005383989470060511	7.08843431723452E-4	0.9906562448692917	1.0443052524810494	0.9609937914411277	0.9920288198030675	1.0145275655181045	0.9974883258873588	0.04252543422621636	1.0	9.497229612108693	0.016336188163591687	3.053126326916594	0.0010951138165855453	-5888868.49960237	-339.82328848178815	246.541729431097
20000	-5888333.9568291735	-73.62050427537076	-5888260.3363248985	2.7834416716302445E-4	0.0018097693931300302	2.462353077234067E-4	1.022886174260148	1.0521136535879623	0.9696996683461431	0.9982100705408369	1.0054737107870115	0.9516167224778985	0.02997152338879191	1.0	5.690905493674524	0.045054180205041976	2.295173797183025	0.1053477364609896	-5888260.3363248985	-339.82328848178815	289.80935905400185
30000	-5888096.064223007	-57.51914041108381	-5888038.545082596	2.3756263137416869E-4	0.001284310067370392	1.1159708851827177E-4	1.0060649609024088	1.0261332967862835	0.9928530783815642	0.9633158492252867	1.0213777072585295	0.9902551074459282	0.06885803875798711	1.0	5.510921727208271	0.05586841980159827	2.1272850854326553	0.3270144606234323	-5888038.545082596	-339.82328848178815	305.44853118580653
40000	-5887983.549391748	-5.338223478336033	-5887978.21116827	7.884690262256383E-5	4.3945793591221137E-4	4.364757663794526E-5	1.0184467658669272	1.0297187219281572	0.9763237918006703	1.0114047615188673	1.036265186357032	0.9278407725283465	0.01908427581400821	1.0	2.454338829636181	0.17381537191987506	2.5026098929607046	-8.057589359666457E-4	-5887978.21116827	-339.82328848178815	348.3601451049989
50000	-5887981.079116009	-0.26687479242229983	-5887980.812241217	8.440714745245275E-5	4.248655774025344E-4	4.6323315404106495E-5	1.0117703102398072	1.079638784770429	1.0249061173627747	0.9677633974208801	0.9927477600927854	0.9231736301133247	0.0059793045346299145	1.0	2.684442310544735	0.17254535318518263	2.383923052295694	-0.05603028704778054	-5887980.812241217	-339.82328848178815	354.0955945586534
60000	-5887964.339578533	12.99239561978078	-5887977.3319741525	3.16927047161007E-5	1.9622578567640448E-4	3.7189875118107434E-5	1.0307251926878909	1.0974543852717524	1.0009314528029305	0.9597416144950671	0.9781730692183962	0.9329742855239626	0.010592220038036119	1.0	2.112477398247639	0.39263161471746627	1.6909531605518209	0.11341142362954214	-5887977.3319741525	-339.82328848178815	365.64819515162793
70000	-5887966.136890034	16.024310300998593	-5887982.161200335	2.444163783981311E-5	1.6709982277087919E-4	2.5727351599764277E-5	1.0291817258043383	1.1063847789877304	1.0372106498397848	0.9097217431165142	0.9984564412751378	0.9190446609764935	0.09831298628934824	1.0	2.4162494000373416	0.36872941543388355	1.713963718238717	-0.06388641834075799	-5887982.161200335	-339.82328848178815	369.76686622446516
80000	-5887945.7300923625	34.13628954015161	-5887979.866381902	2.309447173257459E-5	1.3965888847484504E-4	2.329684033189129E-5	1.0535460531616656	1.1124689510763623	1.0446964505960858	0.9136720456594858	0.9795096891010505	0.8961068104053485	0.05481048651471334	1.0	1.686546104030779	0.47202268721256707	1.3471714319706416	0.3991811093222044	-5887979.866381902	-339.82328848178815	385.6027303329981
90000	-5887915.049350717	35.227853837499595	-5887950.2772045545	3.801216412760985E-5	1.6961330363534765E-4	1.9257294885039336E-5	1.0684614809928168	1.074712088249622	1.0548543457982618	0.9128497256655608	1.0235535350676543	0.865568824226083	0.07290734078856029	1.0	1.5168321009015624	0.4235805445503307	1.2146341691850877	-0.08378656906416761	-5887950.2772045545	-339.82328848178815	386.2213459255516
