# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:54:48 AEST 2021 [seed=1620770086728]
# -overwrite 2.MEDSC_ultra_epop_prior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1.3215432503900895E7	-128.474567107856	-1.3215304029333787E7	3.330004965806495	3.330004965806495	13.561051549576492	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-1.3215304029333787E7	0.0	-119.80206412293535
10000	-6904205.690694049	276.5884708128566	-6904482.279164862	0.07099337901421034	0.07099337901421034	0.4608224768361002	0.03129464886748785	0.9513599926477018	0.9980362112752725	0.9257238003651488	1.039052895886356	1.057054630914666	1.0287724689108553	0.007411902117155853	1.0	1.0	-6904482.279164862	0.0	284.17892706689827
20000	-5972743.677828499	709.1685603162351	-5973452.846388815	0.0026469463073787412	0.0026469463073787412	0.0125545740342629	7.422044683561334E-4	0.9412017992159573	1.0017393280319151	0.8244451668147322	1.0798408034389817	1.1125499264693468	1.0402229760290678	0.014552645755386007	1.0	1.0	-5973452.846388815	0.0	716.7702428131133
30000	-5924046.523714132	863.9318772115244	-5924910.455591343	8.6718274071436E-5	8.6718274071436E-5	0.0011972983234012499	1.9697214911700524E-4	0.9167058370375767	1.091312974640351	0.7914020619306942	1.0453934383586998	1.169567414323631	0.9856182737090481	0.03191103428542865	1.0	1.0	-5924910.455591343	0.0	871.5682219622307
40000	-5922541.326612012	895.8283185451237	-5923437.154930557	7.4463620238618E-5	7.4463620238618E-5	9.232038012738042E-4	1.2980431379629957E-4	0.9228225630640642	1.1678791194896783	0.7971622222427232	0.9656455584406937	1.2011278395908722	0.9453626971719687	0.03866201310560529	1.0	1.0	-5923437.154930557	0.0	903.4781585366869
50000	-5921239.800400715	908.4192221125032	-5922148.219622828	6.742017260413329E-5	6.742017260413329E-5	8.840508741458497E-4	1.5574623052458638E-4	0.8978995861117514	1.1809742482775751	0.8191071282323276	0.9277616398173786	1.2128515228771144	0.9614058746838523	0.013923982457650357	1.0	1.0	-5922148.219622828	0.0	916.0195886369622
60000	-5920818.804026064	919.7293871993035	-5921738.533413264	5.867844893078995E-5	5.867844893078995E-5	8.079023754063533E-4	1.0526090186293529E-4	0.8654397387067193	1.2148656448414277	0.8454473247525658	0.9065692659520314	1.247883600259277	0.9197944254879791	0.02252208485846289	1.0	1.0	-5921738.533413264	0.0	927.3469448800312
70000	-5919964.449260139	935.4758473111418	-5920899.92510745	5.3364288120611455E-5	5.3364288120611455E-5	7.267774314477754E-4	8.444975822614377E-5	0.8771073422450675	1.2726094279586102	0.8968385547918788	0.7935010188694556	1.240580057429571	0.919363598705417	0.04711786652890423	1.0	1.0	-5920899.92510745	0.0	943.1425944740961
80000	-5919888.722689231	941.8486716757856	-5920830.571360907	5.100143852007969E-5	5.100143852007969E-5	7.1689883695538E-4	9.698753819834465E-5	0.8599057922407546	1.3008844466745	0.903369964635385	0.7407654054197512	1.2876143295677602	0.9074600614618489	0.017110476794787492	1.0	1.0	-5920830.571360907	0.0	949.4554053130496
90000	-5919881.8574104225	940.0431327736806	-5920821.900543196	4.8973741127750174E-5	4.8973741127750174E-5	7.001419191496397E-4	9.268634733288736E-5	0.8698383206273034	1.3497884162462876	0.8788187463585662	0.6847347734623599	1.3127984719279275	0.9040212713775553	0.043821926305868494	1.0	1.0	-5920821.900543196	0.0	947.7032888798476
100000	-5919794.261571369	941.4029497872973	-5920735.664521157	5.297110702069908E-5	5.297110702069908E-5	7.126683362604454E-4	8.81418054406175E-5	0.8857005284708409	1.378418042714088	0.9189838071687686	0.5822208015279549	1.3501948286212206	0.8844819914971265	0.042841414311122726	1.0	1.0	-5920735.664521157	0.0	949.0611444150207
110000	-5919820.080417862	942.6222909734736	-5920762.702708836	5.4089036393415506E-5	5.4089036393415506E-5	7.196579797113806E-4	1.0186905032801953E-4	0.8648129392591754	1.4416096575370974	0.879820717245619	0.5503653495675395	1.351892487376991	0.9114988490135777	0.024012341668680118	1.0	1.0	-5920762.702708836	0.0	950.2428288286366
120000	-5919803.0608915845	939.146876296366	-5920742.2077678805	5.113708126069883E-5	5.113708126069883E-5	7.213747458883928E-4	1.1010216115078373E-4	0.8132987232718174	1.4355782459450748	0.8607077887001214	0.5561743046814602	1.410968665116658	0.9232722722848683	0.026351851652198274	1.0	1.0	-5920742.2077678805	0.0	946.7720939948072
130000	-5919797.569836427	940.7966629543706	-5920738.366499382	4.9648194190159534E-5	4.9648194190159534E-5	7.18489300307637E-4	9.789710433649496E-5	0.8190130898247614	1.435587694491707	0.886627916007977	0.5229231908075003	1.4425942859998457	0.8932538228682083	0.047799418739450796	1.0	1.0	-5920738.366499382	0.0	948.4647745664806
140000	-5919788.917495744	944.529677838228	-5920733.447173582	5.155268476178818E-5	5.155268476178818E-5	7.046769378932834E-4	8.720102022126747E-5	0.8038022241057692	1.4740258321655049	0.8671579898952139	0.5272707055336363	1.4560629279075588	0.8716803203923169	0.016845892380963214	1.0	1.0	-5920733.447173582	0.0	952.1358813280126
150000	-5919782.309924011	941.6279979093493	-5920723.937921921	4.870678422262586E-5	4.870678422262586E-5	7.056020720751521E-4	8.95437943186263E-5	0.8105621640501632	1.4634830799167275	0.8334612815234014	0.532736815864749	1.4649172365076104	0.8948394221373487	0.015815170619473056	1.0	1.0	-5920723.937921921	0.0	949.2321401898884
