#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-4045.6	54509.0	21303.3	139472.9
-3726.4	69991.1	35185.4	139227.2
-3407.2	95122.7	50116.3	180546.4
-3088.0	102674.5	50229.6	209877.3
-2768.8	93405.9	48516.2	179829.9
-2449.6	89551.2	46772.8	171454.6
-2130.5	101475.3	50596.3	203517.6
-1811.3	115372.7	59325.2	224371.1
-1492.1	174342.8	90096.9	337363.6
-1172.9	214030.1	105379.0	434706.2
-853.7	219994.5	108472.4	446174.2
-534.5	225511.2	111192.5	457362.7
-215.3	230897.3	118520.5	449825.8
103.9	191617.2	100815.6	364201.1
423.1	156827.9	87228.5	281960.4
742.2	214991.2	121055.2	381819.6
1061.4	226036.6	128755.9	396817.1
1380.6	178568.2	116035.6	274800.2
1699.8	395262.4	320997.0	486709.6
2019.0	258912.1	226938.9	295390.0
