node	lower_bad	upper_bad	lower_corrected	upper_corrected
NODE250	-8729571.855997141	-604689.9204429629	1955.9659350401662	1955.9659350401662
NODE262	-218669.05985255222	2007.0027397260274	2003.1655718027214	2003.1655718027214
NODE263	-3663947.2456147745	-95345.98321803937	1899.497345257129	1899.497345257129
NODE264	-5314232.300454534	-1046410.4712904645	1939.8217343715557	1939.8217343715557
NODE309	-4733260.569713856	-706454.3426632306	1955.6889956063185	1955.6889956063185
NODE310	-706550.6886230753	1961.0027397260274	1960.9685539259242	1960.9685539259242
NODE332	-3431566.853146112	-133321.4921207183	1891.336641041021	1891.336641041021
NODE336	-4484697.768003846	-519918.8930295093	1950.0843230528355	1950.0843230528355
NODE337	-4745091.344161112	-708134.5242129262	1966.971696588834	1966.971696588834
NODE349	-1484276.6728074504	1907.6207830302646	1878.175605642393	1878.175605642393
NODE351	-1356714.106095484	1927.9775537209384	1884.139637985362	1884.139637985362
NODE356	-7661771.50741469	-3501586.0668610693	1940.20582400643	1940.20582400643
NODE372	-2011367.4565605859	1956.5864099062826	1939.3127384166096	1939.3127384166096
NODE403	-6437700.515932128	-6429611.06870637	1965.6783842535415	1965.6783842535415
NODE422	-4002067.3785121744	-137886.3692930085	1461.9698493566823	1461.9698493566823
NODE455	-4824401.347044157	738.6757716025111	1953.9648874858628	1953.9648874858628
NODE460	-6104960.576819623	-1185150.5639739188	1787.1880507974322	1787.1880507974322
NODE466	-13863.03941133575	1991.8555711397587	1977.8163310024963	1977.8163310024963
NODE485	-5441628.242788617	1905.1642922091871	1797.9399260265925	1797.9399260265925
NODE486	-2231776.2517952714	-499584.7887955396	1803.8792060655423	1803.8792060655423
NODE_0000355	-27793.28874442261	1937.7173711390124	1937.6735531658667	1937.6735531658667
NODE565	-563469.2026162981	-65676.71015589494	1981.610183136511	1981.610183136511
NODE605	-1151317.5344127573	-1117460.3709195447	2004.2536051980876	2004.2536051980876
NODE610	-1156452.3041595058	-1152656.6619615103	2004.2536051980876	2004.2536051980876
NODE597	-1095342.540398681	2010.0026246782852	1988.6065667834196	1988.6065667834196
