#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-4078.3	57441.7	22373.9	147473.3
-3757.3	74360.7	37523.4	147362.1
-3436.4	101372.5	52883.2	194322.3
-3115.5	103772.0	50937.1	211410.0
-2794.6	99826.7	51782.7	192446.2
-2473.7	96253.4	50605.6	183077.0
-2152.8	104862.0	52473.0	209556.0
-1831.9	116058.2	59808.1	225211.9
-1511.0	166467.5	84971.6	326125.8
-1190.1	217031.8	108381.3	434602.5
-869.2	223035.9	109972.0	452342.5
-548.3	227973.3	112406.5	462356.0
-227.4	231454.0	117054.8	457657.1
93.6	193224.5	101814.7	366702.4
414.5	151355.4	83464.4	274469.9
735.4	196183.5	111917.9	343894.8
1056.3	220295.9	126942.7	382300.9
1377.2	164080.2	106632.7	252477.0
1698.1	403441.6	329207.0	494415.7
2019.0	244225.1	213600.3	279240.6
