population	coefficient	raw_p_value	n	corrected_p_value	reject
all	-0.04087208359641085	0.139	601	0.41700000000000004	False
0.PRE	-0.07181949712728528	0.515	8	0.552	False
0.PE	0.6783083201227015	0.001	86	0.013000000000000001	True
0.ANT	0.584822832743224	0.001	103	0.013000000000000001	True
0.ANT4	0.8086600250462972	0.041	12	0.20500000000000002	False
3.ANT	0.5283113507716912	0.005	11	0.04	True
4.ANT	0.4631979073617495	0.001	11	0.013000000000000001	True
2.ANT	0.45993107677087025	0.003	54	0.027	True
2.MED	0.05585645379224016	0.276	116	0.552	False
1.PRE	0.23128840417446647	0.011	40	0.066	False
1.ANT	0.46273739926426677	0.047	4	0.20500000000000002	False
1.IN	0.28087849205219173	0.008	39	0.056	False
1.ORI	0.5930886432561994	0.001	117	0.013000000000000001	True
