clade	mean_rtt_dist	coefficient	raw_p_value	n	corrected_p_value	reject	rate	rate_bootstrap_peak	rate_bootstrap_ci_low	rate_bootstrap_ci_high	mrca	mrca_bootstrap_peak	mrca_bootstrap_ci_low
All	6.91e-05	0.09	3.815e-14	601	4.959e-13	True	7.54e-09	7.86e-09	5.68e-09	8.95e-09	-7310	-6761	-10276	-5858
0.PRE	3.85e-05	0.91	1.525e-04	8	1.678e-03	True	7.17e-08	7.13e-08	5.98e-08	8.48e-08	-2895	-2887	-3026	-2799
0.PE	7.75e-05	0.01	2.246e-01	83	1.000e+00	False	1.75e-07	1.32e-07	-5.45e-08	4.10e-07	1542	1533	-242	3672
0.ANT	1.31e-05	-0.01	7.347e-01	103	1.000e+00	False	-1.21e-08	-9.70e-09	-7.52e-08	5.16e-08	3073	2506	-540	5412
0.ANT4	1.66e-05	0.66	7.842e-04	12	7.842e-03	True	2.54e-08	2.46e-08	1.70e-08	3.34e-08	-113	-89	-449	45
1.PRE	1.14e-05	0.76	1.685e-13	40	2.022e-12	True	6.45e-08	6.43e-08	5.46e-08	7.37e-08	1352	1348	1312	1378
1.ANT	1.35e-05	0.45	2.030e-01	4	1.000e+00	False	5.95e-08	6.20e-08	2.37e-08	9.97e-08	1750	1773	1405	1841
1.IN	4.45e-06	-0.0	3.249e-01	39	1.000e+00	False	4.34e-08	4.40e-08	-2.18e-08	1.13e-07	1878	1318	1380	2303
1.ORI	5.96e-06	0.04	1.316e-02	117	1.184e-01	False	2.57e-08	2.66e-08	6.65e-09	4.00e-08	1766	1831	1299	1855
2.ANT	6.77e-06	0.05	5.955e-02	54	4.764e-01	False	-1.20e-07	-1.07e-07	-2.24e-07	-3.18e-08	2047	2038	2020	2213
2.MED	1.42e-05	0.01	1.858e-01	116	1.000e+00	False	-6.96e-08	-7.22e-08	-1.57e-07	1.33e-08	2181	2156	1472	2900
3.ANT	6.27e-06	-0.04	4.387e-01	11	1.000e+00	False	3.53e-08	2.96e-08	-3.13e-08	9.71e-08	1817	1893	1241	2758
4.ANT	5.73e-06	-0.11	8.797e-01	11	1.000e+00	False	-6.84e-09	-2.18e-09	-7.19e-08	5.08e-08	2839	1838	626	3052
