population	coefficient	raw_p_value	n	corrected_p_value	reject
0.PRE	-0.07181949712728528	0.538	8	0.556	False
0.PE	0.6783083201227015	0.001	86	0.012	True
0.ANT	0.584822832743224	0.001	103	0.012	True
0.ANT4	0.8086600250462972	0.042	12	0.168	False
3.ANT	0.5283113507716912	0.003	11	0.021	True
4.ANT	0.4631979073617495	0.002	11	0.018000000000000002	True
2.ANT	0.45993107677087025	0.002	54	0.018000000000000002	True
2.MED	0.05585645379224016	0.278	116	0.556	False
1.PRE	0.23128840417446647	0.01	40	0.06	False
1.ANT	0.46273739926426677	0.044	4	0.168	False
1.IN	0.28087849205219173	0.016	39	0.08	False
1.ORI	0.5930886432561994	0.001	117	0.012	True
