#name, A, B, C, D, E, F, G, H, I, J, K
NODE_0000000, 0.00039391764736106826, 0.4986877341099325, 0.4988619049963358, 0.0002535977493715462, 0.000250415448267158, 0.00027534426671664916, 0.0002487918615823746, 0.0002539041354475979, 0.00027000954875885117, 0.00025219011813427765, 0.0002521901180920823
NODE_0000001, 6.157547636775069e-07, 0.0005841687548646389, 0.9994119763422599, 4.0111271257894105e-07, 3.947950414806193e-07, 4.310288503848161e-07, 3.922806545030435e-07, 3.998069294416711e-07, 4.227764155596452e-07, 3.986737538877896e-07, 3.9867375382073026e-07
SAMEA3541827, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 1.326864181499441e-09, 6.85850615837397e-07, 0.9999993045578982, 1.0247895795055535e-09, 1.007547212356746e-09, 1.097852123530585e-09, 1.0010780266718774e-09, 1.0199451262001957e-09, 1.0768037754972512e-09, 1.0183029861928979e-09, 1.0183029860207914e-09
SAMEA104233046, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 4.866833324530027e-10, 2.3522204321955727e-09, 0.9999999933337529, 4.740095388897574e-10, 4.664462488297891e-10, 5.094698344807431e-10, 4.633839471219802e-10, 4.723545733071877e-10, 4.996079754181448e-10, 4.710355303605499e-10, 4.710355302807722e-10
SAMEA104233047, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 4.859867273632966e-10, 1.5533818927004157e-09, 0.9999999941359803, 4.736749516194154e-10, 4.661178443499859e-10, 5.091137827087706e-10, 4.630574991258278e-10, 4.720223522297433e-10, 4.992585694588281e-10, 4.70703045477782e-10, 4.707030453980603e-10
NODE_0000005, 4.852211716549201e-10, 1.5488003088714953e-09, 0.99999999414738, 4.729222643611426e-10, 4.653795347501219e-10, 5.083129899708629e-10, 4.6232398795578695e-10, 4.712756043326912e-10, 4.984731107025542e-10, 4.699555052746304e-10, 4.699555051950355e-10
SAMEA6812876, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA6812877, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 4.856031299551406e-10, 1.5506205293166999e-09, 0.9999999941421562, 4.732980164722174e-10, 4.657481100641617e-10, 5.087127599254576e-10, 4.62690167684055e-10, 4.716483924612057e-10, 4.988652254906718e-10, 4.703286879353285e-10, 4.703286878556694e-10
SAMEA104233049, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 4.852208689775381e-10, 1.5487970732838223e-09, 0.9999999941473858, 4.729219645112965e-10, 4.6537924155766074e-10, 5.083126741543514e-10, 4.6232369664929245e-10, 4.71275308147438e-10, 4.984728008678117e-10, 4.69955207642297e-10, 4.699552075627019e-10
SAMEA104233048, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA3541826, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 8.851584456948659e-07, 0.999432968132357, 0.0005630496200728751, 3.8350050027407035e-07, 3.775317740544528e-07, 4.119852229412276e-07, 3.751652697266334e-07, 3.8231667860082246e-07, 4.041698926269805e-07, 3.812098930210612e-07, 3.8120989295742356e-07
NODE_0000009, 2.964675559724237e-09, 0.9999993539570718, 6.35547201109196e-07, 9.336730420764384e-10, 9.183544705408124e-10, 9.99620765454168e-10, 9.127479742659702e-10, 9.296495668050336e-10, 9.80882593299436e-10, 9.280615770219703e-10, 9.280615768676429e-10
GCA_000323485.1_ASM32348v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_000323845.1_ASM32384v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000010, 5.763363593620865e-09, 0.9999993482523798, 6.384219476215253e-07, 9.373173421419403e-10, 9.219294562391677e-10, 1.0034857658349984e-09, 9.168497264045088e-10, 9.334891162191386e-10, 9.849101504675396e-10, 9.321637196662203e-10, 9.321637195112784e-10
NODE_0000011, 1.4884703568820478e-09, 0.999999992827477, 2.212791355863382e-09, 4.298101657281699e-10, 4.231932307217409e-10, 4.6157704757606267e-10, 4.206037574208126e-10, 4.2855386275251847e-10, 4.5291109619766536e-10, 4.27306080580613e-10, 4.27306080509771e-10
NODE_0000012, 1.4814636683847632e-09, 0.9999999935619359, 1.4930293124740248e-09, 4.288545453328098e-10, 4.2225519733794835e-10, 4.605609980842582e-10, 4.196705206282168e-10, 4.27604731586526e-10, 4.5191349906715236e-10, 4.26355772006638e-10, 4.2635577193595407e-10
GCA_001294825.1_ASM129482v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
