#name, A, B, C, D, E, F, G, H, I, J, K
NODE_0000000, 0.0011110859251115682, 0.6252805006606936, 0.3494416174044305, 0.006747941553899567, 0.0020487165879752556, 0.0009012635639241207, 0.0028930056765494863, 0.001982132633407257, 0.0005633208341164328, 0.004234509010656749, 0.004795906149235378
NODE_0000001, 5.301207025791105e-05, 0.0037572460075790213, 0.9931766700097718, 0.0011779725520310118, 0.0001513338556522088, 3.804605311409931e-05, 0.0002823733892413307, 0.00014565018747228467, 1.679354704518164e-05, 0.0005368973925908642, 0.00066400493524432
SAMEA3541827, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 3.797072131044284e-07, 3.7936159691063198e-06, 0.9999482499113458, 2.280071192592025e-05, 1.5449785116298422e-06, 2.482263204253088e-07, 3.3017505545963157e-06, 1.4000008628296869e-06, 9.19206691834399e-08, 7.818737884715108e-06, 1.03704387426829e-05
SAMEA104233046, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 3.089333490236227e-11, 1.398555068244709e-12, 0.9999999852090775, 9.114998378691643e-09, 2.0971624530470707e-10, 1.749094849671681e-11, 5.483703408328052e-10, 1.7856481751214087e-10, 4.726944853185213e-12, 1.882076490049404e-09, 2.8026863027809204e-09
SAMEA104233047, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 3.081893878913486e-11, 1.3861913658140195e-12, 0.9999999852185567, 9.110291190512919e-09, 2.0940114512566965e-10, 1.7442884866372395e-11, 5.477757774106496e-10, 1.7829868696298692e-10, 4.708048792528976e-12, 1.8806010705158475e-09, 2.8007193734393985e-09
NODE_0000005, 2.7430329431618356e-10, 1.2636185616039605e-11, 0.999999966287834, 1.671774021919718e-08, 1.1521423875333292e-09, 1.7735301202196296e-10, 2.1185759112199497e-09, 9.70377558634304e-10, 7.016161120569611e-11, 5.251119638293591e-09, 6.9677559892145664e-09
SAMEA6812876, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA6812877, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 2.440974711606887e-08, 1.1402864604145574e-09, 0.9999971719054123, 1.3697346482280233e-06, 1.015084426951601e-07, 1.5835338134334652e-08, 1.8570517246665157e-07, 8.530644952168218e-08, 6.292396538699246e-09, 4.481669371301042e-07, 5.899951695207494e-07
SAMEA104233049, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 6.068720763785188e-08, 2.8595323766058565e-09, 0.9999932006163466, 3.252072622154345e-06, 2.5069115784403116e-07, 3.9444078027780666e-08, 4.56346647798781e-07, 2.1049689939139337e-07, 1.5721354137128985e-08, 1.0867188976415836e-06, 1.4243452562901095e-06
SAMEA104233048, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA3541826, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 0.00016417267296640908, 0.9514982079048021, 0.04361556206572422, 0.0013964246426124605, 0.00033444769768360043, 0.00012920206514563154, 0.000573911284644809, 0.00034890048388425734, 6.494655180524117e-05, 0.0008710711608215618, 0.0010031534699094535
NODE_0000009, 3.960888287916025e-08, 0.999998438790665, 5.815036724042504e-07, 2.4439804501102524e-07, 6.983899815896843e-08, 3.239662415349819e-08, 1.268553997887826e-07, 7.83799324491886e-08, 1.6539339757799342e-08, 1.7456681291125833e-07, 1.9712162728163401e-07
GCA_000323485.1_ASM32348v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_000323845.1_ASM32384v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000010, 4.508060977561107e-06, 0.9994231644028277, 0.00042849008838471227, 4.278451687252792e-05, 9.221156016509128e-06, 3.540750412904011e-06, 1.7838403764165915e-05, 1.0149186386630506e-05, 1.6687234002104595e-06, 2.7113235855320117e-05, 3.152147510164595e-05
NODE_0000011, 2.0000552999550394e-07, 0.9999937768136979, 1.8760003107398564e-06, 1.010409374360522e-06, 3.1062020853649264e-07, 1.6969835413835863e-07, 5.778851910053719e-07, 3.675119643328047e-07, 9.07770931538201e-08, 7.646651417478957e-07, 8.556131340229786e-07
NODE_0000012, 2.723856558041798e-14, 0.9999999999993602, 6.991015071716374e-14, 1.3457999858926663e-13, 3.8327861933494866e-14, 2.3596674245882227e-14, 7.471609764107513e-14, 4.81875006897119e-14, 1.2815464886767895e-14, 9.885025295039489e-14, 1.1168750467330955e-13
GCA_001294825.1_ASM129482v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000013, 7.68703962678787e-16, 0.9999999999999892, 1.1430480410931897e-15, 1.6106796317257127e-15, 8.532366388473049e-16, 7.426097151874117e-16, 1.222377710949008e-15, 9.911341794481987e-16, 5.651508224736102e-16, 1.3853493338167061e-15, 1.4737697506130865e-15
NODE_0000014, 1.6783738988187546e-17, 0.9999999999999991, 6.829452088498507e-17, 2.2550604145597416e-16, 2.4507737043708854e-17, 1.486622130429511e-17, 8.707561738296949e-17, 4.097319689622347e-17, 6.016640621211541e-18, 1.3525650923972992e-16, 1.6820137669604192e-16
NODE_0000015, 1.0095888854803631e-12, 0.9999999999897586, 1.025569617793269e-12, 1.0532268962189055e-12, 1.0137474924381886e-12, 1.0082002751580368e-12, 1.028177859759909e-12, 1.0177443487984692e-12, 1.0038979909722139e-12, 1.0379600725033456e-12, 1.0432760461314363e-12
GCA_002127355.1_ASM212735v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_002127365.1_ASM212736v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000016, 7.445336008180051e-13, 0.9999999999918291, 8.630254606870843e-13, 9.210564378829752e-13, 7.835203166802731e-13, 7.309759390358873e-13, 8.775496041172474e-13, 8.272312408924046e-13, 6.133027652387664e-13, 9.000687837107376e-13, 9.097115167881203e-13
