Hyperprior: epop,,,,,,,,,,,,,
dataset,sc_ultra,sc_dates,ucln_ultra,ucln_dates,BETS,rate_sc,rate_ucln,max_date,tmrca_sc,tmrca_ucln,tmrca_calendar_sc,tmrca_calendar_ucln,tmrca_lsd
0.ANT4,-5889525.703,-5889520.418,-5889501.725,-5889495.858,ULCN_dates,2.13E-08,3.52E-08,765,-782.120231,-596.4098869,-17.120231,168.5901131,-25
0.ANT,-5896014.089,-5896016.472,-5895879.702,-5895886.249,ULCN_ultra,3.12E-08,5.99E-08,2019,-920.1626778,-381.7423046,1098.837322,1637.257695,-57
0.PE,-5945602.843,-5945684.936,-5944626.698,-5944614.32,ULCN_dates,2.00E-07,5.93E-07,2014,-378.0392319,-280.7713164,1635.960768,1733.228684,-3086
0.PRE,-5892925.901,-5892842.871,-5892738.563,-5892741.484,ULCN_ultra,4.42E-08,5.39E-08,-1686,-1333.028494,-1190.215417,-3019.028494,-2876.215417,-3256
1.ANT,-5882596.155,-5882587.295,-5882594.555,-5882581.985,ULCN_dates,6.40E-08,6.53E-08,2004,-247.82133,-244.9324253,1756.17867,1759.067575,1675
1.IN,-5891399.168,-5891403.033,-5891344.183,-5891354.348,ULCN_ultra,5.91E-08,8.64E-08,2008,-266.3929961,-186.4519434,1741.607004,1821.548057,1417
1.ORI,-5899691.114,-5899661.493,-5899601.413,-5899565.743,ULCN_dates,7.25E-08,1.25E-07,2016,-218.7398214,-148.2112592,1797.260179,1867.788741,1557
1.PRE,-5888139.985,-5888129.886,-5888082.134,-5888038.053,ULCN_dates,4.24E-08,4.81E-08,1767.5,-471.3434457,-488.8585102,1296.156554,1278.64149,1317
2.ANT,-5892876.227,-5892897.069,-5892791.269,-5892804.938,ULCN_ultra,3.96E-08,8.25E-08,2008,-740.6793347,-264.8458904,1267.320665,1743.15411,1128
2.MED,-5920837.35,-5920732.774,-5919662.038,0,ULCN_dates,7.61E-08,2.44E-07,2018,-724.1191368,-281.2399358,1293.880863,1736.760064,777
3.ANT,-5887496.544,-5887506.111,-5887494.668,-5887506.04,ULCN_ultra,3.73E-08,7.01E-08,2017,-177.7665816,-130.4134109,1839.233418,1886.586589,1452
4.ANT,-5886031.423,-5886034.287,-5886025.578,-5886021.928,ULCN_dates,3.75E-08,9.14E-08,2015,-164.8936326,-88.93468002,1850.106367,1926.06532,1467
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hyperprior: none,,,,,,,,,,,,,
dataset,sc_ultra,sc_dates,ucln_ultra,ucln_dates,BETS,rate_sc,rate_ucln,max_date,tmrca_sc,tmrca_ucln,tmrca_calendar_sc,tmrca_calendar_ucln,
0.ANT4,-5889525.703,-5889520.445,-5889501.725,-5889495.805,ULCN_dates,2.10E-08,3.51E-08,765,-789.7177672,-593.8812443,-24.71776718,171.1187557,
0.ANT,-5896014.089,-5896020.886,-5895879.702,0,--,3.12E-08,5.89E-08,2019,-918.2946637,-385.7838949,1100.705336,1633.216105,
0.PE,-5945602.843,0,-5944626.698,0,--,2.03E-07,6.16E-07,2014,-373.2032986,-254.7745835,1640.796701,1759.225416,
0.PRE,-5892925.901,-5892842.899,-5892738.563,-5892741.377,ULCN_ultra,4.42E-08,5.32E-08,-1686,-1330.814719,-1201.954935,-3016.814719,-2887.954935,
1.ANT,-5882596.155,-5882586.874,-5882594.555,-5882581.864,ULCN_dates,6.42E-08,6.38E-08,2004,-249.6305523,-247.6881872,1754.369448,1756.311813,
1.IN,-5891399.168,-5891402.697,-5891344.183,-5891354.514,ULCN_ultra,5.92E-08,8.62E-08,2008,-263.7947409,-183.623559,1744.205259,1824.376441,
1.ORI,-5899691.114,0,-5899601.413,0,--,7.23E-08,1.26E-07,2016,-219.5890302,-149.0783825,1796.41097,1866.921617,
1.PRE,-5888139.985,0,-5888082.134,0,--,4.25E-08,4.78E-08,1767.5,-471.722923,-488.9472684,1295.777077,1278.552732,
2.ANT,-5892876.227,-5892894.924,-5892791.269,-5892804.654,ULCN_ultra,3.94E-08,8.04E-08,2008,-743.6036867,-278.7095774,1264.396313,1729.290423,
2.MED,-5920837.35,0,-5919662.038,0,--,8.04E-08,2.41E-07,2018,-576.943937,-319.8963217,1441.056063,1698.103678,
3.ANT,-5887496.544,-5887506.036,-5887494.668,-5887505.84,ULCN_ultra,3.81E-08,7.04E-08,2017,-176.0213765,-129.1051716,1840.978624,1887.894828,
4.ANT,-5886031.423,-5886034.116,-5886025.578,-5886021.969,ULCN_dates,3.75E-08,9.43E-08,2015,-165.7219577,-88.2332026,1849.278042,1926.766797,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Did not complete,,,,,,,,,,,,,
No temporal signal,,,,,,,,,,,,,
,,,,,,,,,,,,,
What makes sense/is congruent:,,beast,ML,,,,,,,,,,
,-1.PRE,tmrca 1296,tmrca of 1317,,,,,,,,,,
,,rate of 4.24E-08,rate of 6.54E+08,,,,,,,,,,
,-0.ANT4,tmrca of -17/168,tmrca of -25,,,,,,,,,,
,,rate of 2-3E=08,2E=08,,,,,,,,,,
,,,,,,,,,,,,,
I'm surprised that the UCLN is favored in all clades.,,,,,,,,,,,,,
"I am surprised that 0.PRE did not have temporal signal, considering that it has the strongest regression (R2=0.92)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
