dataset,sc_ultra,sc_dates,ucln_ultra,ucln_dates,BETS,rate_sc,rate_ucln,tmrca_sc,tmrca_ucln
0.ANT4,-5889525.7033964,-5889520.41812611,-5889501.72535606,-5889495.85830521,ULCN_dates,2.12735219324649e-08,3.51903513731341e-08,-782.120231000185,-596.40988692062
0.ANT,-5896014.0886133,-5896016.47177681,-5895879.70168215,-5895886.24940499,ULCN_ultra,3.11627861331896e-08,5.98795889128524e-08,-920.162677847104,-381.742304639126
0.PE,-5945602.84299955,-5945684.93642896,-5944626.69836444,-5944614.32013274,ULCN_dates,1.9953631325452e-07,5.93055343549592e-07,-378.039231925398,-280.77131638433
0.PRE,-5892925.90080635,-5892842.87145501,-5892738.56325266,-5892741.48353739,ULCN_ultra,4.41598676306888e-08,5.39210902956482e-08,-1333.02849427642,-1190.21541688592
1.ANT,-5882596.15497906,-5882587.29499355,-5882594.55458157,-5882581.9853634,ULCN_dates,6.40094324953297e-08,6.53257755237087e-08,-247.821330025189,-244.932425317285
1.IN,-5891399.16817174,-5891403.03316009,-5891344.18262199,-5891354.34808507,ULCN_ultra,5.91278075266483e-08,8.6410971765887e-08,-266.392996146463,-186.451943361348
1.ORI,-5899691.11445682,-5899661.49313954,-5899601.41331826,-5899565.7433045,ULCN_dates,7.24930729578346e-08,1.24809448858983e-07,-218.739821446656,-148.211259162572
1.PRE,-5888139.98466462,-5888129.88591078,-5888082.13412923,-5888038.05259283,ULCN_dates,4.24392190805381e-08,4.8111760109505e-08,-471.343445699122,-488.858510187877
2.ANT,-5892876.22671932,-5892897.06869809,-5892791.26914993,-5892804.93808745,ULCN_ultra,3.96395183001506e-08,8.25310192105597e-08,-740.679334738593,-264.845890398923
2.MED,-5920837.34964948,-5920732.77409879,-5919662.03758775,0,ULCN_dates,7.61186241315084e-08,2.4420807773126e-07,-724.119136834298,-281.239935793437
3.ANT,-5887496.54443384,-5887506.11130987,-5887494.6684887,-5887506.04026998,ULCN_ultra,3.7261378295881e-08,7.00901479731266e-08,-177.766581635085,-130.413410860628
4.ANT,-5886031.42305422,-5886034.28669856,-5886025.57783007,-5886021.92777241,ULCN_dates,3.74987630921972e-08,9.1405195840428e-08,-164.893632616284,-88.9346800163596
