population	coefficient	raw_p_value	n	corrected_p_value	reject
0.PRE	-0.07086156577308396	0.538	8	0.692	False
0.PE	0.8599911737195707	0.001	52	0.012	True
0.ANT	0.5801470658437083	0.001	102	0.012	True
0.ANT4	0.8120390287865963	0.028	12	0.084	False
3.ANT	0.5373950254624817	0.004	11	0.02	True
4.ANT	0.5416511756279574	0.001	10	0.012	True
2.ANT	0.7758600850880668	0.001	50	0.012	True
2.MED	0.7414450432310289	0.001	96	0.012	True
1.PRE	0.22407238376486804	0.01	40	0.04	True
1.ANT	0.871748023071265	0.346	3	0.692	False
1.IN	0.6051335827528133	0.001	33	0.012	True
1.ORI	0.6985834432793772	0.001	60	0.012	True
