#name, A, B, C, D, E
NODE_0000000, 0.000136405513348962, 0.48212502447756284, 0.5174715263918366, 0.00010590555370714145, 0.00016113806354449065
NODE_0000001, 6.557735358027222e-07, 0.009924954566044746, 0.9900733780212921, 4.0253929915117516e-07, 6.090998281555563e-07
SAMEA3541827, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000002, 2.2660540735843702e-08, 0.00021504595099669047, 0.9997849048240051, 1.220408485198533e-08, 1.4360372566254066e-08
SAMEA104233046, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000003, 1.4848166654862354e-08, 1.5389249492425815e-05, 0.9999845810433007, 7.577374906747444e-09, 7.281665432512007e-09
SAMEA104233047, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000004, 1.4742281921284139e-08, 1.150899995534448e-05, 0.9999884615843614, 7.507299304761942e-09, 7.166102151024771e-09
NODE_0000005, 1.465445038970544e-08, 1.0967369076848909e-05, 0.9999890033856725, 7.468152161582865e-09, 7.122648036025086e-09
SAMEA6812876, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
SAMEA6812877, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000006, 1.4696793476349498e-08, 1.1192806373981576e-05, 0.9999887778670808, 7.486795378368807e-09, 7.142956248147247e-09
SAMEA104233049, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000007, 1.4654137057299455e-08, 1.0960998291011171e-05, 0.9999890097571741, 7.467986957543016e-09, 7.1224108307326676e-09
SAMEA104233048, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
SAMEA3541826, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000008, 8.156804492898992e-07, 0.953198893625843, 0.04679824256849469, 6.00607579481846e-07, 1.4475176335644128e-06
NODE_0000009, 5.639818630218395e-08, 0.9988295689363117, 0.001170196354917368, 4.453206882675769e-08, 1.3377851593266542e-07
GCA_000323485.1_ASM32348v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0
GCA_000323845.1_ASM32384v1_genomic, 0.0, 1.0, 0.0, 0.0, 0.0
NODE_0000010, 6.547813439405198e-08, 0.9640272141752392, 0.03597253068112171, 4.9101034939583163e-08, 1.4056446970457976e-07
NODE_0000011, 7.576891126035687e-07, 0.9407701880138067, 0.05922714821963529, 5.585690329895759e-07, 1.3475084125221668e-06
NODE_0000012, 6.256693694268944e-07, 0.019355571125309605, 0.9806428328800427, 3.8450525390975757e-07, 5.858200243900296e-07
GCA_001294825.1_ASM129482v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0
