name,Armenia,Azerbaijan,Bolivia,Brazil,China,Democratic Republic of the Congo,England,Estonia,France,Georgia,Germany,Indonesia,Iran,Italy,Kazakhstan,Kyrgyzstan,Lithuania,Mongolia,Myanmar,Nepal,Norway,Peru,Poland,Russia,Spain,Switzerland,The Netherlands,Turkmenistan,Uganda,United States of America,Vietnam
NODE0,0.0002708174859451745,0.00047024438808460545,0.00016029900669316732,0.0001688069575910688,0.20541041097559054,0.00017665323211125242,0.00031599630740346767,0.0003954886963662779,0.00022349380595589126,0.0001622088191299825,0.0005919621315799433,0.00019218054609125825,0.0001587590858354825,0.0001613573069958585,0.001100442151281239,0.0003383230578832616,0.000965713303229202,0.0005504816570841738,0.00019499344794070134,0.00020057353942085624,0.00016067671594875363,0.00021968687185534857,0.00018827582429513091,0.7859279819948312,0.0001650145482052633,0.00015887554185853395,0.0002804241018287437,0.0001618209680959112,0.00017634360864171833,0.0001660253534372306,0.00018566856878893923
NODE1,1.0140302922264986e-05,2.452081456000495e-05,5.910662267179943e-06,6.20407453741968e-06,0.0060257566553788226,6.4973092758735005e-06,1.6168023345429754e-05,0.0003543762331069966,9.518480397496817e-06,5.992159863676238e-06,0.00029905195071744427,7.007872026087847e-06,5.877442764191288e-06,6.253269994980791e-06,7.720948871220212e-05,1.2252235071139419e-05,0.0014768809191391518,2.21429719813026e-05,7.1065732334667334e-06,7.296634401832331e-06,6.047991652683132e-06,7.97468128282627e-06,8.323049691876515e-06,0.9915415593595419,6.59786846256272e-06,6.13848925692316e-06,1.1791405835818238e-05,6.0237670403660865e-06,6.486095566594164e-06,6.10693999956655e-06,6.786277971976871e-06
SAMEA3541827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE2,2.9254831967723864e-05,8.522706981922365e-05,1.844393562339418e-05,1.840761348800712e-05,0.0024541668966162485,1.898594492270191e-05,5.632531720411126e-05,0.003658409839609409,3.2812663064374935e-05,1.949234245302717e-05,0.0023736823580547198,1.8246011173274082e-05,1.915049163708508e-05,2.104742188307855e-05,0.00017617500034087066,1.9314736216465645e-05,0.015250116330309291,3.3338768104367665e-05,1.8300014302225502e-05,1.8286612348811517e-05,1.9911980520566887e-05,1.9655076286423468e-05,2.8901542232584584e-05,0.9754414745687093,2.252547061956362e-05,2.081036060608942e-05,3.2174104257841036e-05,1.963426643178716e-05,1.894938437426457e-05,1.8389907088162317e-05,1.838913973490927e-05
SAMEA104233046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE3,3.134339905200599e-05,9.159623657946492e-05,2.0215423589011627e-05,1.996035204858149e-05,0.0010417650820143077,2.051475976788844e-05,6.795856666937023e-05,0.01271185775734165,3.947392504681673e-05,2.1545976018969423e-05,0.005500490462677337,1.9180410170016773e-05,2.116649574594168e-05,2.520285987720332e-05,0.0001782506739712469,1.729908935694382e-05,0.005478016964455142,2.9930690763450745e-05,1.9182233208906613e-05,1.9030921022061307e-05,2.2606247877618886e-05,2.0362341697406148e-05,3.0513038471599916e-05,0.9743820048409881,2.8513489457335688e-05,2.5055926709549542e-05,3.527860292647193e-05,2.1677773411947088e-05,2.0474320051514368e-05,2.000556884150058e-05,1.9525570190614478e-05
SAMEA104233047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE4,1.1447022265820915e-05,3.3018780626476886e-05,7.295586281881487e-06,7.171844063965907e-06,0.0002170514262906252,7.3668761956030255e-06,4.0015991909580706e-05,0.0016108913812397842,1.970787445053481e-05,7.801848152706085e-06,0.012018467101217976,6.801426038841661e-06,7.666585241278107e-06,1.1355296478243078e-05,6.065667157059099e-05,6.0278306599115706e-06,0.0010560974735867087,1.002663947318104e-05,6.793638767290041e-06,6.718547794604399e-06,8.886364439246977e-06,7.175945722360494e-06,1.1514782287280932e-05,0.9847498293545179,1.4419812258994288e-05,1.1325236372772342e-05,1.5121531712160725e-05,7.843426754190308e-06,7.352214902192525e-06,7.197638897896602e-06,6.953849829441163e-06
NODE5,1.34609843639338e-07,7.22289581700452e-07,6.314599805472816e-08,6.195342376102722e-08,2.9853900759427603e-06,6.394870921323478e-08,4.5462540472491774e-07,4.968436389382215e-06,1.9214182149888024e-07,6.76726573487373e-08,5.975871640013239e-05,5.8400166274040775e-08,6.675688472298012e-08,8.936397082341714e-08,2.313927738707864e-06,4.856595645750122e-08,3.691969377741841e-06,1.267757828374703e-07,5.8300037627418216e-08,5.755866230142165e-08,7.478680865488813e-08,6.149203710997278e-08,1.0898791183515031e-07,0.9999231500948107,1.0562001921294148e-07,8.719883667168537e-08,1.726533038516841e-07,6.875131635574403e-08,6.382098665434729e-08,6.221282370506386e-08,5.983226230168334e-08
SAMEA6812876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
