#name, A, B, C, D, E, F, G, H, I
NODE_0000000, 5.4213288753020176e-05, 0.00014962911761156055, 0.9178671082429106, 8.577971900926259e-05, 7.164713977953427e-05, 3.5115345176110844e-05, 5.991719002248366e-05, 0.08062685223005528, 0.0010497377266823107
NODE_0000001, 3.482574291762806e-07, 1.7101950710674922e-06, 0.9947300448910138, 7.635489608240033e-07, 4.702984860452689e-07, 1.8424090454765636e-07, 4.5690836360882475e-07, 0.005250643010698659, 1.5378649072291975e-05
SAMEA3541827, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 6.001222826251285e-08, 3.038385331473127e-07, 0.9992072622269049, 1.6262973422693866e-07, 6.370769897572182e-08, 4.128636285081798e-08, 1.1528513984369337e-07, 0.0007908826252531776, 1.1083881445457063e-06
SAMEA104233046, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 5.288718082932635e-08, 2.6505916385245375e-07, 0.9994663927424573, 1.4809031717918237e-07, 5.293277592235153e-08, 3.828948167129989e-08, 1.0820888769606391e-07, 0.0005323140434379702, 6.277462978221696e-07
SAMEA104233047, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 5.3312979718125483e-08, 2.677290219211261e-07, 0.9994534265967296, 1.4921142251565602e-07, 5.350201189222377e-08, 3.849853425342912e-08, 1.0883909434284843e-07, 0.0005452543913827482, 6.479188229435561e-07
NODE_0000005, 5.1596164393101e-08, 2.5786022750678747e-07, 0.9995125151991893, 1.4526447552653762e-07, 5.1050128728043775e-08, 3.7719547610362155e-08, 1.0676381467834659e-07, 0.00048628171214218466, 5.528343100872562e-07
SAMEA6812876, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA6812877, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 5.243644688965602e-08, 2.626902602033408e-07, 0.9994842592578319, 1.4720300433714988e-07, 5.224471283864064e-08, 3.810246560712397e-08, 1.0778617301468754e-07, 0.0005144825204508564, 5.977586543746273e-07
SAMEA104233049, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 5.155130447314557e-08, 2.576232352120208e-07, 0.9995142116639035, 1.4517491320100717e-07, 5.0982380069735284e-08, 3.770075563405564e-08, 1.0672084130200422e-07, 0.00048458848555628446, 5.500971102857686e-07
SAMEA104233048, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA3541826, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 1.6771476177913802e-06, 8.491244781998296e-06, 0.8533698102347654, 2.711716935191498e-06, 3.4160514940053653e-06, 5.59624398338852e-07, 1.1723766136882092e-06, 0.14602443336484935, 0.0005877282385442311
NODE_0000009, 2.013639365022034e-06, 1.0191733947524602e-05, 0.8231966410377408, 3.465087516569204e-06, 3.6548550766777373e-06, 7.199954362411477e-07, 1.5192395172714263e-06, 0.1764233842075401, 0.0003584102038597395
GCA_000323485.1_ASM32348v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_000323845.1_ASM32384v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000010, 1.654893410910237e-06, 8.5210757780795e-06, 0.7122058096850836, 2.531110127791149e-06, 5.014413103333378e-06, 5.020095752307574e-07, 1.0218258161406775e-06, 0.28668691702214505, 0.0010880279649596925
NODE_0000011, 2.868863045781687e-06, 1.4555100012353502e-05, 0.3780885451719718, 3.989177977460998e-06, 6.768928294463748e-06, 7.610131536095402e-07, 1.4335296992494654e-06, 0.6198594436457455, 0.002021634570099622
NODE_0000012, 2.8292664153719283e-06, 1.4217057746981447e-05, 0.05074293877399267, 3.4591563848059726e-06, 7.5474267249423274e-06, 6.214998631428554e-07, 1.0570646850109546e-06, 0.9464318040512829, 0.002795525702904236
GCA_001294825.1_ASM129482v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000013, 1.5974470694418784e-06, 8.035189314786455e-06, 0.007813173855766608, 1.6060547435475577e-06, 5.2764976559778215e-06, 2.6499144856904966e-07, 4.024296312074606e-07, 0.9884094516421368, 0.003760191892233128
GCA_006376585.1_ASM637658v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000014, 1.4665532189450687e-06, 7.174904241790605e-06, 0.0021662818154577785, 1.3920000776773728e-06, 5.0534626032644055e-06, 2.3321717650997476e-07, 3.5383925171522936e-07, 0.9903753754116632, 0.0074426687963090495
GCA_002127375.1_ASM212737v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000015, 1.7328654964104128e-06, 7.6010938804140125e-06, 0.0013219268171848148, 1.6750748663083045e-06, 5.7620630468669e-06, 3.343275504308716e-07, 6.023533602967648e-07, 0.9691272498082906, 0.02953311559632382
GCA_002127355.1_ASM212735v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
NODE_0000016, 3.347612886746315e-06, 1.0391577767550892e-05, 0.0007909682614807344, 3.4601100471516725e-06, 9.728361416923576e-06, 9.67309556272751e-07, 2.128918839810519e-06, 0.8339021163673209, 0.1652768914806838
GCA_008630415.1_ASM863041v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_008630455.1_ASM863045v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000017, 1.830539629972227e-06, 9.531825599258557e-06, 0.35985849476744775, 2.3520461695797083e-06, 4.917484160374231e-06, 4.287584904311188e-07, 7.91570728684958e-07, 0.6376827471602464, 0.002438905847527718
NODE_0000018, 3.7932687566448173e-06, 1.924481811684439e-05, 0.44091347025263067, 5.387858104238401e-06, 8.452610868474326e-06, 1.0378467443692225e-06, 1.969396907036626e-06, 0.5572866445178898, 0.001759999429981875
GCA_003085935.1_ASM308593v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000019, 6.260526948395516e-06, 3.111531056897802e-05, 0.11375156758459457, 7.820792697964169e-06, 1.6308908343569006e-05, 1.4729202927629158e-06, 2.5894772983018605e-06, 0.8807090145285532, 0.005473849950702367
NODE_0000020, 1.8740901088914375e-06, 9.592899786189962e-06, 0.01586311953822543, 2.008525962415538e-06, 5.8798908770074175e-06, 3.367122580356743e-07, 5.321022323156411e-07, 0.9807164789975634, 0.0034001772429863644
GCA_001294915.1_ASM129491v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000021, 1.4143275565699735e-06, 7.05479194156566e-06, 0.0028712297826965693, 1.3483722440829938e-06, 4.851470926498518e-06, 2.1566365478566407e-07, 3.072836099432534e-07, 0.9943919068978202, 0.002721671409549899
GCA_001295045.1_ASM129504v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
GCA_006376545.1_ASM637654v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000022, 0.00014123565899996516, 0.0003957644351325374, 0.072393049824188, 0.00015038620290949546, 0.00029435703792065417, 5.121424170837215e-05, 6.836795314454271e-05, 0.907362882468654, 0.019142742177342256
NODE_0000023, 7.400967958374571e-06, 3.536135193353967e-05, 0.01704598641633201, 7.581741272587514e-06, 2.336415294476577e-05, 1.348614369490433e-06, 2.054965029051048e-06, 0.9739634967274429, 0.008913405062717119
GCA_002993145.1_ASM299314v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
NODE_0000024, 0.0001266949273172106, 0.0003500886971523085, 0.016243703879549317, 0.0001250183939123189, 0.0002791940080904804, 4.1099373947028264e-05, 5.095447156490704e-05, 0.9653059551071492, 0.0174772911413171
GCA_001188795.1_ASM118879v1_genomic, 0.00927243247632543, 0.01394661220699195, 0.06318535999284496, 0.009429372315356184, 0.01300182312277863, 0.006397482492934428, 0.006800589669572639, 0.7985809722960571, 0.07938535542713868
GCA_001294815.1_ASM129481v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000025, 0.00905041897737611, 0.013634228708221329, 0.10778851571592868, 0.009350063344849467, 0.012542214234070889, 0.0063955732396300145, 0.006909755053596489, 0.7570898013153853, 0.07723942941094188
NODE_0000026, 0.01688512832744246, 0.024775971009346084, 0.13065016054687892, 0.01757393399837777, 0.022951219179550883, 0.012542204220149553, 0.013688956875997561, 0.6457374014546902, 0.11519502438756647
GCA_001188755.1_ASM118875v1_genomic, 0.023867391110791124, 0.03427410792422656, 0.14473007744780367, 0.025001201008828494, 0.031923097058439466, 0.018494270983780984, 0.020324256843495973, 0.5622471493232855, 0.13913844829934818
NODE_0000027, 0.023867391110791124, 0.034274107924226534, 0.14473007744780372, 0.025001201008828494, 0.03192309705843945, 0.018494270983780994, 0.020324256843495984, 0.5622471493232855, 0.13913844829934832
GCA_000382545.1_Yersinia_pestis_assembly_genomic, 0.03015993233479822, 0.04246213077367115, 0.15268593121665636, 0.031765165898177204, 0.03975194427607365, 0.024255235054046375, 0.02676333198468313, 0.498772218856248, 0.15338410960564597
GCA_001188335.1_DYA_1_genomic, 0.03015993233479822, 0.04246213077367115, 0.15268593121665636, 0.031765165898177204, 0.03975194427607365, 0.024255235054046375, 0.02676333198468313, 0.498772218856248, 0.15338410960564597
NODE_0000028, 0.01688512832744246, 0.024775971009346084, 0.13065016054687892, 0.01757393399837777, 0.022951219179550883, 0.012542204220149553, 0.013688956875997561, 0.6457374014546902, 0.11519502438756647
GCA_001188775.1_ASM118877v1_genomic, 0.023867391110791124, 0.03427410792422656, 0.14473007744780367, 0.025001201008828494, 0.031923097058439466, 0.018494270983780984, 0.020324256843495973, 0.5622471493232855, 0.13913844829934818
