name,0.ANT,0.ANT4,0.PE,0.PRE,1.ANT,1.IN,1.ORI,1.PRE,2.ANT,2.MED,3.ANT,4.ANT
NODE0,0.0005038854679906664,0.000313539618329498,0.4981764742869313,0.4984142359652206,0.00031902120624046276,0.00032145878200339194,0.00033822018506919806,0.0003149142264429794,0.00032163801979014686,0.00034144308760770015,0.00031778367468622624,0.0003173854796877382
NODE1,1.0031671556232233e-06,6.305046580199718e-07,0.0007434892239634386,0.999249676605311,6.419836869295065e-07,6.452136732704048e-07,6.772958695482976e-07,6.318844878615567e-07,6.447597089157257e-07,6.818089425847882e-07,6.391496441661653e-07,6.384028985099847e-07
SAMEA3541827,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE2,2.751056300774919e-09,2.0458321937366732e-09,1.1127197883855308e-06,0.9999988656077256,2.085317706735892e-09,2.0940028648856115e-09,2.196613743294701e-09,2.050279540474513e-09,2.0915498995994157e-09,2.2090796798188745e-09,2.0755619714603622e-09,2.073192020610897e-09
SAMEA104233046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE3,1.0084051309007383e-09,9.447833756866782e-10,4.782017897762003e-09,0.9999999854592692,9.63789492932079e-10,9.684936325744293e-10,1.0166845711614817e-09,9.48204210897303e-10,9.67635897860449e-10,1.0231989710712588e-09,9.593185302866146e-10,9.581989613217314e-10
SAMEA104233047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE4,1.0065646985436078e-09,9.439284316896178e-10,3.1331846913390058e-09,0.9999999871178213,9.62920406450913e-10,9.676221195501334e-10,1.015771693723796e-09,9.473505694129176e-10,9.667657972545483e-10,1.022282102484067e-09,9.584534144165952e-10,9.573347896870522e-10
NODE5,1.0045398265757614e-09,9.420184375299002e-10,3.1213471402880283e-09,0.9999999871493407,9.609704134379206e-10,9.656675814342818e-10,1.0137245227033842e-09,9.454376689533357e-10,9.648154547190743e-10,1.0202275936008503e-09,9.565135934657367e-10,9.55397071719749e-10
SAMEA6812876,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMEA6812877,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE6,1.0055495015614245e-09,9.429715186202839e-10,3.126026688075367e-09,0.9999999871348407,9.619434561428568e-10,9.666428941267734e-10,1.014746061216943e-09,9.463922042292251e-10,9.65788674585034e-10,1.0212527957835548e-09,9.57481560378189e-10,9.56363989177684e-10
SAMEA104233049,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE7,1.00453880317243e-09,9.42017467878996e-10,3.1213364521630967e-09,0.9999999871493613,9.609694226994631e-10,9.656665908671557e-10,1.013723487490373e-09,9.45436699832019e-10,9.648144675071065e-10,1.0202265575441815e-09,9.56512608457834e-10,9.55396087699322e-10
SAMEA104233048,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMEA3541826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE8,1.4106424075031646e-06,5.902143513225339e-07,0.9992947050685412,0.0006984331836766266,5.999677787782457e-07,6.030633437161394e-07,6.330143352259694e-07,5.907070419954025e-07,6.027131966495864e-07,6.373474955674209e-07,5.973880441148169e-07,5.966897872822083e-07
NODE9,5.872875939619917e-09,1.7884133865220865e-09,0.999998998745749,9.78892177527885e-07,1.8158502437375727e-09,1.8239394962993907e-09,1.9130897815707667e-09,1.786751899343187e-09,1.8223919511040356e-09,1.9248209711378307e-09,1.8080032698497549e-09,1.8059364713779163e-09
GCA_000323485.1_ASM32348v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_000323845.1_ASM32384v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE10,1.123116567205908e-08,1.8015142424721918e-09,0.9999989878021198,9.843885594045937e-07,1.82465681010466e-09,1.8327657092296994e-09,1.9223259765097575e-09,1.796718415777094e-09,1.8317441797356671e-09,1.934659275537712e-09,1.8179239026272343e-09,1.815846681593232e-09
NODE11,2.9539285043373624e-09,8.251920750886976e-10,0.9999999851256568,4.309967860753164e-09,8.373541624156365e-10,8.41765037028785e-10,8.835068788354298e-10,8.247096150724585e-10,8.413932891722083e-10,8.897179101654335e-10,8.338912382485572e-10,8.329166777769847e-10
NODE12,2.9369233279430007e-09,8.229053947798647e-10,0.9999999865411947,2.932431437065011e-09,8.350399732616679e-10,8.394443255109442e-10,8.810764753591287e-10,8.224340309126392e-10,8.3907531190045e-10,8.872758598395205e-10,8.315855909189505e-10,8.306135385305936e-10
GCA_001294825.1_ASM129482v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE13,2.9368977541752617e-09,8.229024146059392e-10,0.9999999865431753,2.9305037602703e-09,8.350369594487111e-10,8.394413065212524e-10,8.810733169270311e-10,8.224310698154643e-10,8.390722975898232e-10,8.872726895685869e-10,8.315825879194991e-10,8.306105386862793e-10
GCA_006376585.1_ASM637658v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE14,2.93689770799392e-09,8.229024099340709e-10,0.9999999865431781,2.9305010546394647e-09,8.350369547287635e-10,8.394413017985516e-10,8.810733119915606e-10,8.224310651819336e-10,8.390722928762195e-10,8.872726846198931e-10,8.315825832159546e-10,8.306105339874935e-10
GCA_002127375.1_ASM212737v1_genomic,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE15,2.936892007801516e-09,8.229016688514353e-10,0.9999999865431964,2.9304952720868166e-09,8.350362053523871e-10,8.394405520698027e-10,8.810725286723627e-10,8.224303301914942e-10,8.390715448715246e-10,8.872718995771958e-10,8.315818369891271e-10,8.306097885110591e-10
GCA_002127355.1_ASM212735v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE16,2.932800377973144e-09,8.22122130728494e-10,0.9999999865585663,2.9263803631231163e-09,8.342463648119555e-10,8.386484610023368e-10,8.802430698207818e-10,8.216541528044372e-10,8.382805878782653e-10,8.864386757006537e-10,8.30795381209323e-10,8.298241872392174e-10
GCA_008630415.1_ASM863041v1_genomic,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_008630455.1_ASM863045v1_genomic,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE17,2.941032157936746e-09,8.236871619937024e-10,0.9999999865257674,2.936566464932196e-09,8.358320681912164e-10,8.40238671980685e-10,8.819082906160642e-10,8.232124191752195e-10,8.398685190116713e-10,8.881114451707279e-10,8.323742914420657e-10,8.314013822901111e-10
NODE18,2.936909202277577e-09,8.229039010137671e-10,0.9999999865431388,2.9305153704665454e-09,8.350384624805703e-10,8.394428102498608e-10,8.810748880179415e-10,8.224325439865779e-10,8.39073797857371e-10,8.872742641066181e-10,8.315840846357265e-10,8.306120338977696e-10
GCA_003085935.1_ASM308593v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE19,2.941006510150241e-09,8.236841750244038e-10,0.9999999865277533,2.9346333724270924e-09,8.358290475131692e-10,8.402356461238531e-10,8.819051250092909e-10,8.232094513409296e-10,8.398654978481436e-10,8.881082677082267e-10,8.323712816019081e-10,8.313983756119477e-10
NODE20,2.9368977318258114e-09,8.229024120532147e-10,0.9999999865431781,2.930501075280349e-09,8.350369568661589e-10,8.394413039319487e-10,8.810733142155639e-10,8.224310672749351e-10,8.390722950031457e-10,8.872726868439528e-10,8.315825853450908e-10,8.306105361146576e-10
GCA_001294915.1_ASM129491v1_genomic,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE21,2.932800385928588e-09,8.221221314370406e-10,0.9999999865585663,2.9263803712544295e-09,8.342463655264943e-10,8.386484617155545e-10,8.802430705643047e-10,8.216541535042105e-10,8.38280588589351e-10,8.864386764442388e-10,8.307953819211552e-10,8.298241879503902e-10
GCA_001295045.1_ASM129504v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_006376545.1_ASM637654v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
