#name, A, B, C, D, E, F, G, H, I, J, K, L
NODE_0000000, 0.0003913896456174217, 0.00025129903892405963, 0.4985580931148208, 0.49873046149307365, 0.0002547429214425603, 0.0002516308022129642, 0.00027694510064029114, 0.00025055161567701746, 0.00025540587293998527, 0.00027182632189512473, 0.0002538270363978993, 0.00025382703635812266
NODE_0000001, 6.136731077719465e-07, 3.978066172894066e-07, 0.0005849495173631491, 0.9994107745633988, 4.0351007680008085e-07, 3.973967607927928e-07, 4.345401644246206e-07, 3.9574229873081054e-07, 4.029111620921732e-07, 4.266054850928874e-07, 4.0186678251563545e-07, 4.0186678245225986e-07
SAMEA3541827, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 1.3250957813001037e-09, 1.0167437067407698e-09, 6.87885579312574e-07, 0.9999993014318128, 1.0322148959474821e-09, 1.015575447347487e-09, 1.108530603542577e-09, 1.0113057047758695e-09, 1.0293132567545026e-09, 1.088265470818486e-09, 1.0277814502168551e-09, 1.0277814500540047e-09
SAMEA104233046, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 4.856974787230706e-10, 4.69832601189635e-10, 2.3818926908135658e-09, 0.9999999928016636, 4.772725531923785e-10, 4.699673474879413e-10, 5.141298663282313e-10, 4.679260904059762e-10, 4.764824068119997e-10, 5.046410095880142e-10, 4.752470771888275e-10, 4.752470771134262e-10
SAMEA104233047, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 4.850001319570955e-10, 4.69499150680947e-10, 1.5794566645057494e-09, 0.9999999936078544, 4.769347382824304e-10, 4.696355075681618e-10, 5.137693556605305e-10, 4.675954983449691e-10, 4.761462900630909e-10, 5.042869165801544e-10, 4.749106985596351e-10, 4.749106984842873e-10
NODE_0000005, 4.842333320683223e-10, 4.687522283061588e-10, 1.5748009441002677e-09, 0.9999999936201431, 4.761754540639068e-10, 4.688900317643326e-10, 5.12959031529337e-10, 4.66853203076788e-10, 4.753913202024131e-10, 5.034913835778414e-10, 4.741550247160961e-10, 4.741550246408681e-10
SAMEA6812876, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA6812877, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 4.846159094539062e-10, 4.691251008068354e-10, 1.5766553266025756e-09, 0.9999999936144783, 4.765544982831696e-10, 4.692621833429116e-10, 5.13363558269228e-10, 4.672237667547137e-10, 4.757682116129443e-10, 5.038885261858117e-10, 4.745322666193801e-10, 4.745322665440924e-10
SAMEA104233049, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 4.842330277878261e-10, 4.687519303972686e-10, 1.5747976558998046e-09, 0.9999999936201492, 4.761751510152323e-10, 4.688897350867177e-10, 5.129587110759086e-10, 4.668529076419168e-10, 4.753910200763243e-10, 5.034910689090551e-10, 4.741547232612317e-10, 4.741547231860038e-10
SAMEA104233048, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA3541826, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 8.931994700461909e-07, 3.8560340812837566e-07, 0.9994250247268629, 0.0005705362755911654, 3.9062444577751014e-07, 3.847598047936995e-07, 4.2050549589179283e-07, 3.831905710635841e-07, 3.900853335626831e-07, 4.1289486602101204e-07, 3.890670751924434e-07, 3.890670751314552e-07
NODE_0000009, 3.034049689681318e-09, 9.526959500767905e-10, 0.9999993355062142, 6.527151967001524e-07, 9.642363627354618e-10, 9.489896881228576e-10, 1.0346787350064132e-09, 9.452658734106873e-10, 9.617906832192254e-10, 1.01617117087342e-09, 9.603554660401636e-10, 9.60355465890012e-10
GCA_000323485.1_ASM32348v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_000323845.1_ASM32384v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000010, 5.952954524280411e-09, 9.5837594646677e-10, 0.9999993295551606, 6.557088574799783e-07, 9.68053535675543e-10, 9.527373908539512e-10, 1.038739779330444e-09, 9.495740104685194e-10, 9.658205055005826e-10, 1.0204064090842107e-09, 9.646599264424492e-10, 9.646599262916928e-10
NODE_0000011, 1.5227484356213807e-09, 4.388376273170024e-10, 0.9999999921613747, 2.285541180023198e-09, 4.439370403375916e-10, 4.373250263226411e-10, 4.776909823394823e-10, 4.355998122837445e-10, 4.433687516105093e-10, 4.691315553813254e-10, 4.422224738144988e-10, 4.4222247374557663e-10
NODE_0000012, 1.5154093879451901e-09, 4.3784628162879604e-10, 0.9999999929270429, 1.53627335337047e-09, 4.429362857060224e-10, 4.363419440679279e-10, 4.766239794565735e-10, 4.3461960414149245e-10, 4.423728006890266e-10, 4.680830229571499e-10, 4.412252631337314e-10, 4.412252630649652e-10
GCA_001294825.1_ASM129482v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000013, 1.5171266885979177e-09, 4.3818337644290633e-10, 0.9999999929213355, 1.5371804323982114e-09, 4.4327691724666204e-10, 4.366765687304389e-10, 4.769869834388326e-10, 4.3495305742432254e-10, 4.4271170148449404e-10, 4.684396939593428e-10, 4.4156451722902637e-10, 4.415645171602073e-10
NODE_0000014, 1.5171247133564761e-09, 4.381831136106366e-10, 0.999999992921343, 1.5371774301264203e-09, 4.432766520613506e-10, 4.366763089395491e-10, 4.769867035257276e-10, 4.3495279837118573e-10, 4.42711438617336e-10, 4.684394187740955e-10, 4.415642531139411e-10, 4.415642530451227e-10
NODE_0000015, 1.5136760469439056e-09, 4.375073386434192e-10, 0.9999999929344943, 1.5336549663126987e-09, 4.425937895987496e-10, 4.3600548970222485e-10, 4.762589943737473e-10, 4.3428432570969807e-10, 4.420320467125094e-10, 4.677244046430997e-10, 4.4088415077308653e-10, 4.408841507043743e-10
GCA_002127355.1_ASM212735v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
