sample	non_synonymous	synonymous	ratio
GCA_009909635.1_ASM990963v1_genomic	286	51	5.60784
GCA_009669545.1_ASM966954v1_genomic	209	60	3.48333
GCA_009669555.1_ASM966955v1_genomic	200	58	3.44828
GCA_009669565.1_ASM966956v1_genomic	204	60	3.4
GCA_009669605.1_ASM966960v1_genomic	203	58	3.5
GCA_009669625.1_ASM966962v1_genomic	200	60	3.33333
GCA_009669675.1_ASM966967v1_genomic	204	59	3.45763
GCA_009669635.1_ASM966963v1_genomic	197	60	3.28333
GCA_009669665.1_ASM966966v1_genomic	206	56	3.67857
GCA_009669725.1_ASM966972v1_genomic	209	61	3.42623
GCA_009669715.1_ASM966971v1_genomic	206	59	3.49153
GCA_009669705.1_ASM966970v1_genomic	198	64	3.09375
GCA_009669775.1_ASM966977v1_genomic	204	59	3.45763
GCA_009669765.1_ASM966976v1_genomic	203	57	3.5614
GCA_009669805.1_ASM966980v1_genomic	203	61	3.32787
GCA_009669825.1_ASM966982v1_genomic	199	63	3.15873
GCA_009669835.1_ASM966983v1_genomic	206	59	3.49153
GCA_009669845.1_ASM966984v1_genomic	201	61	3.29508
GCA_009669875.1_ASM966987v1_genomic	203	57	3.5614
GCA_009669905.1_ASM966990v1_genomic	206	61	3.37705
GCA_009669955.1_ASM966995v1_genomic	197	56	3.51786
GCA_009669925.1_ASM966992v1_genomic	207	58	3.56897
GCA_009669935.1_ASM966993v1_genomic	199	59	3.37288
GCA_009669975.1_ASM966997v1_genomic	198	56	3.53571
GCA_009670005.1_ASM967000v1_genomic	204	59	3.45763
GCA_009670045.1_ASM967004v1_genomic	202	60	3.36667
GCA_009670015.1_ASM967001v1_genomic	197	62	3.17742
GCA_009670055.1_ASM967005v1_genomic	204	63	3.2381
GCA_009670075.1_ASM967007v1_genomic	202	61	3.31148
GCA_009670115.1_ASM967011v1_genomic	208	61	3.40984
GCA_009667895.1_ASM966789v1_genomic	204	57	3.57895
GCA_009670135.1_ASM967013v1_genomic	193	56	3.44643
