Sample	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV	Percent_Aligned	Percent_Het
D51	4829855	3255934	344431	111	70141	381582	777767	67.41266559762146	2.1542512839633727
D62	4829855	2602191	585273	46	11540	381582	1249269	53.87720749380674	0.44347244302973915
D71	4829855	4035499	64652	44	138267	381582	209855	83.55321225999538	3.426267730459108
D72	4829855	3287163	298500	57	24967	381582	837643	68.05924815548293	0.7595303305616424
D75	4829855	4075953	70382	55	107203	381582	194735	84.39079434061685	2.6301333700364062
P187	4829855	2529529	790642	46	17504	381582	1110598	52.37277309567264	0.6919865318800457
P212	4829855	2827518	657802	36	47614	381582	915339	58.542502828759865	1.6839503762663934
P387	4829855	2724383	739272	27	25618	381582	959000	56.40713851658072	0.9403230015750355
R36	4829855	4105580	40469	25	166578	381582	135646	85.00420820086731	4.057356086107201
Reference	4829855	4448273	0	0	0	381582	0	92.09951437465514	0.0
SAMEA3713711	4829855	4134962	205493	52	4415	381582	103403	85.61254944506615	0.10677244434168923
SAMEA3713712	4829855	4202715	204166	50	9025	381582	32367	87.01534518117003	0.2147421369281524
SAMEA3713713	4829855	4221789	182715	50	5135	381582	38634	87.41026386920518	0.1216309010232392
SAMEA3713714	4829855	4096649	210626	46	2813	381582	138185	84.81929581736925	0.06866587789190629
SAMEA3713715	4829855	4207981	188566	43	9055	381582	42671	87.12437536944691	0.2151863328280237
SAMEA3937653	4829855	4204034	126962	19	1427	381582	115850	87.04265448962754	0.03394358846764798
SAMEA3937654	4829855	4291749	108972	17	1216	381582	46336	88.85875455888427	0.028333437020664532
SAMEA5054089	4829855	4275398	9050	16	161251	381582	2574	88.52021437496572	3.77160208242601
SAMEA5054090	4829855	4298182	9713	17	125608	381582	14770	88.9919469632111	2.9223518222355405
SAMEA5054092	4829855	4281186	23953	18	77847	381582	65287	88.64005234111583	1.818351269951831
SAMEA5054093	4829855	3492901	211482	15	36650	381582	707240	72.31896195641484	1.0492710786821613
SAMEA5818798	4829855	4217234	99502	36	1185	381582	130352	87.31595461975566	0.02809898620754741
SAMEA5818799	4829855	4339528	74735	36	1346	381582	32664	89.84799750717154	0.03101719818376561
SAMEA5818800	4829855	4376365	64208	36	891	381582	6809	90.61069121122684	0.020359362164718894
SAMEA5818801	4829855	4289467	88332	35	3491	381582	66983	88.8115067636606	0.081385402895045
SAMEA5818803	4829855	4388107	22757	26	2563	381582	34846	90.853804099709	0.058407873828053875
SAMEA5818805	4829855	4343233	28379	21	2899	381582	73762	89.92470788460523	0.0667475127399336
SAMEA5818806	4829855	4386145	22191	15	2109	381582	37828	90.81318176218541	0.04808322570275264
SAMEA5818808	4829855	3747846	200870	13	1718	381582	497839	77.59748481062061	0.045839663636125925
SAMEA5818809	4829855	4267962	74103	10	2312	381582	103896	88.36625530166019	0.05417105400657269
SAMEA5818811	4829855	3848346	167341	7	688	381582	431898	79.67829261955069	0.017877810363205387
SAMEA5818815	4829855	4397061	20217	13	2019	381582	28976	91.03919268797924	0.04591703412802324
SAMEA5818817	4829855	4249381	42438	8	1481	381582	154973	87.98154395939423	0.034852134934476336
SAMEA5818818	4829855	4170069	93753	11	1167	381582	183284	86.33942426843042	0.02798514844718397
SAMEA5818821	4829855	4226951	87347	11	1112	381582	132863	87.51714078372953	0.026307378533604955
SAMEA5818822	4829855	3993992	165834	10	1480	381582	286967	82.6938282826296	0.03705565759771176
SAMEA5818825	4829855	3944404	157653	11	808	381582	345408	81.6671307937816	0.020484717082732903
SAMEA5818826	4829855	4388639	30578	10	884	381582	28172	90.86481892313537	0.020142919023414776
SAMEA5818828	4829855	4238379	84372	10	1354	381582	124168	87.75375244184349	0.03194617564875628
SAMEA5818829	4829855	4318002	55133	10	1478	381582	73660	89.40231124950955	0.03422879378008625
SAMEA5818830	4829855	4280347	68198	11	2511	381582	97217	88.62268121920845	0.05866346817208979
SAMEA6637002	4829855	4419912	16236	10	1170	381582	10955	91.5123124814306	0.026471115262023316
SAMEA6637004	4829855	4330947	35514	12	949	381582	80863	89.67033171803294	0.021912066806636054
SAMEA6651390	4829855	4383887	24420	10	1842	381582	38124	90.76643087628925	0.04201750638189351
SAMEA7293135	4829855	4354666	63982	21	13914	381582	15711	90.16142306549575	0.31951933856695325
SAMEA7293136	4829855	4024531	103416	7	21593	381582	298733	83.32612469732527	0.5365345676303649
SAMEA7313236_38	4829855	4253294	87045	18	74966	381582	32968	88.06256088433297	1.7625398103211298
SAMEA7313243_45	4829855	3632983	148076	11	10892	381582	656322	75.21929747373368	0.2998087246761133
SAMEA7313246_49	4829855	4434755	11870	7	1626	381582	22	91.81963019593756	0.036664934139540965
SAMN00715800	4829855	4216107	70011	4	2029	381582	160126	87.29262058591821	0.04812496457039634
