Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-3_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-20_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Snippy_mqc-generalstats-snippy-VariantTotal	Snippy_mqc-generalstats-snippy-Variant_SNP	Snippy_mqc-generalstats-snippy-Variant_INS	Snippy_mqc-generalstats-snippy-Variant_DEL	Snippy_mqc-generalstats-snippy-Variant_COMPLEX	Snippy_mqc-generalstats-snippy-Percent_Aligned	Snippy_mqc-generalstats-snippy-Percent_Het	Snippy_mqc-generalstats-snippy-LENGTH	Snippy_mqc-generalstats-snippy-ALIGNED	Snippy_mqc-generalstats-snippy-UNALIGNED	Snippy_mqc-generalstats-snippy-VARIANT	Snippy_mqc-generalstats-snippy-HET	Snippy_mqc-generalstats-snippy-MASKED	Snippy_mqc-generalstats-snippy-LOWCOV
D51	42.358244733979966	87.80638342144847	70.90970639905339	57.10910575990376	34.62182612107403	13.692398633085258	6	9.243	100.0	642107.0	642107.0	1.39	133	118	4	6	5	67.41266559762146	2.1542512839633727	4829855	3255934	344431	111	70141	381582	777767
D62	43.57320724980298	82.4222052214818	55.52328175483529	34.604496408277264	8.220163959373522	0.39156455007448465	3	3.8942	100.0	317681.0	317681.0	1.3	65	58	4	2	1	53.87720749380674	0.44347244302973915	4829855	2602191	585273	46	11540	381582	1249269
D71	43.395969917290415	93.99315300355808	89.1726977310913	83.64333918927173	70.01605638264503	47.56086880455003	18	22.9904	100.0	1630634.0	1630634.0	1.2	122	111	5	4	2	83.55321225999538	3.426267730459108	4829855	4035499	64652	44	138267	381582	209855
D72	44.885328551126754	88.79819373459452	70.58091806068713	52.905190735539676	21.65717190267617	2.2401914757275323	5	6.0509	100.0	440831.0	440831.0	1.25	125	112	8	2	3	68.05924815548293	0.7595303305616424	4829855	3287163	298500	57	24967	381582	837643
D75	44.592997786456834	93.84383175064262	89.34057026556698	83.90831608816414	69.11975618315664	40.299284347045614	16	17.709	100.0	1326098.0	1326098.0	1.1400000000000001	160	144	9	5	2	84.39079434061685	2.6301333700364062	4829855	4075953	70382	55	107203	381582	194735
P187	42.46856404635139	78.46341142746522	54.59621458615217	39.58700623517683	18.441713053497466	3.5728815875424833	3	5.2367	100.0	330435.0	330435.0	1.1400000000000001	120	108	6	4	2	52.37277309567264	0.6919865318800457	4829855	2529529	790642	46	17504	381582	1110598
P212	40.87828285730706	81.15198075304538	61.386749705736506	48.37242525914339	27.790710073076728	8.217907162844433	4	7.1261	100.0	534718.0	534718.0	1.46	108	100	2	5	1	58.542502828759865	1.6839503762663934	4829855	2827518	657802	36	47614	381582	915339
P387	42.32307233407904	79.58947007725905	58.954130092932395	45.85909928973023	26.43944797514625	8.327165101229747	4	6.8724	100.0	454502.0	454502.0	1.11	101	95	2	3	1	56.40713851658072	0.9403230015750355	4829855	2724383	739272	27	25618	381582	959000
R36	44.041471055156066	94.63567746857825	91.39678106278554	87.1770270536072	75.50131422164847	53.300668446568274	21	24.1954	100.0	1682735.0	1682735.0	1.29	112	101	5	4	2	85.00420820086731	4.057356086107201	4829855	4105580	40469	25	166578	381582	135646
Reference																		92.09951437465514	0.0	4829855	4448273	0	0	0	381582	0
