sample tstv cds_sites ns_sites ss_sites ns_ss_ratio other_var other_var_ratio homo_het_sites homo_sites het_sites het_ratio
GCA_009909635.1_ASM990963v1_genomic 1.854 216 121 51 2.37255 1 0.0196078 242 216 26 0.107438
GCA_009669545.1_ASM966954v1_genomic 1.935 246 134 60 2.23333 0 0 271 246 25 0.0922509
GCA_009669555.1_ASM966955v1_genomic 2.119 241 133 58 2.2931 0 0 258 241 17 0.0658915
GCA_009669565.1_ASM966956v1_genomic 2.000 247 135 60 2.25 0 0 265 247 18 0.0679245
GCA_009669605.1_ASM966960v1_genomic 2.012 239 132 58 2.27586 0 0 260 239 21 0.0807692
GCA_009669625.1_ASM966962v1_genomic 1.884 240 131 60 2.18333 0 0 269 240 29 0.107807
GCA_009669675.1_ASM966967v1_genomic 2.071 238 132 59 2.23729 0 0 256 238 18 0.0703125
GCA_009669635.1_ASM966963v1_genomic 2.046 241 133 60 2.21667 0 0 254 241 13 0.0511811
GCA_009669665.1_ASM966966v1_genomic 2.080 241 131 56 2.33929 4 0.0714286 262 241 21 0.0801527
GCA_009669725.1_ASM966972v1_genomic 2.000 247 136 60 2.26667 0 0 266 247 19 0.0714286
GCA_009669715.1_ASM966971v1_genomic 2.045 244 138 59 2.33898 0 0 261 244 17 0.0651341
GCA_009669705.1_ASM966970v1_genomic 2.131 242 131 64 2.04688 0 0 269 242 27 0.100372
GCA_009669775.1_ASM966977v1_genomic 2.035 237 132 59 2.23729 0 0 259 237 22 0.0849421
GCA_009669765.1_ASM966976v1_genomic 1.966 236 134 57 2.35088 0 0 256 236 20 0.078125
GCA_009669805.1_ASM966980v1_genomic 2.058 244 135 61 2.21311 0 0 275 244 31 0.112727
GCA_009669825.1_ASM966982v1_genomic 2.022 243 133 62 2.14516 1 0.016129 255 243 12 0.0470588
GCA_009669835.1_ASM966983v1_genomic 2.034 241 135 59 2.28814 0 0 259 241 18 0.0694981
GCA_009669845.1_ASM966984v1_genomic 2.080 244 134 60 2.23333 0 0 263 244 19 0.0722433
GCA_009669875.1_ASM966987v1_genomic 2.024 235 131 57 2.29825 0 0 255 235 20 0.0784314
GCA_009669905.1_ASM966990v1_genomic 1.989 246 137 60 2.28333 1 0.0166667 263 246 17 0.0646388
GCA_009669955.1_ASM966995v1_genomic 2.148 234 130 56 2.32143 0 0 251 234 17 0.0677291
GCA_009669925.1_ASM966992v1_genomic 2.035 239 134 58 2.31034 0 0 258 239 19 0.0736434
GCA_009669935.1_ASM966993v1_genomic 2.034 243 134 59 2.27119 1 0.0169492 260 243 17 0.0653846
GCA_009669975.1_ASM966997v1_genomic 2.061 231 129 56 2.30357 0 0 246 231 15 0.0609756
GCA_009670005.1_ASM967000v1_genomic 1.910 238 133 59 2.25424 0 0 264 238 26 0.0984848
GCA_009670045.1_ASM967004v1_genomic 2.047 239 132 60 2.2 0 0 264 239 25 0.094697
GCA_009670015.1_ASM967001v1_genomic 2.023 239 132 61 2.16393 0 0 258 239 19 0.0736434
GCA_009670055.1_ASM967005v1_genomic 1.956 245 134 63 2.12698 0 0 278 245 33 0.118705
GCA_009670075.1_ASM967007v1_genomic 1.989 241 132 60 2.2 0 0 261 241 20 0.0766284
GCA_009670115.1_ASM967011v1_genomic 1.989 250 138 61 2.2623 1 0.0163934 267 250 17 0.0636704
GCA_009667895.1_ASM966789v1_genomic 2.023 240 130 57 2.2807 5 0.0877193 263 240 23 0.0874525
GCA_009670135.1_ASM967013v1_genomic 2.111 235 130 56 2.32143 1 0.0178571 251 235 16 0.063745
GCA_009670155.1_ASM967015v1_genomic 2.035 239 130 61 2.13115 0 0 255 239 16 0.0627451
GCA_009670105.1_ASM967010v1_genomic 2.000 240 134 59 2.27119 0 0 260 240 20 0.0769231
GCA_009670185.1_ASM967018v1_genomic 1.955 240 135 57 2.36842 0 0 268 240 28 0.104478
GCA_009670205.1_ASM967020v1_genomic 1.924 246 134 61 2.19672 0 0 278 246 32 0.115108
