BioSampleAccession	BioSampleComment
SAMN12721146	KEEP: Assembly Modern Placement QC Fail
SAMN12714485	KEEP: Assembly Modern QC Fail
SAMN12714485	KEEP: Assembly Modern QC Fail
SAMN03161124	KEEP: Assembly Modern QC Fail
SAMN03120838	KEEP: Assembly Modern QC Fail
SAMN02769655	KEEP: Assembly Modern QC Fail
SAMN02404403	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019 Placement QC Fail
SAMN02404399	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019 Placement QC Fail
SAMN02404398	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019 QC Fail
SAMN02403942	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN12012133	KEEP: Assembly Modern QC Fail
SAMN12012131	KEEP: Assembly Modern QC Fail
SAMN12012131	KEEP: Assembly Modern QC Fail
SAMN04376037	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN03145064	KEEP: Assembly Modern QC Fail
SAMN02999506	KEEP: Assembly Modern QC Fail
SAMN10228584	KEEP: Assembly Modern QC Fail
SAMEA3673143	KEEP: Assembly Modern Correct biovar (1.ORI) according to publication QC Fail
SAMN05521434	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521433	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521432	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521431	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521430	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521429	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521428	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521427	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521426	KEEP: Assembly Modern Kislichkina 2018a Keller 2019 QC Fail
SAMN05521423	KEEP: Assembly Modern Kislichkina 2017 Keller 2019 QC Fail
