ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
D24	4829855	1964645	812390	51	4862	381659	1666299
D25	4829855	940	4256131	2	24	381659	191101
D51	4829855	3255861	344429	0	70139	381659	777767
D62	4829855	2602129	585262	0	11539	381659	1249266
D71	4829855	4035425	64652	0	138264	381659	209855
D72	4829855	3287097	298500	0	24967	381659	837632
D75	4829855	4075878	70382	0	107201	381659	194735
P187	4829855	2529463	790642	0	17504	381659	1110587
P212	4829855	2827451	657802	0	47612	381659	915331
P246	4829855	18047	3929065	0	84	381659	501000
P384	4829855	725320	2255173	0	2076	381659	1465627
P387	4829855	2724329	739267	0	25617	381659	958983
R21	4829855	1657223	1225965	0	7450	381659	1557558
R36	4829855	4105511	40469	0	166570	381659	135646
R44	4829855	2694	4194509	0	90	381659	250903
SAMEA3713711	4829855	4134887	205491	0	4415	381659	103403
SAMEA3713712	4829855	4202643	204161	0	9025	381659	32367
SAMEA3713713	4829855	4221712	182715	0	5135	381659	38634
SAMEA3713714	4829855	4096572	210626	0	2813	381659	138185
SAMEA3713715	4829855	4207904	188566	0	9055	381659	42671
SAMEA3937653	4829855	4203957	126962	0	1427	381659	115850
SAMEA3937654	4829855	4291672	108972	0	1216	381659	46336
SAMEA5054089	4829855	4275326	9050	0	161246	381659	2574
SAMEA5054090	4829855	4298107	9713	0	125606	381659	14770
SAMEA5054092	4829855	4281109	23953	0	77847	381659	65287
SAMEA5054093	4829855	3492826	211482	0	36648	381659	707240
SAMEA5818798	4829855	4217157	99502	0	1185	381659	130352
SAMEA5818799	4829855	4339451	74735	0	1346	381659	32664
SAMEA5818800	4829855	4376288	64208	0	891	381659	6809
SAMEA5818801	4829855	4289390	88332	0	3491	381659	66983
SAMEA5818803	4829855	4388034	22757	0	2559	381659	34846
SAMEA5818805	4829855	4343160	28379	0	2895	381659	73762
SAMEA5818806	4829855	4386071	22191	0	2106	381659	37828
SAMEA5818808	4829855	3747769	200870	0	1718	381659	497839
SAMEA5818809	4829855	4267888	74103	0	2309	381659	103896
SAMEA5818811	4829855	3848271	167341	0	686	381659	431898
SAMEA5818815	4829855	4396987	20217	0	2016	381659	28976
SAMEA5818817	4829855	4249306	42438	0	1479	381659	154973
SAMEA5818818	4829855	4169993	93753	0	1166	381659	183284
SAMEA5818821	4829855	4226876	87347	0	1110	381659	132863
SAMEA5818822	4829855	3993916	165834	0	1479	381659	286967
SAMEA5818825	4829855	3944328	157653	0	807	381659	345408
SAMEA5818826	4829855	4388562	30578	0	884	381659	28172
SAMEA5818828	4829855	4238302	84372	0	1354	381659	124168
SAMEA5818829	4829855	4317925	55133	0	1478	381659	73660
SAMEA5818830	4829855	4280270	68198	0	2511	381659	97217
SAMEA6637002	4829855	4419839	16236	0	1166	381659	10955
SAMEA6637004	4829855	4330871	35514	0	948	381659	80863
SAMEA6651390	4829855	4383812	24420	0	1840	381659	38124
SAMEA7293135	4829855	4354596	63982	0	13907	381659	15711
SAMEA7293136	4829855	4024454	103416	0	21593	381659	298733
SAMEA7313236_38	4829855	4253222	87045	0	74961	381659	32968
SAMEA7313243_45	4829855	3632908	148076	0	10890	381659	656322
SAMEA7313246_49	4829855	4434678	11870	0	1626	381659	22
SAMN00715800	4829855	4216030	70011	0	2029	381659	160126
Reference	4829855	4448196	0	0	0	381659	0
