Sample	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
D24	1964594.0	812390.0	51.0	4862.0	381659.0	1666299.0
D25	938.0	4256131.0	2.0	24.0	381659.0	191101.0
D51	3255861.0	344429.0	0.0	70139.0	381659.0	777767.0
D62	2602129.0	585262.0	0.0	11539.0	381659.0	1249266.0
D71	4035425.0	64652.0	0.0	138264.0	381659.0	209855.0
D72	3287097.0	298500.0	0.0	24967.0	381659.0	837632.0
D75	4075878.0	70382.0	0.0	107201.0	381659.0	194735.0
P187	2529463.0	790642.0	0.0	17504.0	381659.0	1110587.0
P212	2827451.0	657802.0	0.0	47612.0	381659.0	915331.0
P246	18047.0	3929065.0	0.0	84.0	381659.0	501000.0
P384	725320.0	2255173.0	0.0	2076.0	381659.0	1465627.0
P387	2724329.0	739267.0	0.0	25617.0	381659.0	958983.0
R21	1657223.0	1225965.0	0.0	7450.0	381659.0	1557558.0
R36	4105511.0	40469.0	0.0	166570.0	381659.0	135646.0
R44	2694.0	4194509.0	0.0	90.0	381659.0	250903.0
Reference	4448196.0	0.0	0.0	0.0	381659.0	0.0
SAMEA3713711	4134887.0	205491.0	0.0	4415.0	381659.0	103403.0
SAMEA3713712	4202643.0	204161.0	0.0	9025.0	381659.0	32367.0
SAMEA3713713	4221712.0	182715.0	0.0	5135.0	381659.0	38634.0
SAMEA3713714	4096572.0	210626.0	0.0	2813.0	381659.0	138185.0
SAMEA3713715	4207904.0	188566.0	0.0	9055.0	381659.0	42671.0
SAMEA3937653	4203957.0	126962.0	0.0	1427.0	381659.0	115850.0
SAMEA3937654	4291672.0	108972.0	0.0	1216.0	381659.0	46336.0
SAMEA5054089	4275326.0	9050.0	0.0	161246.0	381659.0	2574.0
SAMEA5054090	4298107.0	9713.0	0.0	125606.0	381659.0	14770.0
SAMEA5054092	4281109.0	23953.0	0.0	77847.0	381659.0	65287.0
SAMEA5054093	3492826.0	211482.0	0.0	36648.0	381659.0	707240.0
SAMEA5818798	4217157.0	99502.0	0.0	1185.0	381659.0	130352.0
SAMEA5818799	4339451.0	74735.0	0.0	1346.0	381659.0	32664.0
SAMEA5818800	4376288.0	64208.0	0.0	891.0	381659.0	6809.0
SAMEA5818801	4289390.0	88332.0	0.0	3491.0	381659.0	66983.0
SAMEA5818803	4388034.0	22757.0	0.0	2559.0	381659.0	34846.0
SAMEA5818805	4343160.0	28379.0	0.0	2895.0	381659.0	73762.0
SAMEA5818806	4386071.0	22191.0	0.0	2106.0	381659.0	37828.0
SAMEA5818808	3747769.0	200870.0	0.0	1718.0	381659.0	497839.0
SAMEA5818809	4267888.0	74103.0	0.0	2309.0	381659.0	103896.0
SAMEA5818811	3848271.0	167341.0	0.0	686.0	381659.0	431898.0
SAMEA5818815	4396987.0	20217.0	0.0	2016.0	381659.0	28976.0
SAMEA5818817	4249306.0	42438.0	0.0	1479.0	381659.0	154973.0
SAMEA5818818	4169993.0	93753.0	0.0	1166.0	381659.0	183284.0
SAMEA5818821	4226876.0	87347.0	0.0	1110.0	381659.0	132863.0
SAMEA5818822	3993916.0	165834.0	0.0	1479.0	381659.0	286967.0
SAMEA5818825	3944328.0	157653.0	0.0	807.0	381659.0	345408.0
SAMEA5818826	4388562.0	30578.0	0.0	884.0	381659.0	28172.0
SAMEA5818828	4238302.0	84372.0	0.0	1354.0	381659.0	124168.0
SAMEA5818829	4317925.0	55133.0	0.0	1478.0	381659.0	73660.0
SAMEA5818830	4280270.0	68198.0	0.0	2511.0	381659.0	97217.0
SAMEA6637002	4419839.0	16236.0	0.0	1166.0	381659.0	10955.0
SAMEA6637004	4330871.0	35514.0	0.0	948.0	381659.0	80863.0
SAMEA6651390	4383812.0	24420.0	0.0	1840.0	381659.0	38124.0
SAMEA7293135	4354596.0	63982.0	0.0	13907.0	381659.0	15711.0
SAMEA7293136	4024454.0	103416.0	0.0	21593.0	381659.0	298733.0
SAMEA7313236_38	4253222.0	87045.0	0.0	74961.0	381659.0	32968.0
SAMEA7313243_45	3632908.0	148076.0	0.0	10890.0	381659.0	656322.0
SAMEA7313246_49	4434678.0	11870.0	0.0	1626.0	381659.0	22.0
SAMN00715800	4216030.0	70011.0	0.0	2029.0	381659.0	160126.0
