ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
GCA_000169635.1_ASM16963v1_genomic	4829855	4427320	15079	77	346	382285	4825
GCA_000170275.1_ASM17027v1_genomic	4829855	4406437	30547	61	361	382285	10225
GCA_000269145.1_ASM26914v1_genomic	4829855	4367788	14882	56	129	382285	64771
GCA_000320465.1_ASM32046v1_genomic	4829855	4175104	152812	126	124	382285	119530
GCA_000323485.1_ASM32348v1_genomic	4829855	4135739	127688	539	395	382285	183748
GCA_000323505.1_ASM32350v1_genomic	4829855	4294151	39733	120	108	382285	113578
GCA_000323565.1_ASM32356v1_genomic	4829855	4035377	236186	164	196	382285	175811
GCA_000323625.1_ASM32362v1_genomic	4829855	4090741	127253	283	194	382285	229382
GCA_000323845.1_ASM32384v1_genomic	4829855	4054728	145273	487	134	382285	247435
GCA_000323945.1_ASM32394v1_genomic	4829855	3800820	108352	155	182	382285	538216
GCA_000323965.1_ASM32396v1_genomic	4829855	4121792	149966	54	100	382285	175712
GCA_000324065.1_ASM32406v1_genomic	4829855	3885818	325442	95	70	382285	236240
GCA_000324565.1_ASM32456v1_genomic	4829855	4238549	66733	120	108	382285	142180
GCA_000324725.1_ASM32472v1_genomic	4829855	4171217	136786	55	113	382285	139454
GCA_000325305.1_ASM32530v1_genomic	4829855	4134797	139078	105	104	382285	173591
GCA_000325365.1_ASM32536v1_genomic	4829855	4120103	94969	46	110	382285	232388
GCA_000835005.1_ASM83500v1_genomic	4829855	3940643	482742	142	504	382285	23681
GCA_001188795.1_ASM118879v1_genomic	4829855	4334435	88490	375	722	382285	23923
GCA_001294975.1_ASM129497v1_genomic	4829855	4356176	47920	247	645	382285	42829
GCA_002005285.1_ASM200528v1_genomic	4829855	4431391	9068	127	696	382285	6415
GCA_002981895.1_ASM298189v1_genomic	4829855	4320202	108609	237	765	382285	17994
GCA_003074235.1_ASM307423v1_genomic	4829855	4281097	121050	106	431	382285	44992
GCA_003074535.1_ASM307453v1_genomic	4829855	4309202	107280	99	414	382285	30674
GCA_008630435.1_ASM863043v1_genomic	4829855	4248350	160901	180	545	382285	37774
GCA_009670865.1_ASM967086v1_genomic	4829855	4398634	20229	130	535	382285	28172
GCA_015158755.1_ASM1515875v1_genomic	4829855	4310829	119947	106	427	382285	16367
GCA_016102905.1_ASM1610290v1_genomic	4829855	4379564	35100	124	593	382285	32313
Reference	4829855	4447570	0	0	0	382285	0
