ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
GCA_000006645.1_ASM664v1_genomic	4829855	4318754	101994	232	557	398113	10437
GCA_000007885.1_ASM788v1_genomic	4829855	4359788	51441	438	723	398113	19790
GCA_000013825.1_ASM1382v1_genomic	4829855	4380936	33207	194	361	398113	17238
GCA_000022805.1_ASM2280v1_genomic	4829855	4416866	8818	153	390	398113	5668
GCA_000022825.1_ASM2282v1_genomic	4829855	4415272	9131	181	281	398113	7058
GCA_000022845.1_ASM2284v1_genomic	4829855	4277742	148395	75	303	398113	5302
GCA_000168235.2_ASM16823v2_genomic	4829855	4398034	23343	59	307	398113	10058
GCA_000169615.1_ASM16961v1_genomic	4829855	4274097	136013	192	478	398113	21154
GCA_000169635.1_ASM16963v1_genomic	4829855	4411758	14942	72	301	398113	4741
GCA_000169655.1_ASM16965v1_genomic	4829855	4268755	146685	170	599	398113	15703
GCA_000169675.1_ASM16967v1_genomic	4829855	4392856	26417	128	413	398113	12056
GCA_000170275.1_ASM17027v1_genomic	4829855	4390883	30331	54	343	398113	10185
GCA_000181455.2_ASM18145v2_genomic	4829855	4427526	1586	28	127	398113	2503
GCA_000182485.1_ASM18248v1_genomic	4829855	4234914	184925	177	420	398113	11483
GCA_000182505.1_ASM18250v1_genomic	4829855	4322801	104786	45	310	398113	3845
GCA_000182525.1_ASM18252v1_genomic	4829855	4358896	68495	64	225	398113	4126
GCA_000182705.1_ASM18270v1_genomic	4829855	4286843	132476	209	545	398113	11878
GCA_000255735.1_ASM25573v1_genomic	4829855	4388280	13416	22	113	398113	29933
GCA_000255755.1_ASM25575v1_genomic	4829855	4390442	5204	32	52	398113	36044
GCA_000255775.1_ASM25577v1_genomic	4829855	4394080	4963	24	41	398113	32658
GCA_000255795.1_ASM25579v1_genomic	4829855	4378328	10815	25	38	398113	42561
GCA_000255815.1_ASM25581v1_genomic	4829855	4337636	63706	27	54	398113	30346
GCA_000255835.1_ASM25583v1_genomic	4829855	4388697	6327	31	61	398113	36657
GCA_000255855.1_ASM25585v1_genomic	4829855	4395006	817	35	16	398113	35903
GCA_000255875.1_ASM25587v1_genomic	4829855	4391768	5676	33	19	398113	34279
GCA_000255895.1_ASM25589v1_genomic	4829855	4399813	616	32	22	398113	31291
GCA_000268325.1_ASM26832v1_genomic	4829855	4347218	13153	65	150	398113	71221
GCA_000268345.1_ASM26834v1_genomic	4829855	4371738	8950	58	152	398113	50902
GCA_000268365.1_ASM26836v1_genomic	4829855	4361326	14808	45	90	398113	55518
GCA_000268385.1_ASM26838v1_genomic	4829855	4371734	12456	49	112	398113	47440
GCA_000268405.1_ASM26840v1_genomic	4829855	4359898	13567	46	117	398113	58160
GCA_000268425.1_ASM26842v1_genomic	4829855	4352093	18198	43	91	398113	61360
GCA_000268445.1_ASM26844v1_genomic	4829855	4358222	14429	44	81	398113	59010
GCA_000268465.1_ASM26846v1_genomic	4829855	4351807	14278	46	107	398113	65550
GCA_000268485.1_ASM26848v1_genomic	4829855	4258815	81677	42	127	398113	91123
GCA_000268485.2_ASM26848v2_genomic	4829855	4258815	81677	42	127	398113	91123
GCA_000268505.1_ASM26850v1_genomic	4829855	4362506	17850	48	114	398113	51272
GCA_000268525.1_ASM26852v1_genomic	4829855	4189555	180049	32	61	398113	62077
GCA_000268545.1_ASM26854v1_genomic	4829855	4354290	12359	50	178	398113	64915
GCA_000268565.1_ASM26856v1_genomic	4829855	4309540	20098	51	163	398113	101941
GCA_000268585.1_ASM26858v1_genomic	4829855	4357328	16537	45	132	398113	57745
GCA_000268605.1_ASM26860v1_genomic	4829855	4337243	20955	42	94	398113	73450
GCA_000268625.1_ASM26862v1_genomic	4829855	4367218	13099	43	103	398113	51322
GCA_000268645.1_ASM26864v1_genomic	4829855	4363422	13687	47	106	398113	54527
GCA_000268665.1_ASM26866v1_genomic	4829855	4352320	15948	45	130	398113	63344
GCA_000268685.1_ASM26868v1_genomic	4829855	4380826	6954	47	200	398113	43762
GCA_000268705.1_ASM26870v1_genomic	4829855	4347893	20246	44	132	398113	63471
GCA_000268725.1_ASM26872v1_genomic	4829855	4357866	17627	46	112	398113	56137
GCA_000268725.2_ASM26872v2_genomic	4829855	4357866	17627	46	112	398113	56137
GCA_000268745.1_ASM26874v1_genomic	4829855	4370266	13254	48	109	398113	48113
GCA_000268765.1_ASM26876v1_genomic	4829855	4337858	26083	46	130	398113	67671
GCA_000268785.1_ASM26878v1_genomic	4829855	4315466	32349	50	151	398113	83776
GCA_000268805.1_ASM26880v1_genomic	4829855	4157801	73517	46	129	398113	200295
GCA_000268805.2_ASM26880v2_genomic	4829855	4157801	73517	46	129	398113	200295
