sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	population_color	population	geometry	root_rtt_dist	clade_rtt_dist	population_rtt_dist
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1	North America	1992.0	29.0	0.0	38.7251776	-105.607716	Human	?	?	Human	Human	#ff0000	1.ORI	POINT (-105.607716 38.7251776)	7.316859999999999e-05	?	6.3815e-06
GCA_009909635.1_ASM990963v1_genomic	9_10	1923.0	-98	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Medievalis	2.MED	2.MED1	SAMN13632815	KEEP: Assembly Modern	2	Europe	1923.0	98.0	0.0	47.6222451	40.7957942	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	#c5e88a	2.MED	POINT (40.7957942 47.6222451)	7.305009999999997e-05	?	9.658199999999998e-06
GCA_009669545.1_ASM966954v1_genomic	42126	2006.0	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722925	KEEP: Assembly Modern	0	Asia	2006.0	15.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4184699999999976e-05	?	1.1556599999999992e-05
GCA_009669555.1_ASM966955v1_genomic	42123	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722924	KEEP: Assembly Modern	0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.470349999999995e-05	?	1.2075399999999983e-05
GCA_009669565.1_ASM966956v1_genomic	42118	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722923	KEEP: Assembly Modern	0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.493899999999995e-05	?	1.2310899999999982e-05
GCA_009669605.1_ASM966960v1_genomic	42117	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722922	KEEP: Assembly Modern	0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.460909999999996e-05	?	1.1980999999999986e-05
GCA_009669625.1_ASM966962v1_genomic	42116	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722921	KEEP: Assembly Modern	0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.475019999999997e-05	?	1.2122099999999989e-05
GCA_009669675.1_ASM966967v1_genomic	42114	2004.0	-17	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722920	KEEP: Assembly Modern	0	Asia	2004.0	17.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.498569999999997e-05	?	1.2357599999999988e-05
GCA_009669635.1_ASM966963v1_genomic	42113	2003.0	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722919	KEEP: Assembly Modern	0	Asia	2003.0	18.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.517409999999998e-05	?	1.254599999999999e-05
GCA_009669665.1_ASM966966v1_genomic	42110	2002.0	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722918	KEEP: Assembly Modern	0	Asia	2002.0	19.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4302699999999964e-05	?	1.1674599999999988e-05
