sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	library_layout	tstv	cds_sites	ns_sites	ss_sites	ns_ss_ratio	other_var	other_var_ratio	homo_het_sites	homo_sites	het_sites	het_ratio	external_branch_length	population_color	population	geometry	root_rtt_dist	population_rtt_dist	branch_length	branch_length_sub	node_type	branch_support	branch_support_conf_category	branch_support_conf_char	country_date_strain	province_date_strain	rate	rate_hpd	rate_sub	rate_sub_year	continuous_geo	continuous_geo_coord	continuous_geo_lat	continuous_geo_lon	height	height_hpd	timetree_num_date	timetree_num_date_confidence	branch_length_time	rate_sub_year_category
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1.0	North America	1992.0	29.0	0.0	38.7251776	-105.607716	Human	NA	NA	Human	Human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.99e-06	#ff0000	1.ORI	POINT (-105.607716 38.7251776)	7.15499e-05	5.9146e-06	15.686206012512265	18.87399380664951	terminal	0.0	LOW		United States of America 1992 CO92	Colorado 1992 CO92	2.8345649341428255e-07	[7.186882917982644e-08, 5.75834091700689e-07]	2.8345649341428255e-07	1.2032223592878017	NA	['NA', 'NA']	NA	NA	27.037840425357466	[26.99999999999727, 27.00000000000273]	1992.0	[1992, 1992]	15.686206012512265	HIGH
GCA_009909635.1_ASM990963v1_genomic	9_10	1923.0	-98	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Medievalis	2.MED	2.MED1	SAMN13632815	KEEP: Assembly Modern	2.0	Europe	1923.0	98.0	0.0	47.6222451	40.7957942	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	NA	1.854	216.0	121.0	51.0	2.37255	1.0	0.0196078	242.0	216.0	26.0	0.107438	2.1123e-06	#c5e88a	2.MED	POINT (40.7957942 47.6222451)	7.205810000000001e-05	8.4492e-06	35.63746159403763	12.926669529555985	terminal	0.0	LOW		Russia 1923.0 9_10	Rostov Oblast 1923.0 9_10	8.545163965463553e-08	[1.5363819688455905e-08, 1.8794553073235662e-07]	8.545163965463553e-08	0.3627269999420693	NA	['NA', 'NA']	NA	NA	96.0378404253575	[95.99999999999818, 96.00000000000182]	1923.0	[1923, 1923]	35.63746159403763	MED
GCA_009669545.1_ASM966954v1_genomic	42126	2006.0	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722925	KEEP: Assembly Modern	0.0	Asia	2006.0	15.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	1.935	246.0	134.0	60.0	2.23333	0.0	0.0	271.0	246.0	25.0	0.0922509	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05	37.717840306326025	2.688183631943608	terminal	0.0	LOW		China 2006.0 42126	Xinjiang 2006.0 42126	1.6790074821097275e-08	[3.8572798446511347e-10, 5.035285943774036e-08]	1.6790074821097275e-08	0.07127087898223979	NA	['NA', 'NA']	NA	NA	13.03784042535749	[12.999999999998181, 13.000000000002728]	2006.0	[2006, 2006]	37.717840306326025	LOW
GCA_009669555.1_ASM966955v1_genomic	42123	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722924	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	NA	2.119	241.0	133.0	58.0	2.2931	0.0	0.0	258.0	241.0	17.0	0.06589149999999999	2.3469999999999998e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.448279999999997e-05	1.2266600000000007e-05	31.42037246625812	4.335838799728371	terminal	0.0	LOW		China 2005.0 42123	Xinjiang 2005.0 42123	3.250890301859045e-08	[1.0512849254316458e-09, 9.676485431359949e-08]	3.250890301859045e-08	0.13799450672917915	NA	['NA', 'NA']	NA	NA	14.037840425357484	[13.999999999998181, 14.000000000002728]	2005.0	[2005, 2005]	31.42037246625812	LOW
GCA_009669565.1_ASM966956v1_genomic	42118	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722923	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.0	247.0	135.0	60.0	2.25	0.0	0.0	265.0	247.0	18.0	0.0679245	4.6939999999999995e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.462349999999998e-05	1.2407300000000004e-05	36.513496433100215	7.195608161061107	terminal	0.0	LOW		China 2005.0 42118	Xinjiang 2005.0 42118	4.642528733870486e-08	[2.23160006693575e-09, 1.3277692372803277e-07]	4.642528733870486e-08	0.19706708105165585	NA	['NA', 'NA']	NA	NA	14.037840425357489	[13.999999999998181, 14.000000000002728]	2005.0	[2005, 2005]	36.513496433100215	LOW
GCA_009669605.1_ASM966960v1_genomic	42117	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722922	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla elatoides	Siphonaptera	NA	2.012	239.0	132.0	58.0	2.27586	0.0	0.0	260.0	239.0	21.0	0.0807692	2.3469999999999998e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.445929999999998e-05	1.2243100000000005e-05	39.28573715377654	5.492401848203553	terminal	0.0	LOW		China 2005.0 42117	Xinjiang 2005.0 42117	3.293577707590512e-08	[1.043479483870035e-09, 9.903417784652141e-08]	3.293577707590512e-08	0.13980651111889772	NA	['NA', 'NA']	NA	NA	14.037840425357489	[13.999999999998181, 14.000000000002728]	2005.0	[2005, 2005]	39.28573715377654	LOW
GCA_009669625.1_ASM966962v1_genomic	42116	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722921	KEEP: Assembly Modern	0.0	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	1.884	240.0	131.0	60.0	2.18333	0.0	0.0	269.0	240.0	29.0	0.107807	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.464699999999998e-05	1.2430800000000005e-05	14.154362881582273	0.8262960405083937	terminal	0.0	LOW		China 2005.0 42116	Xinjiang 2005.0 42116	1.3752633282675549e-08	[3.210966760142621e-10, 3.7623409041447566e-08]	1.3752633282675549e-08	0.05837748031623339	NA	['NA', 'NA']	NA	NA	14.037840425357476	[13.999999999997272, 14.000000000001819]	2005.0	[2005, 2005]	14.154362881582273	LOW
GCA_009669675.1_ASM966967v1_genomic	42114	2004.0	-17	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722920	KEEP: Assembly Modern	0.0	Asia	2004.0	17.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.071	238.0	132.0	59.0	2.23729	0.0	0.0	256.0	238.0	18.0	0.0703125	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4905199999999984e-05	1.2689000000000005e-05	8.286672624106135	0.797453452825267	terminal	0.0	LOW		China 2004.0 42114	Xinjiang 2004.0 42114	2.2670739020951358e-08	[3.883777059008846e-10, 6.857892936752916e-08]	2.2670739020951358e-08	0.09623325175239278	NA	['NA', 'NA']	NA	NA	15.03784042535748	[14.999999999997272, 15.000000000001819]	2004.0	[2004, 2004]	8.286672624106135	LOW
GCA_009669635.1_ASM966963v1_genomic	42113	2003.0	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722919	KEEP: Assembly Modern	0.0	Asia	2003.0	18.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.046	241.0	133.0	60.0	2.21667	0.0	0.0	254.0	241.0	13.0	0.0511811	2.3469999999999998e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5092899999999975e-05	1.2876700000000005e-05	6.441182979019295	1.3981352196875665	terminal	0.0	LOW		China 2003.0 42113	Xinjiang 2003.0 42113	5.113568238502748e-08	[9.35501723399365e-10, 1.486762684425865e-07]	5.113568238502748e-08	0.21706186957297713	NA	['NA', 'NA']	NA	NA	16.03784042535748	[15.999999999997272, 16.00000000000182]	2003.0	[2003, 2003]	6.441182979019295	LOW
GCA_009669665.1_ASM966966v1_genomic	42110	2002.0	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722918	KEEP: Assembly Modern	0.0	Asia	2002.0	19.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.08	241.0	131.0	56.0	2.33929	4.0	0.07142860000000001	262.0	241.0	21.0	0.0801527	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.443609999999995e-05	1.2219900000000012e-05	23.481168144451086	2.3271608759426914	terminal	0.0	LOW		China 2002.0 42110	Xinjiang 2002.0 42110	2.3347867769367155e-08	[4.5225817358275696e-10, 7.647312116776283e-08]	2.3347867769367155e-08	0.09910754276050063	NA	['NA', 'NA']	NA	NA	17.037840425357484	[16.99999999999818, 17.00000000000273]	2002.0	[2002, 2002]	23.481168144451086	LOW
